# Long-range Heisenberg model
# L = 14, J = 1.0, Delta = 0.50, Alpha = 2.5
# Integrated spin conductivity I(omega)
# omega, I(omega)

1.60000000000000013E-004 0.130258
1.70000000000000012E-004 0.133483
1.80000000000000011E-004 0.139852
1.90000000000000010E-004 0.144951
2.00000000000000010E-004 0.147328
2.10000000000000009E-004 0.164507
2.20000000000000008E-004 0.175474
2.30000000000000007E-004 0.175474
2.40000000000000006E-004 0.178247
2.50000000000000005E-004 0.179238
2.59999999999999977E-004 0.186286
2.70000000000000003E-004 0.19401
2.79999999999999975E-004 0.203904
2.90000000000000002E-004 0.206577
2.99999999999999974E-004 0.217295
3.10000000000000000E-004 0.217295
3.20000000000000026E-004 0.229657
3.29999999999999998E-004 0.234963
3.40000000000000024E-004 0.237938
3.49999999999999996E-004 0.241678
3.60000000000000023E-004 0.24987
3.69999999999999995E-004 0.249897
3.80000000000000021E-004 0.252156
3.89999999999999993E-004 0.255905
4.00000000000000019E-004 0.265412
4.09999999999999991E-004 0.270253
4.20000000000000017E-004 0.272935
4.29999999999999989E-004 0.277543
4.40000000000000016E-004 0.285332
4.49999999999999988E-004 0.286495
4.60000000000000014E-004 0.288117
4.69999999999999986E-004 0.2909
4.80000000000000012E-004 0.2909
4.89999999999999984E-004 0.294833
5.00000000000000010E-004 0.299298
5.10000000000000037E-004 0.3039
5.19999999999999954E-004 0.303967
5.29999999999999981E-004 0.31743
5.40000000000000007E-004 0.319509
5.50000000000000033E-004 0.320307
5.59999999999999951E-004 0.327452
5.69999999999999977E-004 0.330856
5.80000000000000003E-004 0.340885
5.90000000000000030E-004 0.341014
5.99999999999999947E-004 0.342751
6.09999999999999974E-004 0.345582
6.20000000000000000E-004 0.346453
6.30000000000000026E-004 0.347401
6.40000000000000052E-004 0.350588
6.49999999999999970E-004 0.352209
6.59999999999999996E-004 0.352234
6.70000000000000023E-004 0.353513
6.80000000000000049E-004 0.36201
6.89999999999999967E-004 0.362264
6.99999999999999993E-004 0.368392
7.10000000000000019E-004 0.372588
7.20000000000000045E-004 0.37727
7.29999999999999963E-004 0.378095
7.39999999999999989E-004 0.381732
7.50000000000000016E-004 0.383979
7.60000000000000042E-004 0.386517
7.69999999999999960E-004 0.391601
7.79999999999999986E-004 0.392767
7.90000000000000012E-004 0.393485
8.00000000000000038E-004 0.395935
8.09999999999999956E-004 0.404473
8.19999999999999982E-004 0.406694
8.30000000000000009E-004 0.408602
8.40000000000000035E-004 0.412141
8.49999999999999953E-004 0.412188
8.59999999999999979E-004 0.413398
8.70000000000000005E-004 0.413398
8.80000000000000031E-004 0.414481
8.89999999999999949E-004 0.419957
8.99999999999999975E-004 0.421737
9.10000000000000002E-004 0.421904
9.20000000000000028E-004 0.424464
9.30000000000000054E-004 0.42447
9.39999999999999972E-004 0.428345
9.49999999999999998E-004 0.428624
9.60000000000000024E-004 0.428709
9.70000000000000051E-004 0.437182
9.79999999999999968E-004 0.441447
9.89999999999999995E-004 0.443485
1.00000000000000002E-003 0.444998
1.10000000000000007E-003 0.473022
1.19999999999999989E-003 0.496498
1.29999999999999994E-003 0.510757
1.39999999999999999E-003 0.531032
1.50000000000000003E-003 0.546318
1.60000000000000008E-003 0.559224
1.69999999999999991E-003 0.571605
1.79999999999999995E-003 0.588334
1.90000000000000000E-003 0.59822
2.00000000000000004E-003 0.620381
2.09999999999999987E-003 0.633401
2.20000000000000013E-003 0.638152
2.29999999999999996E-003 0.653321
2.39999999999999979E-003 0.658593
2.50000000000000005E-003 0.662035
2.59999999999999988E-003 0.668795
2.70000000000000014E-003 0.673982
2.79999999999999997E-003 0.680062
2.89999999999999980E-003 0.687103
3.00000000000000006E-003 0.697197
3.09999999999999989E-003 0.70449
3.20000000000000015E-003 0.709422
3.29999999999999998E-003 0.710444
3.39999999999999981E-003 0.718858
3.50000000000000007E-003 0.721101
3.59999999999999990E-003 0.728857
3.70000000000000016E-003 0.732838
3.79999999999999999E-003 0.737878
3.89999999999999982E-003 0.742077
4.00000000000000008E-003 0.745225
4.10000000000000035E-003 0.748063
4.19999999999999974E-003 0.752278
4.30000000000000000E-003 0.758273
4.40000000000000027E-003 0.760543
4.49999999999999966E-003 0.768331
4.59999999999999992E-003 0.774797
4.70000000000000018E-003 0.778317
4.79999999999999958E-003 0.780147
4.89999999999999984E-003 0.781779
5.00000000000000010E-003 0.784189
5.10000000000000037E-003 0.78508
5.19999999999999976E-003 0.787802
5.30000000000000002E-003 0.791781
5.40000000000000029E-003 0.795517
5.49999999999999968E-003 0.796987
5.59999999999999994E-003 0.798726
5.70000000000000021E-003 0.804276
5.79999999999999960E-003 0.805253
5.89999999999999986E-003 0.806315
6.00000000000000012E-003 0.808101
6.10000000000000039E-003 0.80911
6.19999999999999978E-003 0.810668
6.30000000000000004E-003 0.814385
6.40000000000000031E-003 0.815852
6.49999999999999970E-003 0.816923
6.59999999999999996E-003 0.818377
6.70000000000000023E-003 0.821281
6.79999999999999962E-003 0.823459
6.89999999999999988E-003 0.826918
7.00000000000000015E-003 0.827991
