# Interacting fermions (standard model)
# L=14, Delta=1, W=10.0, dmax=2
# Comparison between projected perturbation ||N_i^perp||^2 and its approximation ||N~_i||^2
# ||N_i^perp||^2 ||~N_i||^2
1.833288920099999941e-02 1.826903656900000228e-02
3.334896868900000255e-02 3.122288999999999967e-02
3.342059296900000420e-02 3.341986172099999791e-02
4.407186448900000247e-02 4.360788062500000478e-02
2.121892096000000272e-03 2.121284094759999950e-03
2.856539416899999892e-02 2.856539416899999892e-02
1.271279024999999842e-03 1.271172062249999743e-03
4.541800322500000255e-04 4.541800322500000255e-04
1.045545758009999975e-03 1.045532824090000075e-03
9.940021728400000312e-04 9.939391182400001464e-04
1.590221881599999942e-02 1.590221881599999942e-02
1.259738851839999844e-03 1.259731753290000084e-03
2.514507918399999653e-02 2.498707332899999592e-02
1.340153522500000215e-02 1.340153522500000215e-02
1.331346745600000062e-02 1.331346745600000062e-02
3.526733761599999684e-02 3.520764376899999937e-02
2.187909980009999835e-03 2.187788366439999844e-03
1.883299608999999906e-03 1.883004520959999720e-03
1.437577020100000089e-02 1.437553040400000107e-02
2.854989310410000272e-03 2.854829016360000294e-03
6.190133270759999064e-03 6.189975916959998721e-03
2.048567173209999998e-03 2.048150792249999862e-03
4.533463561000000523e-03 4.533463561000000523e-03
1.048088825639999916e-03 1.048043502250000075e-03
2.224303788099999887e-02 2.224303788099999887e-02
8.942073508900000517e-04 8.942073508900000517e-04
2.293467936399999629e-02 2.293437648099999615e-02
1.692697077760000213e-03 1.692590109210000094e-03
2.224122192359999708e-03 2.224122192359999708e-03
1.645973584359999853e-03 1.645973584359999853e-03
1.389286542400000081e-02 1.389239395599999906e-02
1.759894791209999773e-03 1.759886401000000135e-03
7.062923297439999311e-03 7.060620756250001080e-03
2.611132810000000443e-02 2.611100492100000212e-02
8.647567859290000367e-03 8.647530662409998875e-03
2.530708272400000042e-02 2.530708272400000042e-02
2.858730782409999501e-03 2.856795601000000281e-03
8.756568722500000313e-04 8.755681000000001052e-04
1.363285775290000272e-03 1.363278390759999981e-03
1.880628249600000204e-02 1.880628249600000204e-02
1.439238731289999929e-03 1.438874556249999980e-03
4.122767811600000498e-02 4.102245160000000251e-02
1.555607617599999958e-02 1.555607617599999958e-02
3.240180002499999656e-02 3.240180002499999656e-02
1.555507840000000010e-02 1.516690771599999918e-02
2.441625004900000243e-02 2.441593753600000347e-02
7.931770995600000542e-04 7.931770995600000542e-04
2.937453209999999620e-02 2.935910902499999989e-02
7.511381676100000338e-04 7.511162422500000310e-04
1.092359425599999899e-02 1.092338522499999853e-02
4.847923239999999551e-04 4.847526924100000736e-04
