# long range Heisenberg model
# L = 20, J = 1.0, Delta = 0.50, Alpha = 5.0
# Contribution of Si to the sum rule for spin conductivity vs corresponding frequency
# omega_i, Si  

110987 4.7739046333805597E-004
111636 4.6513230702237513E-004
111996 4.5327635216593824E-004
112889 4.4188421407785096E-004
113437 4.3096244253366489E-004
113604 4.2040133931153562E-004
114211 4.1024683270238422E-004
114747 4.0043457179265269E-004
114913 3.9097149767489147E-004
115198 3.8187343066339592E-004
115419 3.7305310663136653E-004
116395 3.6453012923539252E-004
117037 3.5629349466524560E-004
117495 3.4836108903240465E-004
117344 3.4071945396021123E-004
117988 3.3331167003529860E-004
119196 3.2616088270246536E-004
118843 3.1921243968516889E-004
119076 3.1252440309690861E-004
119580 3.0596793471984680E-004
120412 2.9964734530949860E-004
119927 2.9353189966582890E-004
121082 2.8760349697541963E-004
121346 2.8185221317040767E-004
121242 2.7626251803385647E-004
121838 2.7084011986410676E-004
122635 2.6556210167041065E-004
122455 2.6046293138900654E-004
122649 2.5549604353895529E-004
122930 2.5063157093340360E-004
123633 2.4594813469130570E-004
123707 2.4134884979476308E-004
124494 2.3688139937075694E-004
124468 2.3254281843447386E-004
124306 2.2832297221201444E-004
125085 2.2423843876223518E-004
124987 2.2023104337716746E-004
125741 2.1633643998921433E-004
126032 2.1251975389038880E-004
126639 2.0882743972534356E-004
126588 2.0521405162032624E-004
127046 2.0169851449274790E-004
126723 1.9825458167556503E-004
127050 1.9490623133392975E-004
127491 1.9166287296094742E-004
127761 1.8848412341351044E-004
128418 1.8537654431697407E-004
128976 1.8235408103358742E-004
128617 1.7938597053202368E-004
128789 1.7648199596604098E-004
129326 1.7365575520594909E-004
129667 1.7090899491864896E-004
130097 1.6821503822293110E-004
129552 1.6557871629350012E-004
130710 1.6300627804457696E-004
130749 1.6049628049247979E-004
130990 1.5804560644113068E-004
130923 1.5564381809452332E-004
131727 1.5329380646300752E-004
132009 1.5101549313118186E-004
131739 1.4879006705356324E-004
132222 1.4658491400836715E-004
132442 1.4443194825434073E-004
132316 1.4233269273092542E-004
132908 1.4027441193676665E-004
133499 1.3825015871616613E-004
133913 1.3627652395288339E-004
133595 1.3434917794003426E-004
134183 1.3243847574168720E-004
134097 1.3058825050505410E-004
134745 1.2877411835687775E-004
134140 1.2699447778264530E-004
135200 1.2524380906427904E-004
135086 1.2353247404479307E-004
134680 1.2185243862911832E-004
135721 1.2021475045593635E-004
135746 1.1861176823122425E-004
135859 1.1704071878247960E-004
136189 1.1549008090962189E-004
135943 1.1397859050229227E-004
136182 1.1247977175602987E-004
136848 1.1101595031988533E-004
136770 1.0957952990059214E-004
136722 1.0817138679448238E-004
137459 1.0679033820056182E-004
137950 1.0544417831066150E-004
137318 1.0412204463138164E-004
137980 1.0281230843462873E-004
138015 1.0153311087977787E-004
138231 1.0027730480095839E-004
138938 9.9039728416437856E-005
138802 9.7827954092673963E-005
139332 9.6629460982322003E-005
139437 9.5455545441472302E-005
138898 9.4298725483539208E-005
139299 9.3162177812498517E-005
139823 9.2047357243951159E-005
139263 9.0946335916110039E-005
139896 8.9869981395031935E-005
140227 8.8815374163623705E-005
140694 8.7769068565128231E-005
140990 8.6743470531171920E-005
140718 8.5742554019826983E-005
141501 8.4752062069093047E-005
141482 8.3785157015337552E-005
