# long range Heisenberg model
# L = 16, J = 1.0, Delta = 0.0, Alpha = 10.0
# Contribution of Si to the sum rule for spin conductivity vs corresponding frequency
# omega_i, Si  


15186.7 1.6618191904219509E-009
15244.3 1.5760576980061375E-009
14716.4 1.4949246152061601E-009
14890.8 1.4216838988422218E-009
14762.4 1.3504309233692367E-009
14735.7 1.2838764982497148E-009
15185 1.2199569156874388E-009
14731.5 1.1593678737920053E-009
14768.1 1.1020173166584605E-009
14626.7 1.0485434804687270E-009
15218.5 9.9850391164805734E-010
15093.7 9.4927794975731102E-010
14802.9 9.0642022720582892E-010
15418.1 8.6434217272227909E-010
15178.7 8.2472865341752854E-010
14797.6 7.8671551507013440E-010
15044.9 7.4990538659923188E-010
14958.1 7.1420420147912143E-010
15244.8 6.8206832706273004E-010
15741.2 6.5122579313196088E-010
15741.3 6.2209122278945261E-010
15992.5 5.9489204991050674E-010
15498.1 5.6884262711114337E-010
16179.4 5.4384509864270759E-010
16460 5.2031417808474016E-010
15503.7 4.9680707353586629E-010
16396.6 4.7588734355164920E-010
15481.2 4.5487971857756712E-010
15619.7 4.3460883782528263E-010
15573.6 4.1520472539256837E-010
15535.6 3.9646282658690073E-010
15560.6 3.7808837611753267E-010
16300.3 3.6157229264394545E-010
15610.9 3.4699914354657791E-010
16024.9 3.3115988391609362E-010
16215.2 3.1660582927569505E-010
16738 3.0240020700887206E-010
16340.3 2.8929167192686790E-010
15565.5 2.7632391209236786E-010
15662.5 2.6398633203386929E-010
16297.4 2.5214915631234046E-010
15946.1 2.4151287014485421E-010
16526.5 2.3097459693832530E-010
16438.6 2.2059005521392209E-010
17378.2 2.1059539360808440E-010
16790.2 2.0121921794656600E-010
16017.7 1.9216853274266798E-010
16735.9 1.8281327924193205E-010
16392.3 1.7433953720283673E-010
17020.2 1.6588907472564931E-010
17109 1.5794840449167281E-010
15889.5 1.5024213494556760E-010
16586.2 1.4306000981635361E-010
16879.4 1.3581654751435970E-010
16880.8 1.2948279175219598E-010
16953.8 1.2321270071344828E-010
17088.8 1.1708342261939545E-010
17119.2 1.1119376182552347E-010
17259.5 1.0519672130567290E-010
16681.2 9.9793728360302574E-011
16266.5 9.4674928377910151E-011
16377.9 8.9943206876431196E-011
16370.7 8.4820001978196410E-011
16183.1 8.0488232928300959E-011
16967.4 7.6210947193415802E-011
16498.2 7.2093546242093456E-011
16005.4 6.7904069509850021E-011
16272.2 6.4014414734283185E-011
16758 6.0438949301203352E-011
15552.5 5.7079349717123428E-011
15782.4 5.3619601338946685E-011
15713.4 5.0271676486846154E-011
16322 4.7233291344828399E-011
16195.1 4.4355450681772626E-011
16198.3 4.1770856176340351E-011
16648.6 3.9270377839170093E-011
16105.2 3.6869182168445487E-011
16238.9 3.4609048677986838E-011
16372.7 3.2385010140173354E-011
15820.4 3.0451268982760009E-011
17452.6 2.8468682319123538E-011
17042.1 2.6574834703984449E-011
15945.1 2.4869671570184806E-011
15732.9 2.3186220442948331E-011
15471.7 2.1686546066276626E-011
16186.1 2.0114492730292202E-011
16754.7 1.8783665859637953E-011
15693 1.7507956898806943E-011
16458.7 1.6204282917780477E-011
15865.7 1.5120221903629194E-011
15595.9 1.4082403928995745E-011
14972.9 1.3151647409062126E-011
15546.1 1.2237135984899743E-011
15233.4 1.1403384763072988E-011
15557.4 1.0595204381362886E-011
15285.4 9.7756743350443934E-012
15590.8 9.1236148905113621E-012
15970.6 8.5001835746731391E-012
15655.9 7.8932118207042684E-012
14798.9 7.3138931837498336E-012
15920.2 6.8094599470893214E-012
15084 6.3179500126240296E-012
14915 5.8902768690942867E-012
15383.3 5.4643282755502664E-012
13978.7 5.0855248730098377E-012
16482.6 4.7617194083895110E-012
15910 4.3985847342942922E-012
15323.6 4.1485818725172953E-012
15284.8 3.8888648958208740E-012
16271.8 3.6433527364521239E-012
15595.4 3.4299356181682815E-012
16303.1 3.2186184479030125E-012
15693.1 3.0112123905169953E-012
15894.4 2.8275713364434535E-012
15176.2 2.6599553069185742E-012
16142.9 2.5192088810685846E-012
15882.2 2.3719022785152919E-012
14906.5 2.2349389705235752E-012
16349.8 2.1027855395041007E-012
15223.8 1.9875296155135756E-012
15133.3 1.8822175578277033E-012
15980.8 1.7773966237376712E-012
16433.3 1.6873869290838428E-012
14982.7 1.6034979992232675E-012
15006.8 1.5190726957062814E-012
15165.6 1.4378183844670642E-012
15976.5 1.3683197640241114E-012
16047.2 1.3029599455631134E-012
15872.5 1.2445539507536294E-012
15758.1 1.1829098803433070E-012
16016.3 1.1195471204099735E-012
16890.5 1.0651852354541407E-012
17445.6 1.0163928353145722E-012
16339.5 9.7094364078949250E-013
16192.3 9.2637613178240778E-013
16271.7 8.8743707376041263E-013
16894.6 8.4764599004859904E-013
16515.4 8.1135405709467357E-013
16297.3 7.7250050305561899E-013
17490.1 7.4064917414800226E-013
16125.3 7.0840227021348969E-013
17090.5 6.7566566453037329E-013
17374.9 6.4484655881634770E-013
16815.1 6.1934017206533915E-013
17770.7 5.9194242659368986E-013
16754 5.6808844535663392E-013
16700.9 5.4368522940745675E-013
17088.8 5.2019277509728976E-013
17662.8 4.9916167391673936E-013
17226.3 4.7883550352772491E-013
16910.8 4.5974381057605897E-013
16837.2 4.4066123210225520E-013
18142.4 4.2226317100307456E-013
17732.7 4.0342196644962156E-013
16805.9 3.8624861606698223E-013
17390.6 3.6993213793448873E-013
17597.4 3.5405611048055363E-013
17786.5 3.3996761919021862E-013
17710.9 3.2564233626616475E-013
18164.3 3.1269636236571633E-013
17507.8 2.9991680626647008E-013
17781.5 2.8770370735163559E-013
17605.6 2.7612445932515473E-013
17571.5 2.6548445919951507E-013
17298.4 2.5490815584198561E-013
17383.8 2.4455161947892528E-013
17604.8 2.3456199562202550E-013
17542 2.2560354062143553E-013
18879.9 2.1660257190748151E-013
18127.8 2.0733323599747606E-013
17957.9 1.9887758988294077E-013
18146.8 1.9033923169597092E-013
18802 1.8250863919125598E-013
18055.1 1.7500363437622491E-013
18461.2 1.6810057293523548E-013
19169.8 1.6179960112815316E-013
18264.6 1.5528599106480949E-013
18771.5 1.4892805119121222E-013
18538 1.4310739752669561E-013
19324.3 1.3752809695345875E-013
17930.9 1.3194067933430916E-013
18827.4 1.2663276765032625E-013
18199.8 1.2148240270116084E-013
18599.6 1.1642278528357643E-013
18711.7 1.1135979155862871E-013
19172.1 1.0695387037775993E-013
19016.5 1.0256556507692441E-013
18736.7 9.8597786601022432E-014
18779.9 9.4533863441069949E-014
19140.7 9.0693415000409324E-014
18720.5 8.6813603822373647E-014
18727.5 8.3380407727189063E-014
19397.8 8.0029999535641901E-014
18637.9 7.6728849824283742E-014
19396.3 7.3526840271230944E-014
19073.7 7.0560499973399058E-014
19236 6.7492445608757832E-014
19156.5 6.4675236684953114E-014
18936.4 6.1850853991323950E-014
18888.9 5.9339724988475937E-014
19353.5 5.6663748551981862E-014
18925.3 5.4225213383849357E-014
18772 5.1925024131067225E-014
19768.7 4.9798905633673532E-014
19557.2 4.7685398992663718E-014
18893.2 4.5659275645921968E-014
20094.2 4.3643629086350918E-014
19355.2 4.1788475703119261E-014
19432.7 3.9983297741195837E-014
19289.2 3.8273794023605106E-014
20179.5 3.6545129519910404E-014
19969.7 3.4886227531752179E-014
19289.1 3.3386555772282210E-014
19910.8 3.1849464186597240E-014
20119.4 3.0345237274745231E-014
