# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=20 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=10 (disorder strength), N=1000 (disorder realizations)
# Spectral function S(omega) as a function of omega (for Lanczos method)
# omega/J, S(omega)

8.041673025887281501e-01 3.145655522050270214e-01
8.104498596402025523e-01 4.423090901577680367e-01
8.167324166916770656e-01 3.072897889883017264e-01
8.230149737431514678e-01 2.300544186570947502e-01
8.292975307946258701e-01 3.180953866119935469e-01
8.355800878461002723e-01 2.385606488915111290e-01
8.418626448975747856e-01 3.893339800247106464e-01
8.481452019490491878e-01 5.063323385591550485e-01
8.544277590005235901e-01 4.668201307243672327e-01
8.607103160519981033e-01 4.753990647716556106e-01
8.669928731034725056e-01 7.364526874811549995e-01
8.732754301549469078e-01 5.018697934535426564e-01
8.795579872064214211e-01 9.254484697232620016e-01
8.858405442578958233e-01 8.189860800524029205e-01
8.921231013093702256e-01 7.012869808106846348e-01
8.984056583608446278e-01 7.181780600125668990e-01
9.046882154123191411e-01 9.092371928986024976e-01
9.109707724637935433e-01 7.859676760989207089e-01
9.172533295152679456e-01 1.068833631332044787e+00
9.235358865667424588e-01 8.241389475949025822e-01
9.298184436182168611e-01 1.226963591547563626e+00
9.361010006696912633e-01 1.104263834648300246e+00
9.423835577211657766e-01 1.078398215507697877e+00
9.486661147726401788e-01 1.243332414387583684e+00
9.549486718241145811e-01 1.116556198367013364e+00
9.612312288755890943e-01 1.771571901000170035e+00
9.675137859270634966e-01 2.051995751345793817e+00
9.737963429785378988e-01 1.892140480915715406e+00
9.800789000300123011e-01 2.242034230386366289e+00
9.863614570814868143e-01 1.991323127813342087e+00
9.926440141329612166e-01 2.629021540978320637e+00
9.989265711844356188e-01 2.718887218358393199e+00
1.005209128235910132e+00 2.296473524221693818e+00
1.011491685287384756e+00 2.741714243748162527e+00
1.017774242338859159e+00 2.274859299773573262e+00
1.024056799390333561e+00 2.339045188123951569e+00
1.030339356441807963e+00 2.110289294528385540e+00
1.036621913493282365e+00 1.501582668479566784e+00
1.042904470544756990e+00 1.288313718902324823e+00
1.049187027596231392e+00 1.530705086253977276e+00
1.055469584647705794e+00 1.263611282479565112e+00
