# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=20 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=10 (disorder strength), N=1000 (disorder realizations), T=400 (number of trajectories)
# Spectral function S(omega) as a function of omega (for fTWA method)
# omega/J, S(omega)

1.017876019763094830e-01 5.455162329009624056e-01
1.024159205070274414e-01 5.964658601529130300e-01
1.030442390377453998e-01 3.726087350962222211e-01
1.036725575684633582e-01 4.577240788747380384e-01
1.043008760991813305e-01 4.376867618546508854e-01
1.049291946298992889e-01 4.392292326414419246e-01
1.055575131606172334e-01 4.711780642357076276e-01
1.061858316913351918e-01 4.316563601249875926e-01
1.068141502220531641e-01 5.489999252707619126e-01
1.074424687527711225e-01 5.117613314417168713e-01
1.080707872834890809e-01 4.738791752645396538e-01
1.086991058142070393e-01 4.851406838166296698e-01
1.093274243449249838e-01 4.837282937833652374e-01
1.099557428756429700e-01 5.247443659789803316e-01
1.105840614063609145e-01 5.176287479385572876e-01
1.112123799370788729e-01 4.493866572388213187e-01
1.118406984677968313e-01 3.747984714463333811e-01
1.124690169985148036e-01 6.227848797438890749e-01
1.130973355292327620e-01 3.481371326745357764e-01
1.137256540599507204e-01 5.366159417964934120e-01
1.143539725906686649e-01 3.884680294013131419e-01
1.149822911213866233e-01 4.031661960225667030e-01
1.156106096521046095e-01 4.926481388120626526e-01
1.162389281828225540e-01 5.042697981240354954e-01
1.168672467135405124e-01 4.769363837229659842e-01
1.174955652442584708e-01 5.084147188717877963e-01
1.181238837749764431e-01 4.098019850323335600e-01
1.187522023056944015e-01 4.357068468461914312e-01
1.193805208364123599e-01 4.922327561055182543e-01
1.200088393671303044e-01 3.830863757547474102e-01
1.206371578978482906e-01 4.847524447594735442e-01
1.212654764285662351e-01 3.783465365055901364e-01
1.218937949592841935e-01 3.914503080297183635e-01
1.225221134900021519e-01 5.054532190624063670e-01
1.231504320207201103e-01 4.407503234637357159e-01
1.237787505514380826e-01 6.453212638118132061e-01
1.244070690821560410e-01 4.326647421443812203e-01
1.250353876128739994e-01 3.501785255463318314e-01
1.256637061435919578e-01 4.040716606744840234e-01
1.262920246743099162e-01 1.927255529166176651e-01
1.269203432050278746e-01 4.287536361537354623e-01
1.275486617357458330e-01 4.776770873706102094e-01
