# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=20 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=2 (disorder strength), N=200 (disorder realizations), T=500 (number of trajectories)
# Spectral function S(omega) as a function of omega (for fTWA method)
# omega/J, S(omega)

5.340707511102602556e-01 9.665714002507482805e-01
5.403539364174397841e-01 9.673190633951459505e-01
5.466371217246192016e-01 9.693680962353342645e-01
5.529203070317988411e-01 9.492180296571559595e-01
5.592034923389783696e-01 1.020893047363482076e+00
5.654866776461578981e-01 9.213712117505248322e-01
5.717698629533373156e-01 1.018769770960208376e+00
5.780530482605169551e-01 1.025583080150518578e+00
5.843362335676964836e-01 1.001661926717257955e+00
5.906194188748760121e-01 1.035892421246625394e+00
5.969026041820555406e-01 9.819433505377345162e-01
6.031857894892350691e-01 1.007706052867916480e+00
6.094689747964145976e-01 1.026622972333571360e+00
6.157521601035941261e-01 1.050154178760858148e+00
6.220353454107736546e-01 9.958760852332750879e-01
6.283185307179531831e-01 9.897357689573824668e-01
6.346017160251327116e-01 1.009583036331471284e+00
6.408849013323122401e-01 1.052207919476001452e+00
6.471680866394917686e-01 1.010210079860063948e+00
6.534512719466712971e-01 1.026973719408952990e+00
6.597344572538508256e-01 1.080031064347831915e+00
6.660176425610303541e-01 1.044647266749842540e+00
6.723008278682098826e-01 1.056603644215137416e+00
6.785840131753894111e-01 1.089780837959968496e+00
6.848671984825689396e-01 1.094629627401821903e+00
6.911503837897484681e-01 1.052111709758045688e+00
6.974335690969281076e-01 1.126540498807188762e+00
7.037167544041075251e-01 1.155020746062714654e+00
7.099999397112870536e-01 1.178297243219014634e+00
7.162831250184666931e-01 1.182508204759445958e+00
7.225663103256462216e-01 1.160512085996449061e+00
7.288494956328256391e-01 1.137059783385193201e+00
7.351326809400052786e-01 1.183177978707586675e+00
7.414158662471848071e-01 1.160986522542516663e+00
7.476990515543642246e-01 1.183340498793929774e+00
7.539822368615438641e-01 1.110018603711898422e+00
7.602654221687233926e-01 1.176996592716507140e+00
7.665486074759029211e-01 1.222777293447002478e+00
7.728317927830823386e-01 1.255120646344241253e+00
7.791149780902619781e-01 1.242572224402542780e+00
7.853981633974415066e-01 1.261910037239564630e+00
7.916813487046210351e-01 1.245285966593389304e+00
7.979645340118004526e-01 1.218825947948050992e+00
8.042477193189800921e-01 1.339481994760503225e+00
8.105309046261596206e-01 1.253522958208927118e+00
8.168140899333390381e-01 1.267340313169028621e+00
8.230972752405186776e-01 1.340723925535054040e+00
8.293804605476983172e-01 1.323919822945360369e+00
8.356636458548777346e-01 1.392845939616441875e+00
