,delta_0.05,delta_0.10,delta_0.15,delta_0.20,delta_0.25,delta_0.30,delta_0.35,delta_0.40,delta_0.45,delta_0.50,delta_0.55,delta_0.60,delta_0.65,delta_0.70,delta_0.75,delta_0.80,delta_0.85,delta_0.90,delta_0.95,delta_1.00
U_0.55,0.9940805358672794,0.9681875261615738,0.923923923923924,0.8607142857142858,0.7891891891891892,0.7047970479704797,0.6380090497737557,0.5729166666666667,0.514450867052023,0.4509803921568627,0.4027777777777778,0.393103448275862,0.3181818181818181,0.28682170542635665,0.25984251968503935,0.23200000000000004,0.20967741935483866,0.18699186991869915,0.18032786885245905,0.15702479338842978
U_0.60,0.9930859176410778,0.9641160949868073,0.9144654088050314,0.8430493273542601,0.7712418300653595,0.6902654867256638,0.6149732620320856,0.5414012738853503,0.46376811594202894,0.40625,0.36666666666666664,0.3217391304347826,0.28571428571428575,0.26605504587155965,0.24074074074074078,0.21495327102803738,0.19999999999999996,0.17307692307692307,0.1538461538461538,0.14563106796116504
U_0.65,0.9916912355936746,0.9587217043941412,0.9034267912772586,0.8287292817679557,0.7366255144032923,0.6502732240437158,0.5816993464052287,0.5074626865671642,0.4210526315789474,0.36448598130841126,0.32673267326732675,0.2857142857142857,0.2631578947368421,0.2340425531914893,0.21739130434782605,0.1956521739130435,0.17777777777777773,0.15555555555555559,0.15555555555555559,0.1333333333333333
U_0.70,0.9900515189198793,0.9529015979814971,0.8921001926782275,0.8127090301003345,0.7100000000000001,0.6133333333333333,0.5126050420168067,0.411764705882353,0.3548387096774193,0.3181818181818181,0.27906976744186046,0.25301204819277107,0.21951219512195122,0.20987654320987653,0.17500000000000004,0.16455696202531644,0.16455696202531644,0.13924050632911392,0.13924050632911392,0.12820512820512825
U_0.75,0.9880377271681619,0.944503735325507,0.8722358722358722,0.7894736842105262,0.6687898089171975,0.5045871559633027,0.3720930232558139,0.3164556962025316,0.27999999999999997,0.24324324324324323,0.23287671232876717,0.2222222222222223,0.1830985915492958,0.1714285714285714,0.1714285714285714,0.14285714285714285,0.14285714285714285,0.13043478260869562,0.11428571428571425,0.10144927536231879
U_0.80,0.9852534562211983,0.9346938775510203,0.8523076923076924,0.7538461538461539,0.3142857142857142,0.27536231884057977,0.24242424242424238,0.23076923076923078,0.21874999999999997,0.18749999999999994,0.1746031746031746,0.16129032258064516,0.16129032258064516,0.14285714285714282,0.1290322580645161,0.1290322580645161,0.1147540983606557,0.09677419354838712,0.09677419354838712,0.09677419354838712
U_0.85,0.2542372881355932,0.24137931034482754,0.22807017543859645,0.20689655172413796,0.19298245614035092,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.1636363636363637,0.1428571428571429,0.1428571428571429,0.12727272727272732,0.12727272727272732,0.10714285714285716,0.10714285714285716,0.10714285714285716,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.07142857142857141
U_0.90,0.15999999999999998,0.15999999999999998,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.11999999999999993,0.11999999999999993,0.11999999999999993,0.1020408163265306,0.1020408163265306,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.05882352941176476
U_0.95,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.09090909090909088,0.09090909090909088,0.09090909090909088,0.09090909090909088,0.06666666666666662,0.06666666666666662,0.06666666666666662,0.06666666666666662,0.06666666666666662,0.06666666666666662,0.06666666666666662,0.06666666666666662,0.04347826086956516,0.04347826086956516,0.04347826086956516
U_1.00,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.04761904761904766,0.04761904761904766,0.04761904761904766,0.04761904761904766,0.04761904761904766,0.04761904761904766,0.04761904761904766,0.04761904761904766
