,delta_0.05,delta_0.10,delta_0.15,delta_0.20,delta_0.25,delta_0.30,delta_0.35,delta_0.40,delta_0.45,delta_0.50,delta_0.55,delta_0.60,delta_0.65,delta_0.70,delta_0.75,delta_0.80,delta_0.85,delta_0.90,delta_0.95,delta_1.00
U_0.55,0.1885474860335195,0.15706806282722513,0.11602209944751378,0.0555555555555556,0.012987012987013,0.0,0.021276595744680875,0.025641025641025664,0.030303030303030266,0.03448275862068969,0.037037037037036986,0.04347826086956516,0.04761904761904766,0.0,0.05263157894736841,0.058823529411764684,0.0,0.06666666666666672,0.0,0.0
U_0.60,0.16415868673050613,0.12755102040816327,0.09782608695652169,0.0363636363636364,0.012987012987013,0.016949152542372895,0.021276595744680875,0.025641025641025664,0.058823529411764684,0.03448275862068969,0.037037037037036986,0.04347826086956516,0.04761904761904766,0.05263157894736841,0.05263157894736841,0.058823529411764684,0.0,0.06666666666666672,0.06666666666666672,0.0
U_0.65,0.12566137566137567,0.07653061224489795,0.08602150537634407,0.027027027027027008,0.0,0.016949152542372895,0.041666666666666706,0.050000000000000044,0.058823529411764684,0.03448275862068969,0.037037037037036986,0.04347826086956516,0.04761904761904766,0.05263157894736841,0.05263157894736841,0.058823529411764684,0.0,0.06666666666666672,0.06666666666666672,0.0
U_0.70,0.10376134889753567,0.07653061224489795,0.06878306878306874,0.017857142857142873,0.0,0.016949152542372895,0.021276595744680875,0.050000000000000044,0.058823529411764684,0.06666666666666672,0.07692307692307691,0.0833333333333333,0.04761904761904766,0.05263157894736841,0.05263157894736841,0.058823529411764684,0.0,0.06666666666666672,0.06666666666666672,0.0
U_0.75,0.06997455470737914,0.07281553398058252,0.052083333333333336,0.0,0.012658227848101276,0.03333333333333336,0.041666666666666706,0.050000000000000044,0.058823529411764684,0.06666666666666672,0.07692307692307691,0.04347826086956516,0.04761904761904766,0.10000000000000003,0.05263157894736841,0.058823529411764684,0.0,0.06666666666666672,0.06666666666666672,0.0
U_0.80,0.056532663316582916,0.04739336492890995,0.0,0.008695652173913012,0.024999999999999967,0.03333333333333336,0.041666666666666706,0.050000000000000044,0.058823529411764684,0.06666666666666672,0.07692307692307691,0.04347826086956516,0.04761904761904766,0.05263157894736841,0.05263157894736841,0.058823529411764684,0.0,0.06666666666666672,0.06666666666666672,0.07692307692307691
U_0.85,0.031017369727047148,0.0,0.0,0.01724137931034484,0.024999999999999967,0.03333333333333336,0.041666666666666706,0.050000000000000044,0.058823529411764684,0.06666666666666672,0.07692307692307691,0.04347826086956516,0.04761904761904766,0.10000000000000003,0.05263157894736841,0.058823529411764684,0.058823529411764684,0.06666666666666672,0.06666666666666672,0.0
U_0.90,0.017942583732057416,0.0,0.0,0.025641025641025626,0.024999999999999967,0.04918032786885251,0.041666666666666706,0.050000000000000044,0.058823529411764684,0.06666666666666672,0.07692307692307691,0.0833333333333333,0.04761904761904766,0.10000000000000003,0.05263157894736841,0.058823529411764684,0.0,0.06666666666666672,0.06666666666666672,0.07692307692307691
U_0.95,0.011890606420927468,0.0,0.0,0.033898305084745714,0.050000000000000044,0.03333333333333336,0.061224489795918415,0.050000000000000044,0.058823529411764684,0.06666666666666672,0.07692307692307691,0.0833333333333333,0.04761904761904766,0.05263157894736841,0.05263157894736841,0.058823529411764684,0.058823529411764684,0.06666666666666672,0.06666666666666672,0.0
U_1.00,0.0,0.0,0.04716981132075472,0.033898305084745714,0.03703703703703707,0.04918032786885251,0.061224489795918415,0.050000000000000044,0.058823529411764684,0.06666666666666672,0.07692307692307691,0.0833333333333333,0.04761904761904766,0.10000000000000003,0.05263157894736841,0.058823529411764684,0.058823529411764684,0.06666666666666672,0.06666666666666672,0.07692307692307691
