,delta_0.05,delta_0.10,delta_0.15,delta_0.20,delta_0.25,delta_0.30,delta_0.35,delta_0.40,delta_0.45,delta_0.50,delta_0.55,delta_0.60,delta_0.65,delta_0.70,delta_0.75,delta_0.80,delta_0.85,delta_0.90,delta_0.95,delta_1.00
U_0.55,0.22580645161290322,0.20430107526881713,0.1956521739130435,0.17391304347826095,0.15217391304347827,0.15217391304347827,0.13043478260869568,0.11827956989247317,0.10638297872340426,0.0851063829787234,0.07368421052631571,0.062499999999999965,0.051546391752577324,0.040816326530612186,0.03030303030303029,0.019999999999999928,0.009900990099009866,0.009708737864077721,0.0,0.0
U_0.60,0.16455696202531644,0.15384615384615388,0.15384615384615388,0.13924050632911392,0.11392405063291143,0.125,0.10000000000000003,0.08641975308641976,0.07317073170731714,0.07317073170731714,0.060240963855421735,0.04761904761904766,0.035294117647058906,0.035294117647058906,0.02325581395348839,0.01149425287356328,0.01149425287356328,0.0,0.011235955056179735,0.011235955056179735
U_0.65,0.13043478260869562,0.11764705882352938,0.11764705882352938,0.10144927536231879,0.10144927536231879,0.08571428571428566,0.07042253521126761,0.07042253521126761,0.055555555555555546,0.055555555555555546,0.04109589041095888,0.02702702702702699,0.02702702702702699,0.013333333333333286,0.013333333333333286,0.0,0.0,0.012987012987013,0.012987012987013,0.012658227848101276
U_0.70,0.1147540983606557,0.09677419354838712,0.09677419354838712,0.09677419354838712,0.07936507936507936,0.07936507936507936,0.062499999999999986,0.062499999999999986,0.04615384615384613,0.04615384615384613,0.030303030303030266,0.01538461538461533,0.0,0.0,0.0,0.0,0.0,0.014492753623188418,0.014492753623188418,0.0285714285714286
U_0.75,0.09090909090909091,0.09090909090909091,0.07142857142857141,0.07142857142857141,0.07142857142857141,0.05263157894736839,0.05263157894736839,0.03448275862068969,0.03448275862068969,0.016949152542372895,0.016949152542372895,0.016949152542372895,0.0,0.0,0.0,0.016393442622950834,0.016393442622950834,0.016393442622950834,0.03225806451612906,0.03225806451612906
U_0.80,0.05882352941176476,0.05882352941176476,0.05882352941176476,0.05882352941176476,0.05882352941176476,0.03846153846153849,0.03846153846153849,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0,0.0,0.0,0.01818181818181812,0.01818181818181812,0.01818181818181812,0.01818181818181812,0.03571428571428567,0.03571428571428567,0.03571428571428567
U_0.85,0.04347826086956516,0.0638297872340425,0.04347826086956516,0.0638297872340425,0.041666666666666706,0.041666666666666706,0.041666666666666706,0.020408163265306138,0.020408163265306138,0.020408163265306138,0.0,0.0,0.0,0.020408163265306138,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.05882352941176476,0.05882352941176476
U_0.90,0.04545454545454539,0.02325581395348839,0.02325581395348839,0.04545454545454539,0.04545454545454539,0.022222222222222143,0.022222222222222143,0.022222222222222143,0.022222222222222143,0.0,0.0,0.0,0.022222222222222143,0.04347826086956516,0.04347826086956516,0.04347826086956516,0.04347826086956516,0.04347826086956516,0.04347826086956516,0.0638297872340425
U_0.95,0.050000000000000044,0.050000000000000044,0.02439024390243905,0.02439024390243905,0.02439024390243905,0.02439024390243905,0.02439024390243905,0.0,0.0,0.0,0.0,0.02325581395348839,0.02325581395348839,0.02325581395348839,0.02325581395348839,0.02325581395348839,0.02325581395348839,0.04545454545454539,0.04545454545454539,0.04545454545454539
U_1.00,0.02702702702702699,0.02702702702702699,0.02702702702702699,0.0,0.0,0.0,0.0,0.0,0.025641025641025664,0.025641025641025664,0.025641025641025664,0.025641025641025664,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044
