# Interacting fermions (standard model)
# L=14, Delta=1, W=2.0, dmax=5
# Comparison between projected perturbation ||N_i^perp||^2 and its approximation ||N~_i||^2
# ||N_i^perp||^2 ||~N_i||^2
3.578188392099999893e-02 3.578112728099999695e-02
2.129585676100000102e-02 2.129585676100000102e-02
4.435362360900000495e-02 4.435362360900000495e-02
5.100054388900000096e-02 5.100054388900000096e-02
5.765857488400000230e-02 5.764272792099999626e-02
5.452084900900000530e-02 5.451804708100000535e-02
5.766529849599999480e-02 5.766385768900000874e-02
5.442235779599999962e-02 5.442235779599999962e-02
4.842596348099999920e-02 4.841188072900000361e-02
1.654387612899999721e-02 1.654387612899999721e-02
2.792541788100000311e-02 2.792541788100000311e-02
2.672113315599999872e-02 2.672080622500000099e-02
3.224682147600000520e-02 3.224215272099999890e-02
4.422440761600000131e-02 4.422398702500000139e-02
5.053863686400000138e-02 5.052380062500000379e-02
5.514465924100000332e-02 5.506531560000000464e-02
4.980975876099999478e-02 4.980261722499999821e-02
5.536985486399999268e-02 5.536467820900000530e-02
5.644283092900000826e-02 5.629373116900000112e-02
5.089310402499999664e-02 5.089175046399999069e-02
5.001887520099999179e-02 5.001708602500000433e-02
4.932174722500000386e-02 4.931863808399999938e-02
4.010046300100000155e-02 4.010006250000000549e-02
4.974104272899999846e-02 4.965008932899999533e-02
5.362790692900000489e-02 5.345760168099999987e-02
5.290506012099999850e-02 5.252897286400000365e-02
5.510803200099999299e-02 5.510380656400000465e-02
2.706617232399999989e-02 2.706485619599999920e-02
4.943596496400000373e-02 4.943552028100000467e-02
3.603922560000000219e-02 3.603922560000000219e-02
5.209623651600000377e-02 5.205196620099999255e-02
5.137883556100000110e-02 5.110086302500000538e-02
5.763264462400000121e-02 5.760672019600000110e-02
5.283194190400000018e-02 5.268310278400000629e-02
5.396003784899999767e-02 5.392937952899999610e-02
5.625862172100000447e-02 5.625624985600000127e-02
5.485713465600000616e-02 5.483933568399999847e-02
5.446762468900000209e-02 5.445082240899999648e-02
5.532656665600000495e-02 5.527765254399999439e-02
5.329356931600000291e-02 5.328849064899999349e-02
5.427269122500000265e-02 5.420561804099999909e-02
5.131131039999999727e-02 5.127869670400000274e-02
5.653932839999999821e-02 5.639390067599999584e-02
5.401719705600000615e-02 5.400650644899999270e-02
4.544059622399999887e-02 4.543718559999999212e-02
5.598760468899999926e-02 5.598145281600000467e-02
3.451086444099999567e-02 3.450789216900000678e-02
3.809328062499999640e-02 3.809054822400000095e-02
4.385003521600000509e-02 4.384794120100000275e-02
3.791159468099999930e-02 3.790575363600000303e-02
3.567338787599999561e-02 3.567301012900000318e-02
4.350311347600000628e-02 4.350186204100000426e-02
4.487194889999999298e-02 4.486728876100000429e-02
3.287512922500000073e-02 3.287476659599999906e-02
4.857704160399999721e-02 4.855720744900000191e-02
5.225018788900000211e-02 5.224653062500000250e-02
5.323217984100000327e-02 5.323079552400000053e-02
4.770598588899999798e-02 4.770511222499999870e-02
5.386112640000000062e-02 5.384163344399999634e-02
4.702478990399999725e-02 4.702045296400000213e-02
5.511178808100000021e-02 5.504466745599999322e-02
5.372011417600000560e-02 5.366635559999999999e-02
4.931330835600000739e-02 4.927556436100000853e-02
5.195983480900000229e-02 5.195390835600000035e-02
4.844356980099999432e-02 4.841188072900000361e-02
5.216290566400000328e-02 5.202960999999999697e-02
5.459372440899999679e-02 5.459185520099999606e-02
5.614956768100000384e-02 5.611071312900000468e-02
5.506907022399999685e-02 5.500432089999999358e-02
5.721855361599999940e-02 5.720037555599999379e-02
5.396329000000000403e-02 5.395725036899999549e-02
4.629855924100000075e-02 4.628263795599999592e-02
4.258568776899999964e-02 4.258403688099999390e-02
4.232565582399999693e-02 4.232483289999999787e-02
3.025129704099999844e-02 3.025129704099999844e-02
4.623360039999999810e-02 4.623317036099999777e-02
3.475577204100000622e-02 3.473601337599999811e-02
4.476694272399999591e-02 4.473098100899999818e-02
4.223477112099999903e-02 4.223394908099999817e-02
5.131402867600000361e-02 5.124609337599999453e-02
5.551348576899999693e-02 5.550924481600000293e-02
5.682502440000000710e-02 5.681358273600000536e-02
5.448676377599999399e-02 5.441582598400000054e-02
5.638060291599999302e-02 5.637822848100000617e-02
5.577154560000000677e-02 5.576965633599999944e-02
4.873409456400000506e-02 4.873188700900000364e-02
5.350477872099999171e-02 5.338132993599999793e-02
3.579588320400000495e-02 3.579172096899999739e-02
5.446622439999999898e-02 5.445362260900000334e-02
5.405532000400000564e-02 5.405439001600000071e-02
5.528940876900000773e-02 5.528893849600000771e-02
3.929196128400000432e-02 3.929196128400000432e-02
4.609351363599999835e-02 4.609351363599999835e-02
4.734410256899999891e-02 4.733931577599999330e-02
1.901365210000000375e-02 1.901310054400000282e-02
4.933196366400000032e-02 4.933196366400000032e-02
3.972128720400000534e-02 3.972128720400000534e-02
3.539364942400000102e-02 3.539327316099999399e-02
4.705385256100000357e-02 4.705341872399999847e-02
2.786996524900000119e-02 2.786963136400000263e-02
5.111804464899999401e-02 5.111352288900000013e-02
5.008823041600000275e-02 5.004795379600000121e-02
5.171212440899999874e-02 5.171121480099999390e-02
4.477456000000000491e-02 4.477244402500000359e-02
4.608363824100000089e-02 4.608277956100000072e-02
2.583959800900000048e-02 2.583959800900000048e-02
3.141933502500000169e-02 3.141827150399999907e-02
3.178375840000000063e-02 3.178375840000000063e-02
2.911084316099999889e-02 2.911084316099999889e-02
4.730016019600000871e-02 4.729929025600000669e-02
4.504878900899999400e-02 4.504878900899999400e-02
4.437763559999999274e-02 4.437763559999999274e-02
5.030420979600000453e-02 5.030106984100000261e-02
3.746624784400000296e-02 3.746586072100000636e-02
3.636153196900000079e-02 3.636153196900000079e-02
5.134212174400000495e-02 5.134121539600000617e-02
2.160988200899999906e-02 2.160958800399999727e-02
4.543718559999999212e-02 4.540862664900000012e-02
5.530022560000000253e-02 5.527671210000000696e-02
5.768018788899999250e-02 5.740624321599999830e-02
5.327048641600000412e-02 5.326817840100000340e-02
3.540192771599999511e-02 3.536994876099999741e-02
5.343910656100000350e-02 5.341044544900000468e-02
5.676973369600000346e-02 5.674590979600000612e-02
5.577579656099999200e-02 5.575926595600000368e-02
5.800920420100000308e-02 5.800101555599999903e-02
5.112527988100000476e-02 5.103261721599999801e-02
5.132580870400000467e-02 5.125741280099999769e-02
5.193430788100000806e-02 5.193066168899999890e-02
4.853693672100000550e-02 4.853649609999999975e-02
5.607281920900000077e-02 5.607187202500000384e-02
5.643095270400000363e-02 5.641955078399999574e-02
5.770468752399999374e-02 5.747718553600000835e-02
4.433046030400000781e-02 4.430898700899999626e-02
4.116394632100000422e-02 4.116191745600000090e-02
5.326125465599999831e-02 5.317866602500000150e-02
4.652821561600000572e-02 4.652735280399999951e-02
5.253722410000000176e-02 5.253722410000000176e-02
5.269779359999999385e-02 5.269641624900000404e-02
5.692948280100000591e-02 5.692232505599999215e-02
5.738516070399999475e-02 5.737557902399999937e-02
5.966539022500000344e-02 5.960385132099999678e-02
5.908837256099999657e-02 5.907573302499999346e-02
5.819529016900000518e-02 5.814898188099999754e-02
5.487587353599999301e-02 5.487353100099999492e-02
5.205972355600000517e-02 5.205926722500000409e-02
4.658992740900000373e-02 4.656661884900000631e-02
2.544854467599999906e-02 2.541473640000000214e-02
2.111993692900000427e-02 2.111964627600000297e-02
4.193321017600000478e-02 4.193116244100000140e-02
4.532002322499999875e-02 4.531959745599999784e-02
5.065020313600000074e-02 5.065020313600000074e-02
4.405717040399999979e-02 4.405423188099999443e-02
5.711574212100000575e-02 5.699487769600000003e-02
5.055167656900000361e-02 5.055077722500000287e-02
5.548191811599999940e-02 5.548050484900000218e-02
5.750931572100000111e-02 5.749684622500000203e-02
4.481053922500000813e-02 4.480672897600000010e-02
4.948222291600000433e-02 4.948133313599999833e-02
4.890201504399999816e-02 4.889980368900000152e-02
5.008017379600000762e-02 5.007569817600000112e-02
