time,Ckappa_U0.08,C3-_U0.08,C3+_U0.08,Ckappa_U0.32,C3-_U0.32,C3+_U0.32,Ckappa_U1.28,C3-_U1.28,C3+_U1.28
2.500000000000000888e+00,9.984402783709458440e-01,9.932759479794662782e-01,9.950922363745240418e-01,9.786002189816886965e-01,8.956108605878932982e-01,9.253365829629318640e-01,8.715240070996466137e-01,6.521562391903741596e-02,2.795291295302765322e-01
2.600000000000000977e+00,9.983846305000265708e-01,9.928214507841657266e-01,9.949205219456750404e-01,9.777961835624936482e-01,8.888577520771622220e-01,9.227856423401181729e-01,8.698955737263471821e-01,4.302827617760141693e-02,2.741763171236686891e-01
2.700000000000001066e+00,9.983305013626528890e-01,9.923576361993144967e-01,9.947553431928671808e-01,9.770173332360335694e-01,8.820018693841084056e-01,9.203455658393334682e-01,8.685319711779728724e-01,2.384015487144679549e-02,2.704961198452868198e-01
2.800000000000001155e+00,9.982777890955807365e-01,9.918853345144773570e-01,9.945962634109289935e-01,9.762621331084621046e-01,8.750584467424842305e-01,9.180093955097048397e-01,8.674057245765400825e-01,7.608976527053949029e-03,2.683089542174506570e-01
2.900000000000000799e+00,9.982263972710512245e-01,9.914052641774213637e-01,9.944428649043350887e-01,9.755291275305898457e-01,8.680407538442490578e-01,9.157705148605945755e-01,8.664902267442844419e-01,-5.759787694024251850e-03,2.674432224292526139e-01
3.000000000000000888e+00,9.981762367254618518e-01,9.909179982998602698e-01,9.942947593781061855e-01,9.748169654040356180e-01,8.609595860047176696e-01,9.136227847830927784e-01,8.657596766039900027e-01,-1.640552750862478079e-02,2.677347950196553583e-01
3.100000000000000977e+00,9.981272263007898715e-01,9.904239485578446578e-01,9.941515933746419842e-01,9.741244101541575162e-01,8.538230545180655051e-01,9.115606025433768966e-01,8.651891657951571446e-01,-2.450274027242595534e-02,2.690271966516772917e-01
3.200000000000001954e+00,9.980792928390518348e-01,9.899233666717696112e-01,9.940130497984021041e-01,9.734503390082653862e-01,8.466366710418596897e-01,9.095789021728439838e-01,8.647548979848144191e-01,-3.025032432592158690e-02,2.711724561379758591e-01
3.300000000000002043e+00,9.980323707269479483e-01,9.894163616276641093e-01,9.938788466090492379e-01,9.727937356418869808e-01,8.394036858381660471e-01,9.076731145972861681e-01,8.644344947349953401e-01,-3.386122278442615235e-02,2.740324026240917310e-01
3.400000000000002132e+00,9.979864012224241021e-01,9.889029291786456399e-01,9.937487337071867488e-01,9.721536794411792526e-01,8.321256137458840074e-01,9.058391043617186611e-01,8.642073253152999790e-01,-3.555344060694153735e-02,2.774800908033180358e-01
3.500000000000002220e+00,9.979413317203932321e-01,9.883829890992014144e-01,9.936224889073784761e-01,9.715293337223218639e-01,8.248028662827189272e-01,9.040730972364789952e-01,8.640547956975571653e-01,-3.554307844273731781e-02,2.814010208599608265e-01
3.600000000000001865e+00,9.978971150435579363e-01,9.878564252310031435e-01,9.934999137153160964e-01,9.709199343748911026e-01,8.174354041963770579e-01,9.023716097725185126e-01,8.639605421904454907e-01,-3.403962328496697165e-02,2.856938722326218261e-01
3.700000000000001954e+00,9.978537087853337484e-01,9.873231235500552483e-01,9.933808294241549541e-01,9.703247796508810419e-01,8.100233315346998531e-01,9.007313884251523239e-01,8.639104942689529443e-01,-3.124337360356047033e-02,2.902705736129419511e-01
3.800000000000002043e+00,9.978110746911962314e-01,9.867830042190127715e-01,9.932650738417030389e-01,9.697432212629026882e-01,8.025673680209651772e-01,8.991493625440789561e-01,8.638927947921988260e-01,-2.734460308773452655e-02,2.950556592945190459e-01
3.900000000000002132e+00,9.977691780442985436e-01,9.862360447246962813e-01,9.931524987741007227e-01,9.691746566065979618e-01,7.950691583919826666e-01,8.976226126117891058e-01,8.638975895313883990e-01,-2.252390806077445018e-02,2.999849881915762628e-01
4.000000000000001776e+00,9.977279870195381317e-01,9.856822925628471177e-01,9.930429682372904354e-01,9.686185217735429065e-01,7.875314020596332343e-01,8.961483527902595059e-01,8.639167178214876008e-01,-1.695314235590229465e-02,3.050040044276239315e-01
4.100000000000001421e+00,9.976874719833969118e-01,9.851218673327718500e-01,9.929363572542719840e-01,9.680742850373160735e-01,7.799578106222851970e-01,8.947239252041317981e-01,8.639433493069929026e-01,-1.079640426175913250e-02,3.100657819520780123e-01
4.200000000000001066e+00,9.976476047392470736e-01,9.845549533702218081e-01,9.928325510283838584e-01,9.675414406263456168e-01,7.723529213985759201e-01,8.933468024611174174e-01,8.639716166195895442e-01,-4.210674162582107687e-03,3.151291131183013849e-01
4.300000000000000711e+00,9.976083577434338157e-01,9.839817850377290398e-01,9.927314442603842881e-01,9.670195027858302650e-01,7.647218100307834332e-01,8.920145946315615193e-01,8.639962903045333986e-01,2.654126434010783617e-03,3.201568739684933496e-01
4.400000000000000355e+00,9.975697033407886494e-01,9.834026274159619607e-01,9.926329403954273767e-01,9.665080003225255956e-01,7.570697530077591386e-01,8.907250571710642051e-01,8.640125316597278005e-01,9.655708351750766361e-03,3.251148358215542045e-01
4.500000000000000000e+00,9.975316130850142571e-01,9.828177553601673555e-01,9.925369506375282258e-01,9.660064719749220652e-01,7.494018914159814582e-01,8.894760969311726884e-01,8.640157436852284878e-01,1.666052456860958250e-02,3.299710074259443737e-01
4.599999999999999645e+00,9.974940572168990993e-01,9.822274337191835292e-01,9.924433926431563968e-01,9.655144630254813842e-01,7.417229410366613651e-01,8.882657743070140333e-01,8.640015229959653320e-01,2.354521527862220992e-02,3.346955004943934497e-01
4.699999999999999289e+00,9.974570043705486277e-01,9.816319010237835041e-01,9.923521888906225996e-01,9.650315235557964666e-01,7.340369825481206645e-01,8.870923005633282177e-01,8.639656993501532156e-01,3.019813590387022614e-02,3.392608293995405533e-01
4.799999999999998934e+00,9.974204215650914751e-01,9.810313582330597582e-01,9.922632648053276716e-01,9.645572086410516555e-01,7.263473510684738121e-01,8.859540303250685866e-01,8.639044369823005720e-01,3.652071727998879025e-02,3.436424956789217444e-01
