# long range Heisenberg model
# L = 16, J = 1.0
# Heatmap of the stifness of I2 (cf. Chapter V in the paper)
# Alpha, Delta, stifness

4.90 0.9 4.374605869521918655e-01
5.00 0.9 4.380679227797265596e-01
 
2.00 1 3.609281469953292132e-01
2.10 1 3.480588402585088614e-01
2.20 1 3.460047186838812738e-01
2.30 1 3.600371791851036396e-01
2.40 1 3.728840635947150983e-01
2.50 1 3.801773118206071556e-01
2.60 1 3.861038063907742957e-01
2.70 1 3.906064135500569856e-01
2.80 1 3.947333837520207722e-01
2.90 1 3.988245175035342038e-01
3.00 1 4.029052691948341036e-01
3.10 1 4.068031341648581933e-01
3.20 1 4.103292616713406504e-01
3.30 1 4.133130928911007973e-01
3.40 1 4.156828338696360037e-01
3.50 1 4.182653715229721625e-01
3.60 1 4.214009726545634993e-01
3.70 1 4.224088848179752831e-01
3.80 1 4.262635821538852676e-01
3.90 1 4.285063465526427473e-01
4.00 1 4.308010039686662185e-01
4.10 1 4.325424182415472663e-01
4.20 1 4.339845855803173280e-01
4.30 1 4.351840128924491791e-01
4.40 1 4.361657963696875528e-01
4.50 1 4.367875835129721440e-01
4.60 1 4.375985051428779582e-01
4.70 1 4.380632655858704427e-01
4.80 1 4.385262117246204183e-01
4.90 1 4.390805857467779960e-01
5.00 1 4.398542224235817422e-01
 
