# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=20 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=6 (disorder strength), N=200 (disorder realizations), T=400 (number of trajectories)
# Spectral function S(omega) as a function of omega (for fTWA method)
# omega/J, S(omega)

1.300619358586176666e-01 6.254483776955840346e-01
1.306902543893356250e-01 7.890625458566060679e-01
1.313185729200535834e-01 8.657895375111480663e-01
1.319468914507715696e-01 6.588070758669295479e-01
1.325752099814895002e-01 6.466674383218752320e-01
1.332035285122074586e-01 5.434967313167439196e-01
1.338318470429254170e-01 9.008177643131717316e-01
1.344601655736433754e-01 6.519260090847266431e-01
1.350884841043613616e-01 7.005096371628160012e-01
1.357168026350793200e-01 6.654518693115943906e-01
1.363451211657972506e-01 7.607366411638434300e-01
1.369734396965152090e-01 8.251212523629295470e-01
1.376017582272331952e-01 7.695838253658111583e-01
1.382300767579511536e-01 6.944662360089880471e-01
1.388583952886691120e-01 6.842003096884492486e-01
1.394867138193870704e-01 6.041684814763721434e-01
1.401150323501050288e-01 5.883056598011073834e-01
1.407433508808229872e-01 6.641729461015619673e-01
1.413716694115409456e-01 5.375750378533326046e-01
1.419999879422589040e-01 4.977591225570213163e-01
1.426283064729768624e-01 8.282382583098861772e-01
1.432566250036948208e-01 6.870851026728309607e-01
1.438849435344127792e-01 5.807805118108007036e-01
1.445132620651307376e-01 6.348740874235212495e-01
1.451415805958486960e-01 7.409360508951289281e-01
1.457698991265666821e-01 6.538556903225607453e-01
1.463982176572846405e-01 6.973442969156912197e-01
1.470265361880025712e-01 7.132001718479202834e-01
1.476548547187205296e-01 6.575524714676139748e-01
1.482831732494384880e-01 6.911488364752410574e-01
1.489114917801564741e-01 7.799727035209871318e-01
1.495398103108744325e-01 6.965113517329167836e-01
1.501681288415923909e-01 5.667434752815194710e-01
1.507964473723103216e-01 5.626623540099675580e-01
1.514247659030283077e-01 6.004467719424749772e-01
1.520530844337462661e-01 6.493162490368231676e-01
1.526814029644642245e-01 6.824802870188854120e-01
1.533097214951821829e-01 7.366244539260583535e-01
1.539380400259001413e-01 7.584393524194255054e-01
1.545663585566180998e-01 6.739972556050836117e-01
1.551946770873360582e-01 5.686848397409223210e-01
1.558229956180540166e-01 5.819937180274751265e-01
1.564513141487719750e-01 6.731882512111703187e-01
1.570796326794899611e-01 5.199237904155156187e-01
1.577079512102078918e-01 6.425090210935939794e-01
1.583362697409258502e-01 5.484755174473953110e-01
1.589645882716438086e-01 7.069314244280540116e-01
1.595929068023617947e-01 5.754027181735056340e-01
1.602212253330797531e-01 6.601064383158673499e-01
1.608495438637977115e-01 6.973737544418562306e-01
1.614778623945156422e-01 5.106290514261243585e-01
1.621061809252336006e-01 4.890463032301154978e-01
1.627344994559515867e-01 6.584413104707665942e-01
1.633628179866695451e-01 6.431085519241686033e-01
1.639911365173875035e-01 5.783443549853762855e-01
1.646194550481054619e-01 5.249687973997413382e-01
1.652477735788234203e-01 7.233530244659513997e-01
1.658760921095413787e-01 5.976221833543448048e-01
1.665044106402593371e-01 5.697387057571495772e-01
1.671327291709772955e-01 5.803651259534297058e-01
1.677610477016952539e-01 5.871417841499966261e-01
1.683893662324132123e-01 4.192922613297251355e-01
1.690176847631311707e-01 5.637124007994865904e-01
1.696460032938491291e-01 6.453022664170755540e-01
1.702743218245670875e-01 5.087316137462715160e-01
1.709026403552850737e-01 4.827361118459465583e-01
1.715309588860030043e-01 6.337482592640426571e-01
1.721592774167209627e-01 4.781834433692788155e-01
1.727875959474389211e-01 6.287228525812263991e-01
1.734159144781569073e-01 4.767774739395779227e-01
1.740442330088748657e-01 6.201724099925670641e-01
1.746725515395928241e-01 6.688878285233688104e-01
1.753008700703107547e-01 5.998571405405755952e-01
1.759291886010287131e-01 4.534588913366452423e-01
1.765575071317466993e-01 6.966529002177200836e-01
1.771858256624646577e-01 6.525996165812684158e-01
1.778141441931826161e-01 5.878978028516860244e-01
1.784424627239005745e-01 6.373196811663360828e-01
1.790707812546185329e-01 6.145700370595965634e-01
1.796990997853364913e-01 5.793034201937897754e-01
1.803274183160544497e-01 6.243381342654416022e-01
1.809557368467724081e-01 4.454699828455899735e-01
1.815840553774903665e-01 4.983742714155400266e-01
1.822123739082083249e-01 5.584834273661584136e-01
1.828406924389262833e-01 5.041335632579954096e-01
1.834690109696442417e-01 4.666381978413464693e-01
1.840973295003622001e-01 6.918754538043381253e-01
1.847256480310801863e-01 5.872229085969822293e-01
1.853539665617981447e-01 5.882721667839712065e-01
1.859822850925160753e-01 4.560842073158160037e-01
1.866106036232340337e-01 5.272379202115486940e-01
1.872389221539520199e-01 6.078016193966699898e-01
1.878672406846699783e-01 4.967170717355635090e-01
1.884955592153879367e-01 4.679187187297124129e-01
1.891238777461058951e-01 5.315197678543235327e-01
1.897521962768238257e-01 4.369461804021879114e-01
1.903805148075418119e-01 4.069252128664499479e-01
1.910088333382597703e-01 5.502201098517633948e-01
1.916371518689777287e-01 7.202030817306668276e-01
1.922654703996956871e-01 6.188944824153890245e-01
1.928937889304136455e-01 6.704554922277518036e-01
1.935221074611316039e-01 4.509005780515942252e-01
1.941504259918495623e-01 6.447353659205797838e-01
1.947787445225675207e-01 5.292906900139199289e-01
1.954070630532854791e-01 6.279022248955467012e-01
1.960353815840034652e-01 5.228390768382575882e-01
1.966637001147213959e-01 5.816519140710793012e-01
1.972920186454393821e-01 7.412207115857963879e-01
1.979203371761573127e-01 4.194760810012163610e-01
1.985486557068752989e-01 6.281791834011372089e-01
1.991769742375932295e-01 4.985444336789537356e-01
1.998052927683112157e-01 6.221903077341581767e-01
2.004336112990291741e-01 5.904300942258737805e-01
2.010619298297471047e-01 5.504420170788547617e-01
2.016902483604650909e-01 6.172017346411589056e-01
2.023185668911830215e-01 4.901528104327187441e-01
2.029468854219010077e-01 5.350857457920997762e-01
2.035752039526189661e-01 5.968110476638018858e-01
2.042035224833368967e-01 4.564201334201629656e-01
2.048318410140548829e-01 4.867520619355569789e-01
2.054601595447728690e-01 5.740509728775513576e-01
2.060884780754907997e-01 4.680582476900635447e-01
2.067167966062087581e-01 5.441670638688480555e-01
2.073451151369267165e-01 5.556818630261824987e-01
2.079734336676446749e-01 5.845623210105709289e-01
2.086017521983626610e-01 5.737169746670139903e-01
2.092300707290805917e-01 5.940950521298355991e-01
2.098583892597985778e-01 4.612318941827098229e-01
2.104867077905165085e-01 5.555095624242206709e-01
2.111150263212344669e-01 5.598757885896963327e-01
2.117433448519524530e-01 4.591289623641111040e-01
2.123716633826703837e-01 5.102942102950658310e-01
2.129999819133883698e-01 4.180470365917491882e-01
2.136283004441063282e-01 4.874506936778308375e-01
2.142566189748242589e-01 4.494576078937254082e-01
2.148849375055422450e-01 5.164981403905588575e-01
2.155132560362601757e-01 5.828354929281389651e-01
2.161415745669781618e-01 3.865628767591314796e-01
2.167698930976961480e-01 6.290999265492739356e-01
2.173982116284140786e-01 5.673858708626904335e-01
2.180265301591320370e-01 5.627376834684356677e-01
2.186548486898499677e-01 5.724205286134683712e-01
2.192831672205679538e-01 3.812746829038443641e-01
