# long range t-V model of spinless fermions
# L = 18, t = 1.0, V = 0.4
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 8.8999999999999996E-002 0.514328
1 8.9999999999999997E-002 0.518202
1 9.0999999999999998E-002 0.522355
1 9.1999999999999998E-002 0.526095
1 9.2999999999999999E-002 0.530188
1 9.4000000000000000E-002 0.534175
1 9.5000000000000001E-002 0.538334
1 9.6000000000000002E-002 0.542211
1 9.7000000000000003E-002 0.545989
1 9.8000000000000004E-002 0.549885
1 9.9000000000000005E-002 0.553727
1 0.10000000000000001 0.557527
1 0.11000000000000000 0.595144
1 0.12000000000000000 0.630666
1 0.13000000000000000 0.664261
1 0.14000000000000001 0.694652
1 0.14999999999999999 0.721432
1 0.16000000000000000 0.7454
1 0.17000000000000001 0.766007
1 0.17999999999999999 0.783839
1 0.19000000000000000 0.799379
1 0.20000000000000001 0.812805
1 0.20999999999999999 0.824403
1 0.22000000000000000 0.834272
1 0.23000000000000001 0.842785
1 0.23999999999999999 0.850423
1 0.25000000000000000 0.857287
1 0.26000000000000001 0.863703
1 0.27000000000000002 0.869484
1 0.28000000000000003 0.874702
1 0.28999999999999998 0.87954
1 0.29999999999999999 0.883989
1 0.31000000000000000 0.888078
1 0.32000000000000001 0.891769
1 0.33000000000000002 0.895156
1 0.34000000000000002 0.898214
1 0.34999999999999998 0.901005
1 0.35999999999999999 0.90356
1 0.37000000000000000 0.905938
1 0.38000000000000000 0.908103
1 0.39000000000000001 0.910109
1 0.40000000000000002 0.912004
1 0.40999999999999998 0.913742
1 0.41999999999999998 0.91537
1 0.42999999999999999 0.916908
1 0.44000000000000000 0.918311
1 0.45000000000000001 0.919645
1 0.46000000000000002 0.920912
1 0.46999999999999997 0.922108
1 0.47999999999999998 0.923264
1 0.48999999999999999 0.924359
1 0.50000000000000000 0.925428
1 0.51000000000000001 0.926465
1 0.52000000000000002 0.927451
1 0.53000000000000003 0.928419
1 0.54000000000000004 0.929346
1 0.55000000000000004 0.930263
1 0.56000000000000005 0.931152
1 0.56999999999999995 0.93202
1 0.57999999999999996 0.932856
1 0.58999999999999997 0.933681
1 0.59999999999999998 0.934488
1 0.60999999999999999 0.935282
1 0.62000000000000000 0.936079
1 0.63000000000000000 0.936859
1 0.64000000000000001 0.937627
1 0.65000000000000002 0.938395
1 0.66000000000000003 0.939178
1 0.67000000000000004 0.939968
1 0.68000000000000005 0.940774
1 0.68999999999999995 0.941577
1 0.69999999999999996 0.942395
1 0.70999999999999996 0.94322
