# Interacting fermions (standard model)
# L=16, Delta=1, W=20.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-7.102645107473792851e-01 9.944339935999999547e-01
-7.083872147122665108e-01 -9.999289394000000497e-01
-7.081417762792356907e-01 9.930126286999999552e-01
-7.075617329126026034e-01 -9.999986593999999895e-01
-7.062470699195771973e-01 9.941336671999999597e-01
-7.055996898003210616e-01 9.941379679999999830e-01
-7.042441716931723272e-01 -9.999915848999999524e-01
-7.036052368188103756e-01 -9.999902420999999819e-01
-7.026040711244599946e-01 9.932803502999999479e-01
-7.018691079562053847e-01 9.930125806999999805e-01
-7.010508387523429752e-01 -9.960552528999999655e-01
-7.009285051128455457e-01 9.971004648000000303e-01
-7.002878508732410801e-01 9.971328018999999765e-01
-7.002495805390480665e-01 -9.999980966999999499e-01
-7.001832053724539318e-01 9.970988670000000553e-01
-6.997494894395035470e-01 9.930087010000000491e-01
-6.996098796058205505e-01 -9.999616214000000003e-01
-6.986161308236037426e-01 9.929967346000000417e-01
-6.979770670414313649e-01 9.930006178000000405e-01
-6.964948373970208939e-01 -9.953639869999999501e-01
-6.963662924900796414e-01 -9.953708681999999808e-01
-6.960759318505539417e-01 9.929905920999999580e-01
-6.957428418384830060e-01 -9.953649808000000210e-01
-6.957201568661872670e-01 -9.953013666000000148e-01
-6.957074050559141076e-01 -9.998131218000000375e-01
-6.956502559690738163e-01 9.941198891000000426e-01
-6.930614781131314572e-01 -9.917442109999999866e-01
-6.926440136082253618e-01 -9.978140638000000395e-01
-6.925257414564119918e-01 -9.999719155999999831e-01
-6.918158230886114479e-01 -9.978163342000000435e-01
-6.916722042474993115e-01 9.941235998999999879e-01
-6.912589998145425296e-01 9.930089378999999994e-01
-6.909360481724808878e-01 -9.998579625000000304e-01
-6.908693576148405846e-01 -9.999527354999999673e-01
-6.906350061451633771e-01 9.930128206999999652e-01
-6.904474910101110474e-01 9.939231106999999454e-01
-6.873265706306306289e-01 -9.999368265000000422e-01
-6.872025674311811327e-01 -9.952939982999999824e-01
-6.871579730988999213e-01 -9.999372071000000028e-01
-6.868975195809158274e-01 9.930004222999999630e-01
-6.865199438910718488e-01 -9.978144314000000348e-01
-6.864009233861098069e-01 -9.999372163999999952e-01
-6.863933010112309718e-01 9.930125811000000136e-01
-6.851306911703967106e-01 9.932853997999999685e-01
-6.840857727385314391e-01 -9.980361870999999718e-01
-6.834899516673196285e-01 -9.999980896000000286e-01
-6.826370753020043480e-01 9.974002655000000495e-01
-6.824990738862289907e-01 -9.998065899000000423e-01
-6.823749213982874817e-01 -9.999986518000000268e-01
-6.818269731467335726e-01 9.930084033999999615e-01
-6.809698081765149791e-01 9.941283046000000123e-01
-6.803295568375078428e-01 9.941326043999999529e-01
-6.802938617298009971e-01 9.941336632999999701e-01
-6.797699918522608353e-01 -9.960519031000000245e-01
-6.794034093746356140e-01 9.976961868999999483e-01
-6.791457953951007820e-01 -9.960149239000000154e-01
-6.780708508694656134e-01 9.929907969000000278e-01
-6.780270290923922083e-01 9.932971009000000073e-01
-6.762294168088893720e-01 -9.952248475999999622e-01
-6.752797156471727069e-01 -9.999350994000000270e-01
-6.750179176411064130e-01 -9.999905101999999602e-01
-6.749976633198373488e-01 9.930123851000000057e-01
-6.746395981837670641e-01 -9.999336594000000078e-01
-6.745012871090122486e-01 -9.999721203000000447e-01
-6.735041464718777293e-01 -9.999915848999999524e-01
-6.717565965301217634e-01 9.930087008000000326e-01
-6.705082329130312990e-01 -9.953004227999999731e-01
-6.701872987036789908e-01 9.971006113999999476e-01
-6.696278585501062031e-01 -9.999616081000000101e-01
-6.693094151147910287e-01 9.930008897000000001e-01
-6.688830815741949598e-01 -9.999616238999999851e-01
-6.688730651061368659e-01 9.930004224999999796e-01
-6.678761056023090337e-01 9.929967375999999568e-01
-6.666902104299288201e-01 -9.978140624000000347e-01
-6.663811061871499630e-01 -9.953699339999999562e-01
-6.657342269231415477e-01 -9.953641326000000067e-01
-6.656714632133081677e-01 -9.998589573999999702e-01
-6.656413843845249145e-01 -9.953708635000000360e-01
-6.656260663916930831e-01 -9.998595042000000266e-01
-6.651475958833531488e-01 9.930083973000000119e-01
-6.650022477414162525e-01 -9.998579595000000042e-01
-6.649805596392039941e-01 -9.998131197999999831e-01
-6.630043157775744600e-01 -9.952049866000000078e-01
-6.625353467429472287e-01 -9.999602748999999458e-01
-6.624419740518531219e-01 -9.999915851999999772e-01
-6.621588849847260816e-01 9.973086490000000470e-01
-6.616947800544958902e-01 9.941141007999999557e-01
-6.609115793797636362e-01 9.941235997999999796e-01
-6.605340433048693116e-01 9.930089408000000173e-01
-6.595229787135170607e-01 -9.918410011999999609e-01
-6.588716035985503483e-01 -9.952956682000000388e-01
-6.587184035443091057e-01 -9.918582095000000320e-01
-6.584057563748110242e-01 9.930125811000000136e-01
-6.582330102279827511e-01 -9.952840427000000378e-01
-6.578602104960883379e-01 -9.978167068000000084e-01
-6.577276983621148654e-01 9.941201092000000461e-01
