# XXZ chain with NNN perturbation
# L = 28, S_z^tot = 4, J = 1, Delta = 0.5, g = 0.40
# Time dependence of normalized energy current autocorrelation function, with time rescaled by g^2
# tJg^2, C_kappa(t)

1.808000000000000185e+01 9.109996108209724580e-03
1.824000000000000199e+01 9.012597835048498027e-03
1.840000000000000213e+01 8.931829059241785593e-03
1.856000000000000227e+01 8.851064508139582995e-03
1.872000000000000242e+01 8.774061010744323499e-03
1.888000000000000256e+01 8.707074918106674430e-03
1.904000000000000270e+01 8.645009884351274876e-03
1.920000000000000284e+01 8.576756913530322185e-03
1.936000000000000298e+01 8.490470811864263279e-03
1.952000000000000313e+01 8.400416146017997132e-03
1.968000000000000327e+01 8.317229452814203436e-03
1.984000000000000341e+01 8.226469817020678685e-03
2.000000000000000355e+01 8.122292155446004733e-03
2.016000000000000369e+01 8.002858447246328361e-03
2.032000000000000384e+01 7.869699262866708400e-03
2.048000000000000398e+01 7.728747223312826785e-03
2.064000000000000412e+01 7.593923894074797523e-03
2.080000000000000426e+01 7.473141980089783622e-03
2.096000000000000441e+01 7.361599307778767670e-03
2.112000000000000455e+01 7.254673355940616936e-03
2.128000000000000469e+01 7.136146133845690936e-03
2.144000000000000483e+01 6.992673196465092923e-03
2.160000000000000497e+01 6.806036456266316079e-03
2.176000000000000512e+01 6.579971108598628785e-03
2.192000000000000526e+01 6.338317183709515912e-03
2.208000000000000540e+01 6.096131948763459582e-03
2.224000000000000554e+01 5.860508841389954621e-03
2.240000000000000568e+01 5.630797694865870458e-03
2.256000000000000583e+01 5.416704527584508683e-03
2.272000000000000597e+01 5.227507930274019436e-03
2.288000000000000611e+01 5.051565960832098828e-03
2.304000000000000625e+01 4.872166860762319751e-03
2.320000000000000284e+01 4.685768652327158314e-03
2.336000000000000298e+01 4.495971893360648994e-03
2.352000000000000313e+01 4.307907168910077474e-03
2.368000000000000327e+01 4.113862652685928122e-03
2.384000000000000341e+01 3.916860394619107663e-03
2.400000000000000355e+01 3.732134676390396616e-03
2.416000000000000369e+01 3.566582869002873565e-03
2.432000000000000384e+01 3.424630027907003653e-03
2.448000000000000398e+01 3.298204468733643372e-03
2.464000000000000412e+01 3.182991546307467178e-03
2.480000000000000426e+01 3.073638760219214033e-03
2.496000000000000441e+01 2.967432029628552098e-03
2.512000000000000455e+01 2.866288277210237660e-03
2.528000000000000469e+01 2.774859435722928404e-03
2.544000000000000483e+01 2.685390921965954709e-03
2.560000000000000497e+01 2.591478964042639912e-03
2.576000000000000512e+01 2.483553547388340707e-03
2.592000000000000526e+01 2.352314438023805909e-03
2.608000000000000540e+01 2.207509837138938759e-03
2.624000000000000554e+01 2.075663021347627819e-03
2.640000000000000568e+01 1.967174398435658951e-03
2.656000000000000583e+01 1.879077363781704027e-03
2.672000000000000597e+01 1.815196743922846108e-03
2.688000000000000611e+01 1.774937044939272875e-03
2.704000000000000625e+01 1.751505062261553324e-03
2.720000000000000639e+01 1.736707430906675887e-03
2.736000000000000654e+01 1.710345544277384498e-03
2.752000000000000668e+01 1.669421719295086960e-03
2.768000000000000682e+01 1.640071865104089817e-03
2.784000000000000696e+01 1.637233022603025012e-03
