# XXZ chain, with true anisotropy being Delta+g
# L = 16, full Hilbert space, J = 1, Delta = 0.5, g = 0.10
# Normalized cumlative spectral function for the O3 operator, with frequency scaled by g
# omega/g, R_3(omega)

3.618498759642750362e-01 5.594641007085509044e-01
3.481817630688966436e-01 5.418197959290023125e-01
3.350299341977233114e-01 5.241505776426567120e-01
3.223748878149030328e-01 5.117078710594943347e-01
3.101978590138096958e-01 4.988693715898119274e-01
2.984807916924327453e-01 4.850864895929025145e-01
2.872063117797828413e-01 4.720850003534113326e-01
2.763577014736159909e-01 4.570855179069266971e-01
2.659188744512693825e-01 4.447077787589318598e-01
2.558743520168589303e-01 4.315556853425374095e-01
2.462092401494625771e-01 4.149563791321555506e-01
2.369092074182634622e-01 3.990170305660724059e-01
2.279604637318979887e-01 3.821306001784902651e-01
2.193497398905060181e-01 3.676931341040760026e-01
2.110642679101554509e-01 3.519726111748501807e-01
2.030917620904736931e-01 3.375362226757549489e-01
1.954204007974053303e-01 3.205353845002127944e-01
1.880388089340916669e-01 3.083321904800597202e-01
1.809360410738716229e-01 2.934905909620535436e-01
1.741015652304017114e-01 2.835727993516745649e-01
1.675252472408215454e-01 2.705701158165094156e-01
1.611973357388158667e-01 2.592589822335149008e-01
1.551084476952840630e-01 2.487324473673273306e-01
1.492495545051830408e-01 2.390276087937274752e-01
1.436119685999078799e-01 2.292409830217356781e-01
1.381873305653631978e-01 2.188703236881108793e-01
1.329675967466212305e-01 2.074492136535523168e-01
1.279450273207873301e-01 1.980935353066832216e-01
1.231121748203890809e-01 1.888973620692475375e-01
1.184618730902683575e-01 1.802123806627363711e-01
1.139872266616052399e-01 1.723208487611364303e-01
1.096816005273137939e-01 1.640524271854489069e-01
1.055386103036523998e-01 1.547146204692429472e-01
1.015521127634568116e-01 1.477910175344328836e-01
9.771619672696181536e-02 1.421979109563066834e-01
9.402517429670131932e-02 1.366498231059513346e-01
9.047357242349302053e-02 1.310922529673840264e-01
8.705612479099865408e-02 1.241776397909273855e-01
8.376776400682924006e-02 1.173803089518801468e-01
8.060361408861344001e-02 1.119321759189815524e-01
7.755898323389008586e-02 1.060261320427383636e-01
7.462935686310137595e-02 1.011145646627784195e-01
7.181039092537355728e-02 9.732005535106245941e-02
6.909790545715645271e-02 9.428877582575279082e-02
6.648787838417269391e-02 8.867725461443637380e-02
6.397643955748430478e-02 8.567176972060271123e-02
6.155986501483513840e-02 8.172761534154233953e-02
5.923457145875805907e-02 7.781644638941545566e-02
5.699711094326075089e-02 7.436505788365171954e-02
5.484416576121019932e-02 7.079366001457670921e-02
5.277254352483537470e-02 6.804846307919587556e-02
5.077917243205402886e-02 6.500203759632747214e-02
4.886109671160326212e-02 6.263762142459201876e-02
4.701547224022133847e-02 6.033379573674934465e-02
4.523956232538053207e-02 5.829763790031437798e-02
4.353073364731891576e-02 5.621154983585940207e-02
4.188645235435271147e-02 5.420292779208989165e-02
4.030428030568054820e-02 5.199864227054928900e-02
3.878187145610723086e-02 5.088070187661032640e-02
3.731696837732755706e-02 4.886554408932898552e-02
3.590739891061055233e-02 4.691357312952207370e-02
3.455107294592221073e-02 4.558413829479737722e-02
3.324597932270941664e-02 4.298483760760098138e-02
3.199018284775066723e-02 4.074282010018739908e-02
3.078182142565079674e-02 3.951649011464128392e-02
2.961910329772556028e-02 3.819138696759594859e-02
2.850030438518108555e-02 3.743202924217417515e-02
2.742376573264952364e-02 3.593248455655866092e-02
2.638789104828934487e-02 3.394526174723865031e-02
2.539114433680346797e-02 3.345202420745845701e-02
2.443204762186488785e-02 3.199400476714867742e-02
