# Fitting to data1.dat with error function
# r_S CDF(fit)
5.241020027599999631e-01 6.595310904866613644e-02
5.241148422100000426e-01 6.634295680406093743e-02
5.241186136900000125e-01 6.645780969715076036e-02
5.241260235900000453e-01 6.668391166729803476e-02
5.241265200400000435e-01 6.669908134588464765e-02
5.241381872100000505e-01 6.705635635851975307e-02
5.241420117499999698e-01 6.717379393411054833e-02
5.241484919200000148e-01 6.737313907729480800e-02
5.241574967400000062e-01 6.765090714199439859e-02
5.241578150600000319e-01 6.766074239754771291e-02
5.241626072799999703e-01 6.780894299630191302e-02
5.241665035100000480e-01 6.792961956321919015e-02
5.241738676899999616e-01 6.815816059494156365e-02
5.241783919300000427e-01 6.829886055302536452e-02
5.241815230399999859e-01 6.839636653506453445e-02
5.241971873599999832e-01 6.888578304170411837e-02
5.241998627699999691e-01 6.896964290258950081e-02
5.242100437400000201e-01 6.928948172411353301e-02
5.242258195000000232e-01 6.978733825991023654e-02
5.242316627299999920e-01 6.997243797710278601e-02
5.242378772100000361e-01 7.016971228826185403e-02
5.242485010799999845e-01 7.050795000573173432e-02
5.242742955700000484e-01 7.133439749751518955e-02
5.242845397800000029e-01 7.166467421664968196e-02
5.242896260799999597e-01 7.182909343062560126e-02
5.242973743200000092e-01 7.208011808314451763e-02
5.243193432299999568e-01 7.279551563810315873e-02
5.243259142999999733e-01 7.301054932754413862e-02
5.243297588399999931e-01 7.313658445177606549e-02
5.243338900599999741e-01 7.327220326783201454e-02
5.243405262200000472e-01 7.349045633622841578e-02
5.243696665100000542e-01 7.445472381259060635e-02
5.243865070600000067e-01 7.501637365560404058e-02
5.243891231499999694e-01 7.510391219149026298e-02
5.243974341499999525e-01 7.538252833406344777e-02
5.243976061499999730e-01 7.538830273374802493e-02
5.244085093200000491e-01 7.575503342097905657e-02
5.244129720300000352e-01 7.590552903978686761e-02
5.244147514600000504e-01 7.596560006630914685e-02
5.244171222100000307e-01 7.604568944615758275e-02
5.244207451200000314e-01 7.616820382259448241e-02
5.244229567100000544e-01 7.624306601545510764e-02
5.244400292799999974e-01 7.682285731964766384e-02
5.244434812899999576e-01 7.694049531841556933e-02
5.244446379799999614e-01 7.697994374733746481e-02
5.244473515499999960e-01 7.707254925218987029e-02
5.244491894599999648e-01 7.713531934214035157e-02
5.244749371300000407e-01 7.801876757575876287e-02
5.244930878100000360e-01 7.864614829811872321e-02
5.244972240999999924e-01 7.878965321286096612e-02
5.245008828899999642e-01 7.891675697928413058e-02
5.245033588299999883e-01 7.900285745602159126e-02
5.245035011899999988e-01 7.900781016786501132e-02
5.245157773799999923e-01 7.943578453900396186e-02
5.245201132200000282e-01 7.958735978927478083e-02
5.245318748399999675e-01 7.999963244207419777e-02
5.245395892799999960e-01 8.027091743069786345e-02
5.245527648500000195e-01 8.073585464705623771e-02
5.245530636299999827e-01 8.074642147371069445e-02
5.245544544200000381e-01 8.079562270418921832e-02
5.245547768999999638e-01 8.080703413799611434e-02
5.245679937599999620e-01 8.127578005995073074e-02
5.245763680999999679e-01 8.157384221454339057e-02
5.245845719499999671e-01 8.186663472423494348e-02
5.245881316999999600e-01 8.199392706070585124e-02
5.245917102699999557e-01 8.212204263610728416e-02
5.245923579300000306e-01 8.214524547226825790e-02
5.245939039200000487e-01 8.220065152131494912e-02
5.245976935999999702e-01 8.233658724221404324e-02
5.246105907300000482e-01 8.280047538377505179e-02
5.246149607400000248e-01 8.295810254589958133e-02
5.246245034700000032e-01 8.330309525472595622e-02
5.246250016300000318e-01 8.332113451767769741e-02
5.246281130300000095e-01 8.343387032085680666e-02
5.246375457799999920e-01 8.377634913486886603e-02
5.246445989400000398e-01 8.403312037533638978e-02
5.246501438899999759e-01 8.423539954653291861e-02
5.246511977300000185e-01 8.427388480861364162e-02
5.246696377899999764e-01 8.494943603471000193e-02
5.246701582599999636e-01 8.496856217695347713e-02
5.246754895499999849e-01 8.516466141588657779e-02
5.246803415099999812e-01 8.534342419484208797e-02
5.246975829600000196e-01 8.598093243251303530e-02
5.246982729000000401e-01 8.600651713913504137e-02
5.247156374900000531e-01 8.665231699282632816e-02
5.247174288499999451e-01 8.671914446064127313e-02
5.247197908799999810e-01 8.680731988716372527e-02
5.247231988999999652e-01 8.693466053060844301e-02
5.247324694299999592e-01 8.728175985321806607e-02
5.247333249200000216e-01 8.731384245504358876e-02
5.247362262200000460e-01 8.742271261947009986e-02
5.247416885200000269e-01 8.762795822594038331e-02
5.247455853400000425e-01 8.777460060422975774e-02
5.247621428199999993e-01 8.839972172056986821e-02
5.247641158900000491e-01 8.847443485665795748e-02
5.247684109300000399e-01 8.863723538523476941e-02
5.247693521899999824e-01 8.867294298482969461e-02
5.247750120799999918e-01 8.888788226043237151e-02
5.247752765300000011e-01 8.889793445753035872e-02
5.247791263400000128e-01 8.904436818011551846e-02
5.247801104000000549e-01 8.908182728126495808e-02
5.248006698499999567e-01 8.986712503155341869e-02
5.248018896499999641e-01 8.991387822726615298e-02
5.248072284400000509e-01 9.011871915073299544e-02
5.248081878999999450e-01 9.015556883536762767e-02
5.248126260900000117e-01 9.032617068389420245e-02
5.248153133199999765e-01 9.042958295069830621e-02
5.248256903600000411e-01 9.082974626175910338e-02
5.248263974800000398e-01 9.085706223030104445e-02
5.248331466800000289e-01 9.111808987787145542e-02
5.248461293799999705e-01 9.162176345403350020e-02
5.248462991300000269e-01 9.162836266833063181e-02
5.248463244900000158e-01 9.162934859591465031e-02
5.248535747400000506e-01 9.191154100296061724e-02
5.248613716100000159e-01 9.221572652015641580e-02
5.248655169599999448e-01 9.237775547768434237e-02
5.248695307399999788e-01 9.253484242884141286e-02
5.248961317300000484e-01 9.358092068731355129e-02
5.248982327300000250e-01 9.366391266873203003e-02
5.249000878099999712e-01 9.373723568327729794e-02
5.249007892100000516e-01 9.376496992506372363e-02
5.249030736399999952e-01 9.385534116603228005e-02
