# XXZ spin chain 
# MCLM for L=32, Delta=0.375
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.00762 0.23127 1.48127
0.00764 0.23147 1.48147
0.00766 0.23166 1.48166
0.00768 0.23184 1.48184
0.00770 0.23201 1.48201
0.00772 0.23217 1.48217
0.00774 0.23232 1.48232
0.00776 0.23246 1.48246
0.00778 0.23260 1.4826
0.00780 0.23272 1.48272
0.00782 0.23284 1.48284
0.00784 0.23294 1.48294
0.00786 0.23304 1.48304
0.00788 0.23313 1.48313
0.00790 0.23321 1.48321
0.00792 0.23328 1.48328
0.00794 0.23335 1.48335
0.00796 0.23340 1.4834
0.00798 0.23345 1.48345
0.00800 0.23349 1.48349
0.00802 0.23352 1.48352
0.00804 0.23354 1.48354
0.00806 0.23356 1.48356
0.00808 0.23356 1.48356
0.00810 0.23356 1.48356
0.00812 0.23354 1.48354
0.00814 0.23352 1.48352
0.00816 0.23348 1.48348
0.00818 0.23344 1.48344
0.00820 0.23338 1.48338
0.00822 0.23332 1.48332
0.00824 0.23325 1.48325
0.00826 0.23317 1.48317
0.00828 0.23308 1.48308
0.00830 0.23298 1.48298
0.00832 0.23287 1.48287
0.00834 0.23274 1.48274
0.00836 0.23261 1.48261
0.00838 0.23246 1.48246
0.00840 0.23231 1.48231
0.00842 0.23214 1.48214
0.00844 0.23196 1.48196
0.00846 0.23176 1.48176
0.00848 0.23156 1.48156
0.00850 0.23135 1.48135
0.00852 0.23112 1.48112
0.00854 0.23089 1.48089
0.00856 0.23065 1.48065
0.00858 0.23039 1.48039
0.00860 0.23013 1.48013
0.00862 0.22986 1.47986
0.00864 0.22958 1.47958
0.00866 0.22929 1.47929
0.00868 0.22898 1.47898
0.00870 0.22867 1.47867
0.00872 0.22834 1.47834
0.00874 0.22800 1.478
0.00876 0.22765 1.47765
0.00878 0.22729 1.47729
0.00880 0.22693 1.47693
0.00882 0.22655 1.47655
0.00884 0.22615 1.47615
0.00886 0.22574 1.47574
0.00888 0.22532 1.47532
0.00890 0.22488 1.47488
0.00892 0.22443 1.47443
0.00894 0.22396 1.47396
0.00896 0.22348 1.47348
0.00898 0.22298 1.47298
0.00900 0.22248 1.47248
0.00902 0.22195 1.47195
0.00904 0.22142 1.47142
0.00906 0.22088 1.47088
0.00908 0.22032 1.47032
0.00910 0.21975 1.46975
0.00912 0.21918 1.46918
0.00914 0.21859 1.46859
0.00916 0.21799 1.46799
0.00918 0.21739 1.46739
0.00920 0.21676 1.46676
0.00922 0.21613 1.46613
0.00924 0.21548 1.46548
0.00926 0.21481 1.46481
0.00928 0.21413 1.46413
0.00930 0.21344 1.46344
0.00932 0.21274 1.46274
0.00934 0.21203 1.46203
0.00936 0.21130 1.4613
0.00938 0.21056 1.46056
0.00940 0.20980 1.4598
0.00942 0.20904 1.45904
0.00944 0.20826 1.45826
0.00946 0.20748 1.45748
0.00948 0.20668 1.45668
0.00950 0.20588 1.45588
0.00952 0.20506 1.45506
0.00954 0.20423 1.45423
0.00956 0.20340 1.4534
0.00958 0.20255 1.45255
0.00960 0.20170 1.4517
0.00962 0.20084 1.45084
0.00964 0.19997 1.44997
0.00966 0.19910 1.4491
0.00968 0.19823 1.44823
0.00970 0.19735 1.44735
0.00972 0.19646 1.44646
0.00974 0.19557 1.44557
0.00976 0.19466 1.44466
0.00978 0.19374 1.44374
0.00980 0.19282 1.44282
0.00982 0.19188 1.44188
0.00984 0.19094 1.44094
0.00986 0.18999 1.43999
0.00988 0.18904 1.43904
0.00990 0.18808 1.43808
0.00992 0.18711 1.43711
0.00994 0.18615 1.43615
0.00996 0.18518 1.43518
0.00998 0.18421 1.43421
0.01000 0.18324 1.43324
0.01002 0.18228 1.43228
0.01004 0.18132 1.43132
0.01006 0.18035 1.43035
0.01008 0.17939 1.42939
0.01010 0.17843 1.42843
0.01012 0.17746 1.42746
0.01014 0.17649 1.42649
0.01016 0.17551 1.42551
0.01018 0.17453 1.42453
0.01020 0.17355 1.42355
0.01022 0.17257 1.42257
0.01024 0.17160 1.4216
0.01026 0.17064 1.42064
0.01028 0.16968 1.41968
0.01030 0.16873 1.41873
0.01032 0.16778 1.41778
0.01034 0.16684 1.41684
0.01036 0.16590 1.4159
0.01038 0.16498 1.41498
0.01040 0.16406 1.41406
0.01042 0.16314 1.41314
0.01044 0.16222 1.41222
0.01046 0.16130 1.4113
