# long range Heisenberg model
# L = 16, J = 1.0
# Heatmap of the stifness of I1 (cf. Chapter V in the paper)
# Alpha, Delta, stifness

4.40 0.4 8.218003470114012554e-01
4.50 0.4 8.182121392855477016e-01
4.60 0.4 8.197847780217698554e-01
4.70 0.4 8.170922240501509171e-01
4.80 0.4 8.186236454393257533e-01
4.90 0.4 8.214086666176388940e-01
5.00 0.4 8.216587187039635642e-01
 
2.00 0.5 6.697003795867904063e-01
2.10 0.5 6.945895155536868648e-01
2.20 0.5 7.139614171605854764e-01
2.30 0.5 7.466520224395878369e-01
2.40 0.5 7.638968633343250492e-01
2.50 0.5 7.822385348000407967e-01
2.60 0.5 7.874186915188784441e-01
2.70 0.5 7.949055889644413009e-01
2.80 0.5 7.959434941243505035e-01
2.90 0.5 8.013197043268892594e-01
3.00 0.5 8.074313171291581659e-01
3.10 0.5 8.005170320450633037e-01
3.20 0.5 8.099515326638865309e-01
3.30 0.5 8.084350207751632711e-01
3.40 0.5 8.125463532688401713e-01
3.50 0.5 8.132102619744853156e-01
3.60 0.5 8.036817033140241096e-01
3.70 0.5 8.117016099237437388e-01
3.80 0.5 8.139435538787074265e-01
3.90 0.5 8.066051176003996570e-01
4.00 0.5 8.143645729837892810e-01
4.10 0.5 8.095464368755409534e-01
4.20 0.5 8.190799587904183943e-01
4.30 0.5 8.194612259691780309e-01
4.40 0.5 8.214825239594112372e-01
4.50 0.5 8.208035764888497177e-01
4.60 0.5 8.181690956477268850e-01
4.70 0.5 8.180228725006797319e-01
4.80 0.5 8.191632447565763142e-01
4.90 0.5 8.189591367915389775e-01
5.00 0.5 8.178288440599740250e-01
 
2.00 0.6 6.959244363431846825e-01
2.10 0.6 7.245401365714532194e-01
2.20 0.6 7.458400033057457357e-01
2.30 0.6 7.649613030105638645e-01
2.40 0.6 7.771027756035530087e-01
2.50 0.6 7.896992199097357945e-01
2.60 0.6 7.913023429158010380e-01
2.70 0.6 7.947687015862643367e-01
2.80 0.6 7.959869463521385136e-01
2.90 0.6 7.971441442940498945e-01
3.00 0.6 7.981412164464020131e-01
3.10 0.6 8.044351841256033309e-01
3.20 0.6 8.010874014434133938e-01
3.30 0.6 8.110387229286296629e-01
