# long range Heisenberg model
# L = 16, J = 1.0
# Heatmap of the projection of I3 on A3 (cf. Chapter V in the paper)
# Alpha, Delta, Projection

4.30 0.8 4.582060255546251820e-02
4.40 0.8 4.668962351030544328e-02
4.50 0.8 4.597878609907653930e-02
4.60 0.8 4.481411739185046927e-02
4.70 0.8 4.726376704648131005e-02
4.80 0.8 4.392977063450697467e-02
4.90 0.8 4.578747803317115977e-02
5.00 0.8 4.701219744824636920e-02
 
2.00 0.9 1.612089029076858665e-29
2.10 0.9 4.258633315370098165e-30
2.20 0.9 3.001320500627454605e-30
2.30 0.9 0.000000000000000000e+00
2.40 0.9 2.227958175425981639e-30
2.50 0.9 0.000000000000000000e+00
2.60 0.9 2.440342264180231022e-02
2.70 0.9 2.879566672858496768e-02
2.80 0.9 2.907696676468677147e-02
2.90 0.9 2.970216198081331374e-02
3.00 0.9 3.035451060350762703e-02
3.10 0.9 3.005272683672917389e-02
3.20 0.9 2.986700571588632447e-02
3.30 0.9 3.122983870482320609e-02
3.40 0.9 3.507704233061791771e-02
3.50 0.9 3.480243007115354364e-02
3.60 0.9 3.462207705981393269e-02
3.70 0.9 3.171324816939117414e-02
3.80 0.9 2.911906827574278767e-02
3.90 0.9 3.089838105566643928e-02
4.00 0.9 3.206169909555417474e-02
4.10 0.9 3.364570531982415125e-02
4.20 0.9 3.573132743957468938e-02
4.30 0.9 3.250008213936356888e-02
4.40 0.9 3.380347198014994198e-02
4.50 0.9 3.266518864810846051e-02
4.60 0.9 3.212632771878833754e-02
4.70 0.9 3.245088217310971440e-02
4.80 0.9 3.314362198391451048e-02
4.90 0.9 3.467289492274695101e-02
5.00 0.9 3.252180745601663397e-02
 
2.00 1 1.334239132915733626e-04
2.10 1 4.305967113623912425e-04
2.20 1 3.476426175092448695e-03
2.30 1 4.515234544667721646e-04
2.40 1 3.253412443202840110e-03
2.50 1 5.658230811646366640e-03
2.60 1 5.776404171181937289e-03
2.70 1 5.702275909552728846e-03
2.80 1 5.461097195498324820e-03
2.90 1 5.639292097357536705e-03
3.00 1 6.239303230550385070e-03
3.10 1 6.382299645868564492e-03
3.20 1 7.868648446936684498e-03
3.30 1 8.745325132215861497e-03
3.40 1 1.046823566859059716e-02
3.50 1 1.060955494256315274e-02
3.60 1 8.308205223603957329e-03
3.70 1 7.237794455885462712e-03
3.80 1 7.111015641783053828e-03
3.90 1 6.482590448219153513e-03
4.00 1 5.524780127510148242e-03
4.10 1 5.024199398747821246e-03
4.20 1 4.682067133293566115e-03
4.30 1 4.431824357736233871e-03
4.40 1 4.228211474952046391e-03
4.50 1 3.906153247659950156e-03
4.60 1 3.905049270728281220e-03
4.70 1 3.754484783561876180e-03
4.80 1 3.630243457935792162e-03
4.90 1 3.588016754794357954e-03
5.00 1 3.652278886912383934e-03
 
