# Interacting fermions (standard model)
# L=14, Delta=1, W=2.0, dmax=3
# Comparison between projected perturbation ||N_i^perp||^2 and its approximation ||N~_i||^2
# ||N_i^perp||^2 ||~N_i||^2
5.749157107599999622e-02 5.737557902399999937e-02
6.062231865599999187e-02 5.960385132099999678e-02
5.911268316100000419e-02 5.907573302499999346e-02
5.827733964900000396e-02 5.814898188099999754e-02
5.489883302500000312e-02 5.487353100099999492e-02
5.307171912899999455e-02 5.205926722500000409e-02
4.707120768100000324e-02 4.656661884900000631e-02
2.548556816400000119e-02 2.541473640000000214e-02
2.116617619600000277e-02 2.111964627600000297e-02
4.197868276900000584e-02 4.193116244100000140e-02
4.547598900100000008e-02 4.531959745599999784e-02
5.067406188100000153e-02 5.065020313600000074e-02
4.408446136900000256e-02 4.405423188099999443e-02
5.772198451599999669e-02 5.699487769600000003e-02
5.072810244100000449e-02 5.055077722500000287e-02
5.595874113599999533e-02 5.548050484900000218e-02
5.787440604100000524e-02 5.749684622500000203e-02
4.481604320399999730e-02 4.480672897600000010e-02
4.956812432100000249e-02 4.948133313599999833e-02
4.898077185600000633e-02 4.889980368900000152e-02
5.013255340899999690e-02 5.007569817600000112e-02
4.801006854400000079e-02 4.789969959999999805e-02
5.369786598399999694e-02 5.331342460899999441e-02
4.597765177600000169e-02 4.504878900899999400e-02
2.245652102499999525e-02 2.244063920399999579e-02
4.708292419600000611e-02 4.579685600399999862e-02
4.326566401599999528e-02 4.319538722499999955e-02
4.244794884099999804e-02 4.243023219599999923e-02
4.617728232099999747e-02 4.603127340099999465e-02
5.819673760000000640e-02 5.708419992899999712e-02
5.209623651600000377e-02 5.090754312899999773e-02
5.427874848399999452e-02 5.391869761599999561e-02
3.872591052099999542e-02 3.863701296899999665e-02
4.998667492899999676e-02 4.969421808400000667e-02
5.360938236899999432e-02 5.358576819599999985e-02
4.890113049599999900e-02 4.889980368900000152e-02
4.935106680099999449e-02 4.934173689999999529e-02
4.939728502500000118e-02 4.694588890000000320e-02
4.054665504400000592e-02 4.053457422400000287e-02
4.424712250000000652e-02 4.423955022399999465e-02
5.039755603599999773e-02 5.019616202499999763e-02
5.023829132100000178e-02 5.020870932899999806e-02
5.501604802500000696e-02 5.488571272900000936e-02
5.690323993600000102e-02 5.641147512099999733e-02
4.955699299600000579e-02 4.940662017599999761e-02
4.552974412900000212e-02 4.550926224099999945e-02
4.132682409999999945e-02 4.132601094399999953e-02
2.295558312100000331e-02 2.295376502499999957e-02
5.054178422499999712e-02 5.046447744900000448e-02
2.758489156900000364e-02 2.758356288900000106e-02
4.356779544099999985e-02 4.356529072899999883e-02
1.334325316900000086e-02 1.333678522500000158e-02
5.198354400100000522e-02 5.182907560000000330e-02
4.731799572900000084e-02 4.727319577600000433e-02
4.566640780899999807e-02 4.562709602499999406e-02
5.190696456100000328e-02 5.161938560100000351e-02
