# Generalized Rosenzweig-Porter model RPSF
# size=3500x3500, gamma=2.25
# CDF of level statistics r_S
# r_S CDF
3.808599999999999763e-01 1.499999999999999944e-02
3.808599999999999763e-01 1.511000000000000017e-02
3.808799999999999963e-01 1.521999999999999915e-02
3.809299999999999908e-01 1.533999999999999947e-02
3.809699999999999753e-01 1.545000000000000019e-02
3.809699999999999753e-01 1.555999999999999918e-02
3.809899999999999953e-01 1.566999999999999990e-02
3.810200000000000253e-01 1.577999999999999889e-02
3.810299999999999798e-01 1.589000000000000135e-02
3.810499999999999998e-01 1.600000000000000033e-02
3.810600000000000098e-01 1.610999999999999932e-02
3.810600000000000098e-01 1.621999999999999831e-02
3.810700000000000198e-01 1.634000000000000036e-02
3.810899999999999843e-01 1.644999999999999934e-02
3.810899999999999843e-01 1.655999999999999833e-02
3.810999999999999943e-01 1.667000000000000079e-02
3.810999999999999943e-01 1.677999999999999978e-02
3.811100000000000043e-01 1.688999999999999876e-02
3.811100000000000043e-01 1.700000000000000122e-02
3.811200000000000143e-01 1.711000000000000021e-02
3.811200000000000143e-01 1.721999999999999920e-02
3.811499999999999888e-01 1.734000000000000125e-02
3.811499999999999888e-01 1.745000000000000023e-02
3.811599999999999988e-01 1.755999999999999922e-02
3.811700000000000088e-01 1.767000000000000168e-02
3.811700000000000088e-01 1.778000000000000067e-02
3.811800000000000188e-01 1.788999999999999965e-02
3.812400000000000233e-01 1.799999999999999864e-02
3.812699999999999978e-01 1.811000000000000110e-02
3.812800000000000078e-01 1.822000000000000008e-02
3.812900000000000178e-01 1.833999999999999866e-02
3.813599999999999768e-01 1.845000000000000112e-02
3.813699999999999868e-01 1.856000000000000011e-02
3.814000000000000168e-01 1.866999999999999910e-02
3.814299999999999913e-01 1.878000000000000155e-02
3.814600000000000213e-01 1.889000000000000054e-02
3.814899999999999958e-01 1.899999999999999953e-02
3.815000000000000058e-01 1.910999999999999852e-02
3.815299999999999803e-01 1.922000000000000097e-02
3.815399999999999903e-01 1.933999999999999955e-02
3.815500000000000003e-01 1.944999999999999854e-02
3.815600000000000103e-01 1.956000000000000100e-02
3.815600000000000103e-01 1.966999999999999998e-02
3.815700000000000203e-01 1.977999999999999897e-02
3.815999999999999948e-01 1.989000000000000143e-02
3.816200000000000148e-01 2.000000000000000042e-02
3.816599999999999993e-01 2.010999999999999940e-02
3.816700000000000093e-01 2.021999999999999839e-02
3.817200000000000037e-01 2.034000000000000044e-02
3.817300000000000137e-01 2.044999999999999943e-02
3.817400000000000237e-01 2.055999999999999842e-02
3.817699999999999982e-01 2.067000000000000087e-02
3.817800000000000082e-01 2.077999999999999986e-02
3.817900000000000182e-01 2.088999999999999885e-02
3.817999999999999727e-01 2.100000000000000130e-02
3.818199999999999927e-01 2.111000000000000029e-02
3.818699999999999872e-01 2.121999999999999928e-02
3.819000000000000172e-01 2.134000000000000133e-02
3.819100000000000272e-01 2.145000000000000032e-02
3.819299999999999917e-01 2.155999999999999930e-02
3.819500000000000117e-01 2.166999999999999829e-02
3.819699999999999762e-01 2.178000000000000075e-02
3.820100000000000162e-01 2.188999999999999974e-02
3.820600000000000107e-01 2.199999999999999872e-02
3.820799999999999752e-01 2.211000000000000118e-02
3.820899999999999852e-01 2.222000000000000017e-02
3.820899999999999852e-01 2.233999999999999875e-02
3.821399999999999797e-01 2.245000000000000120e-02
3.821499999999999897e-01 2.256000000000000019e-02
3.821599999999999997e-01 2.266999999999999918e-02
3.821999999999999842e-01 2.278000000000000164e-02
3.822099999999999942e-01 2.289000000000000062e-02
3.822300000000000142e-01 2.299999999999999961e-02
3.822400000000000242e-01 2.310999999999999860e-02
3.822499999999999787e-01 2.322000000000000106e-02
3.822499999999999787e-01 2.333999999999999964e-02
3.822599999999999887e-01 2.344999999999999862e-02
3.822699999999999987e-01 2.356000000000000108e-02
3.822999999999999732e-01 2.367000000000000007e-02
3.822999999999999732e-01 2.377999999999999906e-02
3.823199999999999932e-01 2.389000000000000151e-02
3.823199999999999932e-01 2.400000000000000050e-02
3.823199999999999932e-01 2.410999999999999949e-02
3.823300000000000032e-01 2.421999999999999847e-02
3.823300000000000032e-01 2.434000000000000052e-02
3.823400000000000132e-01 2.444999999999999951e-02
3.823699999999999877e-01 2.455999999999999850e-02
3.823799999999999977e-01 2.467000000000000096e-02
3.823799999999999977e-01 2.477999999999999994e-02
3.823900000000000077e-01 2.488999999999999893e-02
3.823900000000000077e-01 2.500000000000000139e-02
3.823900000000000077e-01 2.511000000000000038e-02
3.824000000000000177e-01 2.522999999999999896e-02
3.824100000000000277e-01 2.534000000000000141e-02
3.824199999999999822e-01 2.545000000000000040e-02
3.824199999999999822e-01 2.555999999999999939e-02
3.824299999999999922e-01 2.566999999999999837e-02
3.824400000000000022e-01 2.578000000000000083e-02
3.824500000000000122e-01 2.588999999999999982e-02
3.824500000000000122e-01 2.599999999999999881e-02
3.824600000000000222e-01 2.611000000000000126e-02
3.824699999999999767e-01 2.622999999999999984e-02
3.824699999999999767e-01 2.633999999999999883e-02
3.824699999999999767e-01 2.645000000000000129e-02
3.824799999999999867e-01 2.656000000000000028e-02
3.825299999999999812e-01 2.666999999999999926e-02
3.825399999999999912e-01 2.678000000000000172e-02
3.825399999999999912e-01 2.689000000000000071e-02
3.825399999999999912e-01 2.699999999999999969e-02
3.825399999999999912e-01 2.710999999999999868e-02
3.825500000000000012e-01 2.723000000000000073e-02
3.825799999999999756e-01 2.733999999999999972e-02
3.825799999999999756e-01 2.744999999999999871e-02
3.825899999999999856e-01 2.756000000000000116e-02
3.825899999999999856e-01 2.767000000000000015e-02
3.826399999999999801e-01 2.777999999999999914e-02
3.826499999999999901e-01 2.789000000000000160e-02
3.826499999999999901e-01 2.800000000000000058e-02
3.826600000000000001e-01 2.810999999999999957e-02
3.826800000000000201e-01 2.823000000000000162e-02
3.827099999999999946e-01 2.834000000000000061e-02
3.827200000000000046e-01 2.844999999999999959e-02
