# XXZ chain with NNN perturbation
# L = 28, S_z^tot = 4, J = 1, Delta = 0.5, g = 0.35
# Time dependence of normalized spin current autocorrelation function, with time rescaled by g^2
# tJg^2, C_sigma(t)

2.364249999999999829e+01 1.087764597868633339e-02
2.376499999999999702e+01 1.069334890241213296e-02
2.388749999999999574e+01 1.053359867115276696e-02
2.400999999999999801e+01 1.038028454296835087e-02
2.413249999999999673e+01 1.022911225055210364e-02
2.425499999999999545e+01 1.007926374299233929e-02
2.437749999999999773e+01 9.927804771349482693e-03
2.449999999999999645e+01 9.784155714822452207e-03
2.462249999999999517e+01 9.635092690567781393e-03
2.474499999999999744e+01 9.482545925778617171e-03
2.486749999999999616e+01 9.326084038697283335e-03
2.498999999999999844e+01 9.181027941872465029e-03
2.511249999999999716e+01 9.052665851328760629e-03
2.523499999999999588e+01 8.928632258370159183e-03
2.535749999999999815e+01 8.810927633297634468e-03
2.547999999999999687e+01 8.695069535179055301e-03
2.560249999999999559e+01 8.583083108865978764e-03
2.572499999999999787e+01 8.474370718114149909e-03
2.584749999999999659e+01 8.364157948256199793e-03
2.596999999999999531e+01 8.245820159928541823e-03
2.609249999999999758e+01 8.121776569340159041e-03
2.621499999999999631e+01 7.996428443843290115e-03
2.633749999999999503e+01 7.883174576347984699e-03
2.645999999999999730e+01 7.791904217616856497e-03
2.658249999999999602e+01 7.704097928179035396e-03
2.670499999999999474e+01 7.618384152107515565e-03
2.682749999999999702e+01 7.549191866147098723e-03
2.694999999999999574e+01 7.488880344825583728e-03
2.707249999999999801e+01 7.432920859289232629e-03
2.719499999999999673e+01 7.381850448674068949e-03
2.731749999999999545e+01 7.315877877539291377e-03
2.743999999999999773e+01 7.227440453402687696e-03
2.756249999999999645e+01 7.133066151537606654e-03
2.768499999999999517e+01 7.037831004747417338e-03
2.780749999999999744e+01 6.951087244938516409e-03
2.792999999999999616e+01 6.878934773140703979e-03
