# Interacting fermions with random potentials (interaction = pair hopping)
# L=12, t=1,
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# W V <r>
6.000000000000000000e+00 1.000000000000000000e+00 4.490923527560833906e-01
6.000000000000000000e+00 2.000000000000000000e+00 5.029861207360000197e-01
6.000000000000000000e+00 3.000000000000000000e+00 5.188169530906250326e-01
6.000000000000000000e+00 4.000000000000000000e+00 5.222035538461000659e-01
6.000000000000000000e+00 5.000000000000000000e+00 5.217744490073999986e-01
6.000000000000000000e+00 6.000000000000000000e+00 5.191586753902750484e-01
6.000000000000000000e+00 7.000000000000000000e+00 5.144227443750499784e-01
6.000000000000000000e+00 8.000000000000000000e+00 5.085287547870999125e-01
6.000000000000000000e+00 9.000000000000000000e+00 5.024314500019499974e-01
6.000000000000000000e+00 1.000000000000000000e+01 4.969666301084000315e-01
6.000000000000000000e+00 1.200000000000000000e+01 4.859683897646000506e-01
6.000000000000000000e+00 1.400000000000000000e+01 4.786519416222499990e-01
6.000000000000000000e+00 1.600000000000000000e+01 4.741769048932000241e-01
6.000000000000000000e+00 2.000000000000000000e+01 4.680227698291000160e-01
7.000000000000000000e+00 1.000000000000000000e+00 4.293819620109499691e-01
7.000000000000000000e+00 2.000000000000000000e+00 4.813867924897000106e-01
7.000000000000000000e+00 3.000000000000000000e+00 5.055262535924249789e-01
7.000000000000000000e+00 4.000000000000000000e+00 5.133715960584750437e-01
7.000000000000000000e+00 5.000000000000000000e+00 5.146019197438750359e-01
7.000000000000000000e+00 6.000000000000000000e+00 5.131485138638499643e-01
7.000000000000000000e+00 7.000000000000000000e+00 5.094190533994499281e-01
7.000000000000000000e+00 8.000000000000000000e+00 5.038572246849500891e-01
7.000000000000000000e+00 9.000000000000000000e+00 4.972450569924500297e-01
7.000000000000000000e+00 1.000000000000000000e+01 4.903783344804499844e-01
7.000000000000000000e+00 1.200000000000000000e+01 4.795175084203500138e-01
7.000000000000000000e+00 1.400000000000000000e+01 4.714929991518000407e-01
7.000000000000000000e+00 1.600000000000000000e+01 4.659307443139500404e-01
7.000000000000000000e+00 2.000000000000000000e+01 4.579375737525999690e-01
8.000000000000000000e+00 1.000000000000000000e+00 4.171130274175332553e-01
8.000000000000000000e+00 2.000000000000000000e+00 4.606425535861000120e-01
8.000000000000000000e+00 3.000000000000000000e+00 4.886950308767000206e-01
8.000000000000000000e+00 4.000000000000000000e+00 5.013908680311500721e-01
8.000000000000000000e+00 5.000000000000000000e+00 5.049996726950499726e-01
