# Interacting fermions (standard model)
# L=16, Delta=1, W=2.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-6.750079450973173190e-01 4.174250724999999940e-01
-6.749704803923544105e-01 2.242887151999999884e-01
-6.748501189955395940e-01 2.241237014000000138e-01
-6.724941224254179506e-01 1.093250085000000010e-01
-6.720323914152874778e-01 3.355517968000000240e-01
-6.717309682193683962e-01 4.487677233999999848e-01
-6.713897904658724380e-01 4.706704090000000118e-01
-6.680265779598910658e-01 -8.389709851000000107e-01
-6.671719537784884801e-01 2.066111633000000114e-01
-6.669957847970484632e-01 5.922467116999999837e-01
-6.663363727084303800e-01 -3.079091861000000097e-01
-6.660539018805241573e-01 5.616287434000000189e-01
-6.646810429696451417e-01 -4.341696843999999778e-01
-6.641124422044957232e-01 3.063433914999999855e-02
-6.601178270515054569e-01 -3.204798147999999847e-01
-6.587686539806651975e-01 -2.180947946000000026e-01
-6.581271764703032767e-01 -2.357500911000000032e-01
-6.574519731243043674e-01 4.522833314999999965e-01
-6.557482416248014978e-01 4.584531955999999742e-01
-6.551449111813599790e-01 2.219278940999999949e-01
-6.542357711784705376e-01 4.033508733000000235e-01
-6.532805971969090075e-01 4.708652615000000208e-01
-6.526134305196678032e-01 2.361704396000000039e-01
-6.518659383859684020e-01 4.634790626999999996e-01
-6.516088738602822117e-01 -1.466978312999999978e-01
-6.514456342780947651e-01 8.060123354000000087e-03
-6.512225204850630167e-01 3.492803157000000103e-01
-6.505407946025496546e-01 -4.649480062999999941e-01
-6.502186961356933859e-01 2.217911156000000050e-01
-6.498316643211389243e-01 4.267179088999999981e-01
-6.492326529464597096e-01 2.714965583000000238e-01
-6.485318693081452146e-01 -7.463763992999999930e-01
-6.481776307911311097e-01 4.720458632000000265e-01
-6.476987610592431777e-01 -6.324560614999999997e-01
-6.472232541479477907e-01 -5.570807319999999674e-01
-6.468687766124758820e-01 -4.864118123000000238e-01
-6.464166365012645743e-01 -4.310550893999999800e-01
-6.463080905661124920e-01 -4.261861840000000234e-01
-6.455069568327033158e-01 -3.622532824999999956e-01
-6.449251046645874119e-01 -4.406850795999999737e-01
-6.446774272357947977e-01 -1.423296823999999905e-01
-6.439825833194764426e-01 1.279389281999999961e-01
-6.437280515874844733e-01 7.307793852999999729e-01
-6.426168352513011994e-01 -6.671818212000000248e-01
-6.405648107099599642e-01 6.229032919000000446e-01
-6.388268239951357952e-01 5.962443026999999507e-01
-6.380780072354390597e-01 -6.545685999000000477e-01
-6.363841378188167530e-01 9.950006888000000049e-02
-6.357336667813414666e-01 1.346215536000000025e-03
-6.356858056451588634e-01 1.613149721999999897e-01
-6.352842538515561799e-01 4.513048999000000006e-01
-6.351114461216595952e-01 3.616694952999999768e-01
-6.341509017213650123e-01 5.877840457999999879e-01
-6.338280990130352732e-01 3.236893543000000095e-01
-6.337360005464055535e-01 4.360360846999999929e-01
-6.327051671113063103e-01 -3.106640613000000162e-01
-6.315706535362094476e-01 2.770210418999999868e-01
-6.314460308639356922e-01 -1.871591583999999975e-01
-6.308482430859347900e-01 -5.850387658000000268e-02
-6.302208788222636304e-01 -6.177004567999999640e-01
-6.290922942473282653e-01 2.573411194999999929e-01
-6.281464848729585437e-01 -3.449930970999999791e-01
