# Long-range Heisenberg model
# L = 18, J = 1.0, Delta = 0.50, Alpha = 2.5
# Integrated spin conductivity I(omega)
# omega, I(omega)

1.69999999999999991E-003 0.589033
1.79999999999999995E-003 0.601181
1.90000000000000000E-003 0.612308
2.00000000000000004E-003 0.621982
2.09999999999999987E-003 0.631038
2.20000000000000013E-003 0.639327
2.29999999999999996E-003 0.649255
2.39999999999999979E-003 0.657443
2.50000000000000005E-003 0.664807
2.59999999999999988E-003 0.671402
2.70000000000000014E-003 0.678208
2.79999999999999997E-003 0.684496
2.89999999999999980E-003 0.690337
3.00000000000000006E-003 0.69648
3.09999999999999989E-003 0.702189
3.20000000000000015E-003 0.707436
3.29999999999999998E-003 0.712565
3.39999999999999981E-003 0.717375
3.50000000000000007E-003 0.721798
3.59999999999999990E-003 0.727013
3.70000000000000016E-003 0.73032
3.79999999999999999E-003 0.734446
3.89999999999999982E-003 0.738232
4.00000000000000008E-003 0.741985
4.10000000000000035E-003 0.746338
4.19999999999999974E-003 0.749842
4.30000000000000000E-003 0.753353
4.40000000000000027E-003 0.756613
4.49999999999999966E-003 0.75969
4.59999999999999992E-003 0.762262
4.70000000000000018E-003 0.765504
4.79999999999999958E-003 0.768093
4.89999999999999984E-003 0.770594
5.00000000000000010E-003 0.773038
5.10000000000000037E-003 0.775485
5.19999999999999976E-003 0.777891
5.30000000000000002E-003 0.780206
5.40000000000000029E-003 0.782524
5.49999999999999968E-003 0.785118
5.59999999999999994E-003 0.78767
5.70000000000000021E-003 0.789677
5.79999999999999960E-003 0.791945
5.89999999999999986E-003 0.793893
6.00000000000000012E-003 0.796004
6.10000000000000039E-003 0.797966
6.19999999999999978E-003 0.800094
6.30000000000000004E-003 0.801592
6.40000000000000031E-003 0.803646
6.49999999999999970E-003 0.805176
6.59999999999999996E-003 0.806948
6.70000000000000023E-003 0.808569
6.79999999999999962E-003 0.810007
6.89999999999999988E-003 0.811546
7.00000000000000015E-003 0.813272
7.10000000000000041E-003 0.814669
7.19999999999999980E-003 0.816199
7.30000000000000007E-003 0.817678
7.40000000000000033E-003 0.819115
7.49999999999999972E-003 0.820512
7.59999999999999998E-003 0.821898
7.70000000000000025E-003 0.823272
7.79999999999999964E-003 0.824539
7.90000000000000077E-003 0.825691
8.00000000000000017E-003 0.827148
8.09999999999999956E-003 0.828278
8.20000000000000069E-003 0.829502
8.30000000000000009E-003 0.830599
8.39999999999999948E-003 0.831991
8.50000000000000061E-003 0.833204
8.60000000000000001E-003 0.834343
8.69999999999999940E-003 0.83539
8.80000000000000053E-003 0.836487
8.89999999999999993E-003 0.837381
8.99999999999999932E-003 0.838616
9.10000000000000045E-003 0.83969
9.19999999999999984E-003 0.840778
9.29999999999999924E-003 0.841988
9.40000000000000037E-003 0.842832
9.49999999999999976E-003 0.843902
9.59999999999999916E-003 0.844767
9.70000000000000029E-003 0.845706
9.79999999999999968E-003 0.846583
9.90000000000000081E-003 0.847504
