# long range t-V model of spinless fermions
# L = 18, t = 1.0, V = 1.0
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 4.6999999999999997E-005 0.0102211
1 4.8000000000000001E-005 0.0102211
1 4.8999999999999998E-005 0.0102216
1 5.0000000000000002E-005 0.0102227
1 5.1000000000000000E-005 0.0102228
1 5.1999999999999997E-005 0.0102243
1 5.3000000000000001E-005 0.0102245
1 5.3999999999999998E-005 0.010225
1 5.5000000000000002E-005 0.010225
1 5.5999999999999999E-005 0.0102267
1 5.7000000000000003E-005 0.0102269
1 5.8000000000000000E-005 0.0102269
1 5.8999999999999998E-005 0.0102272
1 6.0000000000000002E-005 0.0102273
1 6.0999999999999999E-005 0.0102277
1 6.2000000000000003E-005 0.0102277
1 6.3000000000000000E-005 0.0102278
1 6.3999999999999997E-005 0.0102282
1 6.4999999999999994E-005 0.0102282
1 6.6000000000000005E-005 0.0102282
1 6.7000000000000002E-005 0.0102282
1 6.7999999999999999E-005 0.0102282
1 6.8999999999999997E-005 0.0102284
1 6.9999999999999994E-005 0.0102286
1 7.1000000000000005E-005 0.0102293
1 7.2000000000000002E-005 0.0102293
1 7.2999999999999999E-005 0.0102298
1 7.3999999999999996E-005 0.0102298
1 7.4999999999999993E-005 0.0102298
1 7.6000000000000004E-005 0.0102301
1 7.7000000000000001E-005 0.0102301
1 7.7999999999999999E-005 0.0102301
1 7.8999999999999996E-005 0.0102306
1 8.0000000000000007E-005 0.0102307
1 8.1000000000000004E-005 0.0102307
1 8.2000000000000001E-005 0.0102315
1 8.2999999999999998E-005 0.0102321
1 8.3999999999999995E-005 0.010233
1 8.5000000000000006E-005 0.0102333
1 8.6000000000000003E-005 0.0102333
1 8.7000000000000001E-005 0.0102339
1 8.7999999999999998E-005 0.0102339
1 8.8999999999999995E-005 0.0102339
1 9.0000000000000006E-005 0.0102339
1 9.1000000000000003E-005 0.0102341
1 9.2000000000000000E-005 0.0102343
1 9.2999999999999997E-005 0.0102345
1 9.3999999999999994E-005 0.0102347
1 9.5000000000000005E-005 0.0102347
1 9.6000000000000002E-005 0.0102347
1 9.7000000000000000E-005 0.0102353
1 9.7999999999999997E-005 0.0102353
1 9.8999999999999994E-005 0.0102353
1 1.0000000000000000E-004 0.0102353
1 1.1000000000000000E-004 0.010241
1 1.2000000000000000E-004 0.0102431
1 1.2999999999999999E-004 0.0102451
1 1.3999999999999999E-004 0.0102521
1 1.4999999999999999E-004 0.010256
1 1.6000000000000001E-004 0.0102646
1 1.7000000000000001E-004 0.0102705
1 1.8000000000000001E-004 0.0102766
1 1.9000000000000001E-004 0.0102882
1 2.0000000000000001E-004 0.0102938
1 2.1000000000000001E-004 0.0102988
1 2.2000000000000001E-004 0.0103207
1 2.3000000000000001E-004 0.0103308
1 2.4000000000000001E-004 0.0103371
1 2.5000000000000001E-004 0.0103419
1 2.5999999999999998E-004 0.0103568
1 2.7000000000000000E-004 0.0103634
1 2.7999999999999998E-004 0.0103684
1 2.9000000000000000E-004 0.0103822
1 2.9999999999999997E-004 0.0103891
1 3.1000000000000000E-004 0.0103982
1 3.2000000000000003E-004 0.0104033
1 3.3000000000000000E-004 0.0104092
1 3.4000000000000002E-004 0.0104198
1 3.5000000000000000E-004 0.0104299
1 3.6000000000000002E-004 0.0104386
1 3.6999999999999999E-004 0.0104475
1 3.8000000000000002E-004 0.0104526
1 3.8999999999999999E-004 0.0104574
1 4.0000000000000002E-004 0.0104663
1 4.0999999999999999E-004 0.0104753
1 4.2000000000000002E-004 0.0104835
1 4.2999999999999999E-004 0.0104964
1 4.4000000000000002E-004 0.0105055
1 4.4999999999999999E-004 0.0105149
1 4.6000000000000001E-004 0.0105308
1 4.6999999999999999E-004 0.0105421
1 4.8000000000000001E-004 0.0105548
1 4.8999999999999998E-004 0.0105652
1 5.0000000000000001E-004 0.0105744
1 5.1000000000000004E-004 0.0105852
1 5.1999999999999995E-004 0.0105981
1 5.2999999999999998E-004 0.0106157
1 5.4000000000000001E-004 0.0106243
1 5.5000000000000003E-004 0.0106312
1 5.5999999999999995E-004 0.01064
1 5.6999999999999998E-004 0.0106521
1 5.8000000000000000E-004 0.0106666
1 5.9000000000000003E-004 0.0106906
1 5.9999999999999995E-004 0.0107028
1 6.0999999999999997E-004 0.0107185
1 6.2000000000000000E-004 0.0107292
1 6.3000000000000003E-004 0.0107422
1 6.4000000000000005E-004 0.0107528
1 6.4999999999999997E-004 0.0107624
1 6.6000000000000000E-004 0.0107747
