# XXZ model at half-filling
# L=28, J=1, Delta=0.40
# Integrated conductivity, I_s(omega) via MCLM
# omega/Delta I_s(omega)

0.6625 0.0977375
0.66375 0.0977834
0.665 0.0978329
0.66625 0.09788
0.6675 0.0979243
0.66875 0.0979741
0.67 0.0980192
0.67125 0.0981032
0.6725 0.0981471
0.67375 0.0981985
0.675 0.0982654
0.67625 0.0983178
0.6775 0.0983695
0.67875 0.0984306
0.68 0.0984804
0.68125 0.0985317
0.6825 0.0985837
0.68375 0.0986329
0.685 0.0986816
0.68625 0.0987363
0.6875 0.0987791
0.68875 0.0988296
0.69 0.0988786
0.69125 0.0989275
0.6925 0.0989824
0.69375 0.0990272
0.695 0.0990716
0.69625 0.0991236
0.6975 0.0991868
0.69875 0.0992431
0.7 0.0992951
0.70125 0.0993537
0.7025 0.0994038
0.70375 0.0994503
0.705 0.0994978
0.70625 0.0995548
0.7075 0.0996091
0.70875 0.0996568
0.71 0.0997025
0.71125 0.0997459
0.7125 0.0997989
0.71375 0.0998431
0.715 0.0998998
0.71625 0.0999603
0.7175 0.100014
0.71875 0.100067
0.72 0.100118
0.72125 0.100175
0.7225 0.10023
0.72375 0.100277
0.725 0.100325
0.72625 0.100376
0.7275 0.100424
0.72875 0.100483
0.73 0.100525
0.73125 0.100578
0.7325 0.100626
0.73375 0.100668
0.735 0.10072
0.73625 0.100779
0.7375 0.100841
0.73875 0.100887
0.74 0.100936
0.74125 0.100987
0.7425 0.101036
0.74375 0.101087
0.745 0.101139
0.74625 0.101186
0.7475 0.101234
0.74875 0.101288
0.75 0.101345
0.75125 0.101395
0.7525 0.101447
0.75375 0.101494
0.755 0.101541
0.75625 0.101586
0.7575 0.10163
0.75875 0.101684
0.76 0.101733
0.76125 0.101784
0.7625 0.101832
0.76375 0.101875
0.765 0.101918
0.76625 0.101969
0.7675 0.102028
0.76875 0.102073
0.77 0.102125
0.77125 0.102174
0.7725 0.102223
0.77375 0.102271
0.775 0.102313
0.77625 0.102369
0.7775 0.102425
0.77875 0.102472
0.78 0.102532
0.78125 0.102577
0.7825 0.10262
0.78375 0.102668
0.785 0.102714
0.78625 0.102755
0.7875 0.102812
0.78875 0.102869
0.79 0.102918
0.79125 0.102966
0.7925 0.103022
0.79375 0.103067
0.795 0.103115
0.79625 0.103161
0.7975 0.103207
0.79875 0.103254
0.8 0.103294
0.80125 0.103341
0.8025 0.103385
0.80375 0.103449
0.805 0.103493
0.80625 0.103545
0.8075 0.103593
0.80875 0.103641
0.81 0.103693
