# Fitting to data1.dat with error function
# r_S CDF(fit)
3.778138573400000033e-01 2.244882342428211608e-02
3.778300832400000031e-01 2.264418004446827615e-02
3.778348437399999815e-01 2.270176669814971682e-02
3.778364410699999731e-01 2.272111686074473891e-02
3.778756864799999726e-01 2.320092263062795146e-02
3.778903588199999941e-01 2.338248075539395288e-02
3.778966668400000062e-01 2.346090400940825660e-02
3.779080702800000080e-01 2.360323674274472650e-02
3.779144098600000223e-01 2.368267822815595114e-02
3.779362598700000131e-01 2.395820636734496967e-02
3.779665421300000272e-01 2.434451473660304011e-02
3.779666573600000135e-01 2.434599464628717236e-02
3.780052809300000205e-01 2.484631464649356136e-02
3.780503485400000252e-01 2.544098186788407157e-02
3.780616352200000252e-01 2.559176214672381766e-02
3.780657599800000268e-01 2.564705172671033484e-02
3.780735744900000084e-01 2.575207407428092843e-02
3.780748513600000194e-01 2.576926860932499119e-02
3.780775023399999824e-01 2.580499781270656490e-02
3.781025432199999758e-01 2.614454188460169082e-02
3.781129922600000026e-01 2.628732724598714654e-02
3.781382570899999851e-01 2.663526478614869353e-02
3.781461224700000123e-01 2.674436584274292317e-02
3.781489184599999831e-01 2.678323895661938181e-02
3.781576523899999875e-01 2.690497224098381546e-02
3.781641047100000042e-01 2.699520087564183379e-02
3.781650402999999772e-01 2.700830501979600839e-02
3.782151949099999966e-01 2.771859564598921910e-02
3.782481758199999766e-01 2.819410367213326385e-02
3.782753110600000079e-01 2.859040500799786555e-02
3.782771928199999967e-01 2.861805844249254438e-02
3.782829967999999932e-01 2.870349107839259561e-02
3.783392893099999932e-01 2.954315316159678018e-02
3.783583267200000266e-01 2.983168948223696715e-02
3.784588107499999854e-01 3.139364207401063034e-02
3.784971843600000163e-01 3.200770614943593273e-02
3.785324731699999945e-01 3.258112859889983337e-02
3.785373363199999730e-01 3.266081217677174742e-02
3.785419855700000169e-01 3.273714115875681063e-02
3.785566094200000231e-01 3.297818739211244576e-02
3.785749803299999772e-01 3.328306766502842073e-02
3.785758096099999803e-01 3.329688482241260905e-02
3.785903372800000222e-01 3.353970672733647129e-02
3.785967217499999760e-01 3.364687968881474589e-02
3.786031858200000211e-01 3.375567582672195366e-02
3.786236871499999990e-01 3.410264800063855795e-02
3.786498944999999727e-01 3.455045578032744924e-02
3.786691816800000221e-01 3.488309421899449259e-02
3.786912934200000191e-01 3.526767672044439639e-02
3.787075872599999782e-01 3.555329040621785230e-02
3.787297169000000130e-01 3.594423327503404320e-02
3.787376778300000080e-01 3.608572970835516314e-02
3.787389476899999941e-01 3.610834214609842663e-02
3.787408219300000267e-01 3.614173799808639842e-02
3.787459610999999726e-01 3.623343926430233619e-02
3.787504825299999878e-01 3.631427526218700130e-02
3.787823022299999787e-01 3.688734494627710081e-02
3.788020854999999965e-01 3.724735258556577389e-02
3.788302479599999772e-01 3.776478818120920788e-02
3.788419559999999797e-01 3.798162236622815158e-02
3.788432838199999875e-01 3.800627773984527336e-02
3.788678624199999789e-01 3.846502322835099186e-02
3.789223115199999992e-01 3.949736541415876934e-02
3.789431387700000209e-01 3.989815692686649040e-02
3.789443233900000041e-01 3.992105228881676071e-02
3.789447216599999835e-01 3.992875212220492465e-02
3.789863065599999858e-01 4.073938787077485690e-02
3.790159429700000193e-01 4.132521631964930497e-02
3.790349947000000164e-01 4.170540797143101885e-02
3.790517847600000101e-01 4.204281025786776871e-02
3.790587031600000101e-01 4.218247923050177928e-02
3.790625480300000016e-01 4.226026180867992199e-02
3.790945319499999799e-01 4.291181073432098758e-02
3.791007451100000258e-01 4.303931666195726091e-02
3.791218142900000254e-01 4.347397692853771645e-02
3.791259649800000076e-01 4.356002265998126788e-02
3.791385340099999723e-01 4.382142308570891043e-02
3.791387246999999849e-01 4.382539862388046270e-02
3.791739489300000043e-01 4.456476464351810662e-02
3.792093084100000011e-01 4.531704282426129993e-02
3.792136324000000003e-01 4.540973322383007327e-02
3.792321159800000063e-01 4.580767332610707898e-02
