# Random field Heisenberg chain
# L=16, J=1, Delta=1, W=4.0, h_i in [-W,W]
# Cumulative distribution function (CDF) of the fitting parameter mu; for 10^3 realizations of the disorder
# mu CDF

1.216613576024204 0.267313
1.216847508475439 0.268698
1.217177196696426 0.270083
1.2175501727063218 0.271468
1.217713919081275 0.272853
1.2186140851329292 0.274238
1.2202602361930799 0.275623
1.220580246720476 0.277008
1.2222731278081351 0.278393
1.2229103234608507 0.279778
1.2234539440174692 0.281163
1.2240170736947653 0.282548
1.2243241519397476 0.283934
1.2246463824680254 0.285319
1.2249671246769682 0.286704
1.225284430371561 0.288089
1.2256833454174796 0.289474
1.2258448282644105 0.290859
1.2262553535944014 0.292244
1.2276380698496572 0.293629
1.2277346379293268 0.295014
1.2280877828251962 0.296399
1.2284514268078728 0.297784
1.2288474975944568 0.299169
1.2293079297776275 0.300554
1.2293851035604233 0.301939
1.2302543477411132 0.303324
1.2305555739311125 0.304709
1.2313071419581214 0.306094
