# XXZ spin chain 
# ED for L=20, Delta=0.425
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

1.9500000000000000E-002 4.9150250915312851E-004 1.15049
2.0000000000000000E-002 5.1201421587865369E-004 1.15051
2.0500000000000001E-002 5.5468492501523027E-004 1.15055
2.1000000000000001E-002 6.1924116867463164E-004 1.15062
2.1500000000000002E-002 6.5387841942810053E-004 1.15065
2.1999999999999999E-002 6.4739902813365773E-004 1.15065
2.2499999999999999E-002 1.2557881901754673E-003 1.15126
2.3000000000000000E-002 6.3627912364804982E-004 1.15064
2.3500000000000000E-002 3.3130354545714935E-003 1.15331
2.4000000000000000E-002 4.2303847137421810E-003 1.15423
2.4500000000000001E-002 2.4700364096438294E-003 1.15247
2.5000000000000001E-002 4.0411385046120159E-003 1.15404
2.5500000000000002E-002 8.9836908316061580E-003 1.15898
2.6000000000000002E-002 1.0943319293466413E-002 1.16094
2.6499999999999999E-002 7.5952033075225274E-003 1.1576
2.7000000000000000E-002 9.6962999363847998E-003 1.1597
2.7500000000000000E-002 1.4186412723966793E-002 1.16419
2.8000000000000001E-002 5.8042828641752748E-003 1.1558
2.8500000000000001E-002 1.3216288237353789E-002 1.16322
2.9000000000000001E-002 2.4167509015095300E-002 1.17417
2.9500000000000002E-002 2.2718101187655038E-002 1.17272
2.9999999999999999E-002 1.9879789753290786E-002 1.16988
3.0499999999999999E-002 2.0099984958239198E-002 1.1701
3.1000000000000000E-002 2.8749433697505301E-002 1.17875
3.1500000000000000E-002 1.5849028357145967E-002 1.16585
3.2000000000000001E-002 2.5833641831657587E-002 1.17583
3.2500000000000001E-002 4.3524381565834672E-002 1.19352
3.3000000000000002E-002 2.5690104979476654E-002 1.17569
3.3500000000000002E-002 1.4431031408186154E-002 1.16443
3.4000000000000002E-002 2.4715242309784662E-002 1.17472
3.4500000000000003E-002 3.6870096656564377E-002 1.18687
3.5000000000000003E-002 2.6217494655600818E-002 1.17622
3.5500000000000004E-002 2.8530415768344416E-002 1.17853
3.6000000000000004E-002 2.0817745777378958E-002 1.17082
3.6499999999999998E-002 3.4323676819248465E-002 1.18432
3.6999999999999998E-002 3.7718890011363089E-002 1.18772
3.7499999999999999E-002 3.3362423660964487E-002 1.18336
3.7999999999999999E-002 3.2181610342622104E-002 1.18218
3.8500000000000000E-002 4.0181918898275562E-002 1.19018
3.9000000000000000E-002 3.6721425816325988E-002 1.18672
3.9500000000000000E-002 2.3869541747883621E-002 1.17387
4.0000000000000001E-002 2.9042980121712473E-002 1.17904
4.0500000000000001E-002 2.7007034384758263E-002 1.17701
4.1000000000000002E-002 3.4159837553016083E-002 1.18416
4.1500000000000002E-002 2.7697323512360286E-002 1.1777
4.2000000000000003E-002 2.3578980176885651E-002 1.17358
4.2500000000000003E-002 2.5711365400727767E-002 1.17571
4.3000000000000003E-002 3.0815908711210697E-002 1.18082
4.3500000000000004E-002 3.6607974937046289E-002 1.18661
4.3999999999999997E-002 2.7040269243809065E-002 1.17704
4.4499999999999998E-002 2.8404663227027609E-002 1.1784
4.4999999999999998E-002 2.9455083216302407E-002 1.17946
4.5499999999999999E-002 2.5681421307309531E-002 1.17568
4.5999999999999999E-002 3.0176048570907842E-002 1.18018
4.6500000000000000E-002 3.1688897393415204E-002 1.18169
4.7000000000000000E-002 3.6492717761646545E-002 1.18649
4.7500000000000001E-002 4.0787171072779328E-002 1.19079
4.8000000000000001E-002 3.1264021464078730E-002 1.18126
4.8500000000000001E-002 3.8722199912746176E-002 1.18872
4.9000000000000002E-002 3.6049587788019560E-002 1.18605
4.9500000000000002E-002 3.7077119544562873E-002 1.18708
5.0000000000000003E-002 3.3464346062352317E-002 1.18346
5.0500000000000003E-002 3.4294459867330360E-002 1.18429
5.1000000000000004E-002 3.5619064446494819E-002 1.18562
5.1500000000000004E-002 3.3887268768892954E-002 1.18389
5.2000000000000005E-002 3.4877638965925543E-002 1.18488
5.2499999999999998E-002 4.5720058967509344E-002 1.19572
5.2999999999999999E-002 3.5884887707667887E-002 1.18588
5.3499999999999999E-002 4.3490121589849481E-002 1.19349
