Superlattice								SYK2								Anderson				AA			
W=1.0				W=7.5				gamma=0.2				gamma=0.5				W=30				Alpha=1.5			
Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda
		-0.31236	2.40311			-0.32344	2.53638			-0.09419	-0.67569			-0.08421	-0.1314			-0.94744	-0.15139			-0.23742	-1.92765
		-0.31172	2.44714			-0.3231	2.55051			-0.09402	-0.68023			-0.08413	-0.13221			-0.94558	0.69762			-0.23714	-1.92722
		-0.31113	2.42069			-0.32279	2.49439			-0.09378	-0.70125			-0.08393	-0.09512			-0.94193	-0.20549			-0.23685	-1.92679
		-0.31078	2.40207			-0.32188	2.49882			-0.09372	-0.75882			-0.08387	-0.13435			-0.94185	-0.29189			-0.23657	-1.92636
		-0.31073	2.37902			-0.32114	2.52026			-0.09367	-0.70578			-0.08381	-0.11764			-0.94013	-1.07014			-0.23629	-1.92593
		-0.31021	2.39277			-0.32068	2.51684			-0.0936	-0.74667			-0.08376	-0.12274			-0.93937	-0.0451			-0.236	-1.92549
		-0.30997	2.40106			-0.32059	2.50955			-0.09344	-0.7671			-0.08363	-0.13768			-0.93877	2.32294			-0.23572	-1.92506
		-0.30965	2.4077			-0.32013	2.46836			-0.0934	-0.71656			-0.08356	-0.14243			-0.93709	0.03256			-0.23543	-1.92463
		-0.30917	2.40985			-0.31947	2.55374			-0.0933	-0.77483			-0.08346	-0.14129			-0.93648	1.84745			-0.23515	-1.9242
		-0.30879	2.39237			-0.31916	2.54034			-0.09308	-0.74049			-0.08342	-0.13749			-0.93524	-0.93127			-0.23487	-1.92376
		-0.30842	2.44313			-0.31873	2.50233			-0.09305	-0.77972			-0.08328	-0.13488			-0.93313	-0.32895			-0.23458	-1.92333
		-0.30804	2.39756			-0.31835	2.51146			-0.09291	-0.7114			-0.08316	-0.13014			-0.93262	0.54663			-0.2343	-1.9229
		-0.30747	2.41875			-0.31815	2.53481			-0.09281	-0.75416			-0.08301	-0.15476			-0.93191	-0.46972			-0.23401	-1.92246
		-0.30704	2.38831			-0.3179	2.52477			-0.09256	-0.76422			-0.08299	-0.13907			-0.92922	0.14968			-0.23373	-1.92203
		-0.3068	2.44961			-0.31768	2.48541			-0.0924	-0.70686			-0.08288	-0.14241			-0.92897	2.03249			-0.23344	-1.92159
		-0.30621	2.38593			-0.31752	2.50716			-0.0923	-0.73755			-0.08276	-0.11786			-0.92851	0.47487			-0.23316	-1.92116
		-0.30584	2.39554			-0.31699	2.52611			-0.09217	-0.64212			-0.08266	-0.13787			-0.92788	-0.1379			-0.23288	-1.92072
		-0.3054	2.41658			-0.31697	2.54028			-0.09215	-0.75148			-0.08262	-0.07269			-0.92696	1.9338			-0.23259	-1.92029
		-0.30529	2.38507			-0.31619	2.49316			-0.09208	-0.72732			-0.08257	-0.14862			-0.92586	1.53527			-0.23231	-1.91986
		-0.30485	2.3827			-0.31575	2.50154			-0.09181	-0.69999			-0.08237	-0.10554			-0.92582	0.21634			-0.23202	-1.91942
		-0.30461	2.38978			-0.31555	2.487			-0.09177	-0.74567			-0.08231	-0.08982			-0.92532	-1.82854			-0.23174	-1.91899
		-0.30383	2.40567			-0.31523	2.48386			-0.09169	-0.62528			-0.08221	-0.09758			-0.92479	0.08147			-0.23145	-1.91855
		-0.30368	2.4121			-0.31472	2.4969			-0.09162	-0.71251			-0.08211	-0.12117			-0.92255	0.12569			-0.23117	-1.91811
		-0.30327	2.39958			-0.31456	2.5127			-0.0915	-0.76416			-0.08196	-0.10062			-0.92131	0.17277			-0.23089	-1.91768
		-0.30274	2.43668			-0.31399	2.48178			-0.09138	-0.70119			-0.08187	-0.09389			-0.91825	0.9263			-0.2306	-1.91724
		-0.3026	2.43451			-0.3135	2.48832			-0.0913	-0.68312			-0.08176	-0.06092			-0.91714	0.44588			-0.23032	-1.91681
		-0.30228	2.38532			-0.31326	2.48435			-0.09112	-0.70787			-0.08159	-0.15355			-0.9171	0.70243			-0.23003	-1.91637
		-0.30194	2.39011			-0.31231	2.47186			-0.09097	-0.70142			-0.08157	-0.13005			-0.91586	0.17799			-0.22975	-1.91593
		-0.30166	2.3984			-0.31182	2.58312			-0.09095	-0.66871			-0.08149	-0.11672			-0.91474	-1.22253			-0.22946	-1.9155
		-0.30112	2.41097			-0.31145	2.5032			-0.0909	-0.65888			-0.08134	-0.05683			-0.91442	-1.84206			-0.22918	-1.91506
		-0.30072	2.39425			-0.31133	2.52408			-0.09087	-0.67735			-0.08116	-0.1361			-0.91165	2.1614			-0.2289	-1.91462
		-0.30025	2.42574			-0.311	2.54598			-0.09071	-0.71125			-0.08111	-0.09964			-0.90957	0.17637			-0.22861	-1.91418
		-0.29981	2.40004			-0.31083	2.54301			-0.09059	-0.74348			-0.0809	-0.09039			-0.90854	0.05676			-0.22833	-1.91375
		-0.29947	2.40079			-0.31009	2.53834			-0.09055	-0.74686			-0.08081	-0.15911			-0.90749	0.08201			-0.22804	-1.91331
		-0.29893	2.42949			-0.30971	2.51162			-0.09037	-0.76039			-0.08077	-0.09498			-0.90549	-2.48153			-0.22776	-1.91287
		-0.29868	2.40611			-0.3091	2.52508			-0.09025	-0.72054			-0.08064	-0.14868			-0.90444	-0.38094			-0.22747	-1.91243
		-0.29823	2.40352			-0.30873	2.51507			-0.09019	-0.72463			-0.08054	-0.13441			-0.90433	0.32591			-0.22719	-1.912
		-0.29802	2.35262			-0.30837	2.51138			-0.09001	-0.73748			-0.0805	-0.12092			-0.90354	0.81881			-0.2269	-1.91156
		-0.29772	2.45079			-0.30799	2.56505			-0.08973	-0.72062			-0.08041	-0.13705			-0.90332	-0.07758			-0.22662	-1.91112
		-0.2974	2.38517			-0.30786	2.50623			-0.08964	-0.72277			-0.08032	-0.11268			-0.90248	0.27578			-0.22634	-1.91068
		-0.29725	2.4456			-0.30762	2.47246			-0.08955	-0.68121			-0.08013	-0.09163			-0.90183	-0.02204			-0.22605	-1.91024
		-0.29673	2.40007			-0.30733	2.51172			-0.08945	-0.70636			-0.08007	-0.11976			-0.90054	-0.24635			-0.22577	-1.9098
		-0.29628	2.43684			-0.30673	2.56045			-0.08939	-0.70098			-0.07998	-0.07134			-0.89723	1.18461			-0.22548	-1.90936
		-0.2954	2.43003			-0.30652	2.48921			-0.08925	-0.7178			-0.0799	-0.1015			-0.89717	0.45994			-0.2252	-1.90892
		-0.29513	2.44644			-0.30618	2.53571			-0.08915	-0.65595			-0.07983	-0.12115			-0.89544	0.84187			-0.22491	-1.90848
		-0.29445	2.40053			-0.30601	2.51318			-0.08902	-0.7013			-0.07981	-0.10412			-0.89518	0.93239			-0.22463	-1.90804
		-0.29437	2.38875			-0.30532	2.52931			-0.08894	-0.71942			-0.07965	-0.12774			-0.89368	0.17898			-0.22435	-1.9076
		-0.29393	2.37578			-0.30518	2.54773			-0.08884	-0.71117			-0.07961	-0.15401			-0.8931	0.03048			-0.22406	-1.90716
		-0.29333	2.39842			-0.30506	2.48442			-0.08866	-0.7389			-0.07946	-0.12608			-0.89159	0.46484			-0.22378	-1.90672
		-0.293	2.41093			-0.30442	2.50718			-0.08852	-0.65471			-0.07923	-0.08372			-0.89157	0.48123			-0.22349	-1.90628
		-0.29239	2.37407			-0.30423	2.51803			-0.08842	-0.67377			-0.07917	-0.12654			-0.89089	-0.18687			-0.22321	-1.90584
		-0.29217	2.41178			-0.30335	2.53391			-0.08829	-0.63378			-0.07909	-0.13066			-0.88995	-1.40218			-0.22292	-1.9054
		-0.29193	2.43838			-0.30277	2.52443			-0.08829	-0.71129			-0.07902	-0.12193			-0.88931	0.83316			-0.22264	-1.90495
		-0.29159	2.39075			-0.30232	2.4896			-0.08822	-0.72595			-0.07893	-0.08351			-0.88345	-1.18122			-0.22235	-1.90451
		-0.29119	2.42853			-0.3018	2.53377			-0.08794	-0.58797			-0.07876	-0.13008			-0.88171	-1.43611			-0.22207	-1.90407
		-0.29107	2.41263			-0.30125	2.54251			-0.08788	-0.67391			-0.07857	-0.12903			-0.87899	-1.59047			-0.22179	-1.90363
		-0.29069	2.41123			-0.30117	2.50708			-0.08776	-0.64663			-0.07849	-0.10108			-0.87759	0.94284			-0.2215	-1.90319
		-0.29048	2.46226			-0.30077	2.50539			-0.0877	-0.68287			-0.07838	-0.07951			-0.87633	0.56788			-0.22122	-1.90274
		-0.29012	2.45853			-0.30036	2.50206			-0.08756	-0.75799			-0.07825	-0.15259			-0.87623	0.56056			-0.22093	-1.9023
		-0.28969	2.42553			-0.30013	2.49421			-0.08747	-0.69744			-0.07816	-0.11749			-0.87496	0.71578			-0.22065	-1.90186
		-0.28952	2.42696			-0.29985	2.53661			-0.08736	-0.59681			-0.07808	-0.09867			-0.87315	-1.76713			-0.22036	-1.90142
		-0.28948	2.41317			-0.29925	2.54865			-0.08728	-0.69761			-0.07796	-0.11026			-0.87297	-0.30866			-0.22008	-1.90097
		-0.28868	2.382			-0.2985	2.52189			-0.08711	-0.65408			-0.07791	-0.1378			-0.87134	1.14569			-0.21979	-1.90053
		-0.28861	2.44862			-0.2983	2.49535			-0.08699	-0.70512			-0.07787	-0.14462			-0.86709	-1.32052			-0.21951	-1.90009
		-0.28793	2.39055			-0.29798	2.51134			-0.08693	-0.73919			-0.07768	-0.12863			-0.86516	1.10184			-0.21923	-1.89964
		-0.28776	2.43584			-0.29742	2.49712			-0.08679	-0.73421			-0.07762	-0.06376			-0.86246	-0.97554			-0.21894	-1.8992
		-0.28723	2.40486			-0.29733	2.54009			-0.0867	-0.69225			-0.07754	-0.13912			-0.86223	-0.57652			-0.21866	-1.89875
		-0.2863	2.40886			-0.29696	2.4838			-0.08666	-0.70683			-0.07746	-0.13705			-0.86198	-1.03975			-0.21837	-1.89831
		-0.28589	2.4538			-0.29645	2.50772			-0.08646	-0.63594			-0.07737	-0.10992			-0.85746	0.2683			-0.21809	-1.89786
		-0.28533	2.43039			-0.29622	2.53896			-0.08639	-0.67219			-0.07723	-0.0998			-0.8574	0.42039			-0.2178	-1.89742
		-0.28493	2.40296			-0.29605	2.48552			-0.08618	-0.70582			-0.07712	-0.08172			-0.85718	1.34272			-0.21752	-1.89697
		-0.28459	2.42176			-0.2956	2.51599			-0.08611	-0.64719			-0.07707	-0.11774			-0.85654	-1.0002			-0.21723	-1.89653
		-0.28427	2.4418			-0.2953	2.50593			-0.08601	-0.72466			-0.07695	-0.07369			-0.85577	-1.25675			-0.21695	-1.89608
		-0.28391	2.41468			-0.29472	2.54723			-0.08591	-0.64015			-0.07686	-0.12956			-0.85507	-0.2051			-0.21666	-1.89564
		-0.28362	2.43772			-0.29451	2.57473			-0.08577	-0.75511			-0.07678	-0.1156			-0.85459	0.26722			-0.21638	-1.89519
		-0.28337	2.44726			-0.294	2.52205			-0.08565	-0.69564			-0.07663	-0.10621			-0.85341	0.28293			-0.2161	-1.89475
		-0.28271	2.40281			-0.2933	2.5578			-0.08557	-0.71046			-0.0766	-0.1325			-0.85098	1.69687			-0.21581	-1.8943
		-0.28228	2.43494			-0.29285	2.53405			-0.08546	-0.66731			-0.07647	-0.13637			-0.85025	0.11811			-0.21553	-1.89385
		-0.28213	2.38828			-0.29226	2.50768			-0.08539	-0.72477			-0.07628	-0.09081			-0.84976	-0.19217			-0.21524	-1.89341
		-0.28147	2.43189			-0.29217	2.55791			-0.08525	-0.69965			-0.07623	-0.12458			-0.84973	0.01711			-0.21496	-1.89296
		-0.28134	2.39631			-0.29164	2.5421			-0.08517	-0.6676			-0.07618	-0.07971			-0.84951	-1.0323			-0.21467	-1.89251
		-0.28118	2.41007			-0.2912	2.53874			-0.08501	-0.69928			-0.0761	-0.11067			-0.84682	-0.37464			-0.21439	-1.89207
		-0.28086	2.41693			-0.29103	2.52704			-0.08483	-0.73932			-0.07599	-0.12999			-0.84593	1.25146			-0.2141	-1.89162
		-0.28052	2.43302			-0.29059	2.52076			-0.08479	-0.71412			-0.07587	-0.10827			-0.84294	0.04319			-0.21382	-1.89117
		-0.27997	2.38396			-0.29041	2.47456			-0.08461	-0.70793			-0.07581	-0.14561			-0.84273	0.55983			-0.21353	-1.89072
		-0.27989	2.46705			-0.29009	2.49035			-0.08455	-0.72808			-0.07568	-0.09745			-0.84256	-0.47594			-0.21325	-1.89027
		-0.27934	2.39231			-0.28943	2.51387			-0.08442	-0.65354			-0.07563	-0.12299			-0.83996	-0.99959			-0.21297	-1.88983
		-0.27921	2.43721			-0.28881	2.54273			-0.0843	-0.69129			-0.0755	-0.06969			-0.83915	-1.03455			-0.21268	-1.88938
		-0.27882	2.42386			-0.28849	2.55777			-0.0841	-0.7133			-0.07534	-0.15378			-0.83907	0.30043			-0.2124	-1.88893
		-0.27842	2.40933			-0.28819	2.56959			-0.08407	-0.67698			-0.07531	-0.07685			-0.83746	0.6047			-0.21211	-1.88848
		-0.27827	2.43968			-0.28761	2.54995			-0.08383	-0.65332			-0.07517	-0.12537			-0.83615	0.29451			-0.21183	-1.88803
		-0.27786	2.39467			-0.28726	2.46985			-0.08379	-0.68441			-0.07504	-0.10678			-0.83482	-0.30964			-0.21154	-1.88758
		-0.27743	2.44951			-0.28666	2.48098			-0.08363	-0.65294			-0.07495	-0.13901			-0.83433	0.96067			-0.21126	-1.88713
		-0.27736	2.4032			-0.28631	2.49101			-0.08347	-0.68601			-0.07477	-0.116			-0.8338	-0.24571			-0.21097	-1.88668
		-0.2766	2.40098			-0.28586	2.52506			-0.08343	-0.63636			-0.0747	-0.09815			-0.83305	-0.16566			-0.21069	-1.88623
		-0.27641	2.43209			-0.28582	2.50398			-0.08335	-0.62552			-0.07461	-0.09998			-0.83269	-0.76735			-0.2104	-1.88578
		-0.27563	2.4476			-0.28572	2.50652			-0.08331	-0.7144			-0.07445	-0.12036			-0.83264	-1.8447			-0.21012	-1.88533
		-0.27523	2.42522			-0.285	2.52094			-0.08322	-0.59973			-0.07434	-0.10685			-0.83048	-0.06358			-0.20983	-1.88488
		-0.27488	2.44842			-0.28469	2.56047			-0.08302	-0.66359			-0.07428	-0.10691			-0.82992	-0.25796			-0.20955	-1.88443
		-0.2746	2.41692			-0.2843	2.49848			-0.08299	-0.6453			-0.07413	-0.10249			-0.82925	-0.03613			-0.20927	-1.88398
		-0.27439	2.42968			-0.28392	2.5055			-0.08275	-0.66991			-0.07411	-0.08969			-0.82801	0.43465			-0.20898	-1.88353
		-0.27369	2.46723			-0.28364	2.53596			-0.08263	-0.70043			-0.07396	-0.10767			-0.82318	1.27077			-0.2087	-1.88308
		-0.27354	2.46242			-0.28327	2.54031			-0.08255	-0.71025			-0.07388	-0.11672			-0.82229	-0.32739			-0.20841	-1.88263
		-0.27302	2.4675			-0.28293	2.4875			-0.08243	-0.61686			-0.0738	-0.09516			-0.82188	-0.11481			-0.20813	-1.88218
		-0.27265	2.39438			-0.28211	2.53327			-0.08231	-0.60029			-0.07374	-0.12988			-0.82184	-0.62257			-0.20784	-1.88172
		-0.27181	2.437			-0.28177	2.477			-0.08214	-0.66973			-0.0737	-0.13017			-0.82086	0.32117			-0.20756	-1.88127
		-0.27146	2.40792			-0.28173	2.52525			-0.08209	-0.6252			-0.07355	-0.13367			-0.82047	-0.93332			-0.20727	-1.88082
		-0.27093	2.40937			-0.2813	2.54396			-0.082	-0.63879			-0.0734	-0.06028			-0.8199	-2.31557			-0.20699	-1.88037
		-0.27058	2.40934			-0.28105	2.52992			-0.08189	-0.66524			-0.07329	-0.12179			-0.81906	0.51441			-0.2067	-1.87992
		-0.27025	2.39841			-0.28041	2.51169			-0.08174	-0.65373			-0.07323	-0.14048			-0.81662	0.82187			-0.20642	-1.87946
		-0.26976	2.41378			-0.27969	2.53009			-0.08171	-0.60434			-0.0732	-0.08644			-0.81662	-0.05738			-0.20613	-1.87901
		-0.26961	2.45119			-0.27956	2.493			-0.08159	-0.65117			-0.07294	-0.10126			-0.81637	0.22817			-0.20585	-1.87856
		-0.26896	2.42115			-0.27927	2.53858			-0.08138	-0.69407			-0.07291	-0.11771			-0.81491	-0.66585			-0.20556	-1.8781
		-0.26876	2.42414			-0.27862	2.48479			-0.08132	-0.69535			-0.07283	-0.09517			-0.81438	-0.29542			-0.20528	-1.87765
		-0.26863	2.45043			-0.27845	2.55033			-0.08117	-0.60314			-0.07276	-0.09377			-0.81426	-0.16114			-0.205	-1.8772
		-0.26825	2.42682			-0.27799	2.50396			-0.08104	-0.59667			-0.07256	-0.10087			-0.81341	1.3786			-0.20471	-1.87674
		-0.268	2.4438			-0.27783	2.51039			-0.08093	-0.68643			-0.07248	-0.12263			-0.81265	0.75451			-0.20443	-1.87629
		-0.26755	2.41021			-0.27759	2.52058			-0.08084	-0.66542			-0.07242	-0.07079			-0.81258	1.44774			-0.20414	-1.87583
		-0.2674	2.43944			-0.27726	2.52001			-0.08069	-0.65444			-0.07233	-0.12073			-0.81072	-0.17487			-0.20386	-1.87538
		-0.26726	2.42816			-0.27677	2.53057			-0.08058	-0.60939			-0.07216	-0.11789			-0.81068	-0.25805			-0.20357	-1.87493
		-0.26637	2.41494			-0.27635	2.52788			-0.08046	-0.6484			-0.07202	-0.11779			-0.81046	-1.79586			-0.20329	-1.87447
		-0.26608	2.43476			-0.27593	2.53187			-0.0803	-0.57612			-0.07192	-0.13422			-0.80987	1.21489			-0.203	-1.87402
		-0.26566	2.43942			-0.27571	2.48305			-0.0802	-0.6824			-0.07185	-0.05427			-0.80757	-0.05273			-0.20272	-1.87356
		-0.26545	2.41212			-0.27549	2.51014			-0.08015	-0.6314			-0.07172	-0.06343			-0.8068	-1.14815			-0.20243	-1.87311
		-0.26494	2.42283			-0.27486	2.52476			-0.07999	-0.64989			-0.07157	-0.13063			-0.80591	-0.51675			-0.20215	-1.87265
		-0.26479	2.41747			-0.27448	2.55066			-0.07984	-0.62098			-0.07149	-0.12141			-0.8038	0.42215			-0.20186	-1.87219
		-0.26442	2.41475			-0.27394	2.54626			-0.07974	-0.74455			-0.07136	-0.11007			-0.80178	-0.20326			-0.20158	-1.87174
		-0.26433	2.43299			-0.27367	2.51939			-0.07967	-0.63798			-0.0713	-0.10087			-0.80128	-0.44488			-0.20129	-1.87128
		-0.26399	2.44787			-0.27314	2.58948			-0.07953	-0.55635			-0.07124	-0.11032			-0.80108	-0.93039			-0.20101	-1.87083
		-0.26317	2.4287			-0.27272	2.56465			-0.07934	-0.66278			-0.07121	-0.10595			-0.80027	2.52551			-0.20072	-1.87037
		-0.26284	2.47225			-0.2726	2.52265			-0.07922	-0.68068			-0.0711	-0.11399			-0.79516	0.23475			-0.20044	-1.86991
		-0.26216	2.40815			-0.27228	2.54638			-0.07914	-0.60001			-0.07093	-0.08031			-0.79493	-0.45693			-0.20016	-1.86946
		-0.26207	2.45766			-0.27185	2.52818			-0.0791	-0.64173			-0.07088	-0.07994			-0.79396	0.80894			-0.19987	-1.869
		-0.2617	2.45169			-0.27165	2.50625			-0.07898	-0.57913			-0.07077	-0.11849			-0.79088	0.5312			-0.19959	-1.86854
		-0.26074	2.41445			-0.27124	2.51752			-0.0789	-0.60787			-0.07062	-0.09946			-0.78984	0.69683			-0.1993	-1.86808
		-0.26054	2.42354			-0.27072	2.55433			-0.07864	-0.61631			-0.07054	-0.1504			-0.78902	-2.88096			-0.19902	-1.86763
		-0.26028	2.42946			-0.27045	2.54501			-0.0786	-0.59326			-0.07034	-0.08341			-0.78868	0.79897			-0.19873	-1.86717
		-0.25998	2.38628			-0.27019	2.54677			-0.07856	-0.71692			-0.07022	-0.13525			-0.78823	-1.54083			-0.19845	-1.86671
		-0.25976	2.40713			-0.26949	2.52999			-0.07845	-0.61721			-0.07015	-0.0992			-0.78821	-0.00756			-0.19816	-1.86625
		-0.25912	2.45632			-0.26909	2.5592			-0.07839	-0.59227			-0.07012	-0.16426			-0.7881	-0.8058			-0.19788	-1.8658
		-0.25884	2.43735			-0.2688	2.5331			-0.07818	-0.6071			-0.06997	-0.13681			-0.78753	0.04516			-0.19759	-1.86534
		-0.25872	2.40288			-0.26819	2.52186			-0.07811	-0.68538			-0.06991	-0.11512			-0.78729	0.58103			-0.19731	-1.86488
		-0.25811	2.42431			-0.26782	2.55751			-0.07799	-0.62915			-0.06976	-0.13577			-0.78271	0.37137			-0.19702	-1.86442
		-0.25764	2.39718			-0.26743	2.57583			-0.0779	-0.67511			-0.06967	-0.08165			-0.78194	0.65481			-0.19674	-1.86396
		-0.25736	2.43897			-0.2673	2.57303			-0.07774	-0.61663			-0.0695	-0.13703			-0.78099	-2.12797			-0.19645	-1.8635
		-0.25717	2.41437			-0.26696	2.52121			-0.07755	-0.60347			-0.06947	-0.09279			-0.77858	-1.66873			-0.19617	-1.86304
		-0.2566	2.46586			-0.26637	2.52519			-0.07743	-0.6079			-0.06933	-0.12252			-0.77698	-1.79373			-0.19588	-1.86258
		-0.25628	2.44814			-0.26612	2.55729			-0.07738	-0.69118			-0.06921	-0.09882			-0.77603	0.34039			-0.1956	-1.86213
		-0.25584	2.40566			-0.26596	2.5313			-0.07723	-0.64635			-0.06911	-0.09984			-0.77572	0.03627			-0.19531	-1.86167
		-0.25573	2.44849			-0.26533	2.53575			-0.07714	-0.65799			-0.06901	-0.10451			-0.77394	-0.63935			-0.19503	-1.86121
		-0.25537	2.40531			-0.26523	2.53103			-0.077	-0.63267			-0.06894	-0.11956			-0.77335	-2.21852			-0.19474	-1.86075
		-0.25522	2.42121			-0.2646	2.52217			-0.07689	-0.5626			-0.06886	-0.11371			-0.77231	-0.24749			-0.19446	-1.86029
		-0.2545	2.45959			-0.26393	2.49681			-0.07671	-0.64908			-0.0687	-0.07663			-0.77191	-0.40789			-0.19417	-1.85983
		-0.25447	2.40981			-0.2636	2.50057			-0.07668	-0.65542			-0.06866	-0.07817			-0.77167	-0.48471			-0.19389	-1.85937
		-0.25428	2.42334			-0.2635	2.55366			-0.07661	-0.62373			-0.06856	-0.11049			-0.76611	-0.50999			-0.1936	-1.85891
		-0.25346	2.48803			-0.26297	2.48188			-0.07654	-0.63063			-0.06842	-0.0931			-0.76604	0.33468			-0.19332	-1.85845
		-0.25266	2.45311			-0.26262	2.50584			-0.0765	-0.61503			-0.06835	-0.12412			-0.76584	-2.0445			-0.19303	-1.85799
		-0.25251	2.42201			-0.26216	2.56255			-0.07634	-0.59868			-0.06814	-0.1044			-0.76559	0.55933			-0.19275	-1.85753
		-0.25223	2.43371			-0.26198	2.50107			-0.07619	-0.61179			-0.0681	-0.09524			-0.76064	0.122			-0.19246	-1.85707
		-0.25188	2.42737			-0.26165	2.53401			-0.07614	-0.60268			-0.06801	-0.09364			-0.76047	0.06942			-0.19218	-1.85661
		-0.25142	2.43543			-0.26096	2.57497			-0.07595	-0.62085			-0.06791	-0.0967			-0.76037	0.94893			-0.19189	-1.85614
		-0.251	2.44924			-0.26032	2.51291			-0.07587	-0.60434			-0.06789	-0.10889			-0.75975	0.48249			-0.19161	-1.85568
		-0.25048	2.47437			-0.26026	2.55674			-0.07575	-0.62821			-0.06782	-0.08268			-0.75958	-0.65532			-0.19133	-1.85522
		-0.25039	2.43748			-0.2601	2.56431			-0.07563	-0.58021			-0.06771	-0.11358			-0.75767	-1.58146			-0.19104	-1.85476
		-0.25005	2.44538			-0.25985	2.51844			-0.07556	-0.62733			-0.06763	-0.12932			-0.75521	-0.28837			-0.19076	-1.8543
		-0.24941	2.43758			-0.25932	2.52038			-0.07552	-0.6525			-0.06743	-0.10476			-0.75492	-0.06816			-0.19047	-1.85384
		-0.24909	2.44202			-0.25853	2.58019			-0.07537	-0.60054			-0.0673	-0.12021			-0.75434	0.08728			-0.19019	-1.85338
		-0.24877	2.43777			-0.2584	2.48886			-0.07524	-0.56739			-0.06724	-0.10825			-0.75309	1.33026			-0.1899	-1.85292
		-0.24861	2.39362			-0.25829	2.52199			-0.07512	-0.61234			-0.06718	-0.10829			-0.75305	-0.50375			-0.18962	-1.85246
		-0.24792	2.42039			-0.25767	2.52415			-0.07503	-0.6659			-0.06709	-0.0869			-0.7521	-2.67311			-0.18933	-1.852
		-0.2477	2.45719			-0.25741	2.54493			-0.07482	-0.61685			-0.06689	-0.11712			-0.75003	-2.34311			-0.18905	-1.85154
		-0.24714	2.42805			-0.25699	2.55417			-0.07475	-0.60069			-0.06686	-0.12048			-0.7492	-1.54159			-0.18876	-1.85108
		-0.24662	2.44627			-0.25664	2.54724			-0.07453	-0.61282			-0.06674	-0.09911			-0.74848	0.42426			-0.18848	-1.85062
		-0.24627	2.40617			-0.25628	2.50068			-0.07445	-0.57497			-0.06665	-0.10849			-0.74328	1.61039			-0.18819	-1.85016
		-0.24602	2.50449			-0.25579	2.51993			-0.07434	-0.60696			-0.06663	-0.0711			-0.74311	-0.02313			-0.18791	-1.8497
		-0.24564	2.4701			-0.2553	2.54487			-0.07425	-0.57315			-0.06653	-0.09913			-0.7414	0.01011			-0.18762	-1.84924
		-0.24543	2.47107			-0.25515	2.47354			-0.07415	-0.59711			-0.06641	-0.12204			-0.74081	0.6262			-0.18734	-1.84878
		-0.2449	2.41498			-0.25469	2.53975			-0.07407	-0.55098			-0.06628	-0.08179			-0.73935	0.88555			-0.18705	-1.84832
		-0.24447	2.44855			-0.25432	2.54425			-0.07392	-0.64792			-0.06619	-0.09554			-0.73896	0.66883			-0.18677	-1.84786
		-0.24413	2.44793			-0.25384	2.58251			-0.07378	-0.57515			-0.06612	-0.13062			-0.7375	1.49244			-0.18648	-1.8474
		-0.24393	2.45207			-0.25371	2.56517			-0.0736	-0.56303			-0.06605	-0.11313			-0.73613	0.4366			-0.1862	-1.84694
		-0.24332	2.44959			-0.25364	2.55315			-0.07353	-0.607			-0.06596	-0.08365			-0.73483	0.24121			-0.18591	-1.84648
		-0.24252	2.44017			-0.25339	2.58086			-0.07336	-0.61712			-0.06585	-0.08248			-0.73464	0.60504			-0.18563	-1.84603
		-0.24202	2.42238			-0.25271	2.4776			-0.07325	-0.59519			-0.06565	-0.10631			-0.73273	-0.74892			-0.18534	-1.84557
		-0.24191	2.45125			-0.25165	2.54898			-0.07305	-0.6531			-0.06554	-0.09279			-0.73042	2.48561			-0.18506	-1.84511
		-0.24144	2.45182			-0.25145	2.54867			-0.07302	-0.61132			-0.06541	-0.06625			-0.72968	-0.05496			-0.18477	-1.84466
		-0.24121	2.44962			-0.25125	2.51323			-0.07286	-0.60565			-0.06539	-0.09933			-0.72909	-1.24482			-0.18449	-1.8442
		-0.24108	2.50007			-0.25089	2.52112			-0.07268	-0.58234			-0.0653	-0.1153			-0.72895	-0.5555			-0.1842	-1.84375
		-0.24012	2.48164			-0.25046	2.53294			-0.07266	-0.54625			-0.06518	-0.07768			-0.72672	-0.35422			-0.18392	-1.84329
		-0.24	2.40335			-0.24972	2.52425			-0.07254	-0.59649			-0.06513	-0.07867			-0.7263	0.24231			-0.18363	-1.84284
		-0.23962	2.45704			-0.24948	2.53101			-0.0725	-0.61523			-0.06504	-0.10782			-0.72493	-2.73083			-0.18335	-1.84239
		-0.23935	2.43861			-0.24911	2.56314			-0.07232	-0.58759			-0.06497	-0.06713			-0.72403	1.05361			-0.18306	-1.84194
		-0.23899	2.45318			-0.24905	2.54726			-0.0722	-0.59744			-0.06478	-0.09929			-0.72353	-1.14042			-0.18278	-1.84149
		-0.23841	2.45762			-0.24831	2.54648			-0.07219	-0.54712			-0.0647	-0.10095			-0.72279	0.50007			-0.18249	-1.84104
		-0.23831	2.45079			-0.24808	2.51248			-0.07208	-0.54044			-0.06468	-0.10867			-0.72202	-0.63526			-0.18221	-1.8406
		-0.23775	2.45028			-0.24799	2.55073			-0.07188	-0.60405			-0.06441	-0.10701			-0.72089	-1.30667			-0.18192	-1.84015
