Superlattice								SYK2								Anderson				AA			
W=1.0				W=7.5				gamma=0.2				gamma=0.5				W=30				Alpha=1.5			
Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda
-4.36394	-2.02845	-6.19572	-2.95925	-4.39498	-0.6644	-6.21197	-1.18861	-1.21254	-3.6785	-1.53541	-4.06089	-1.08111	-1.30149	-1.37278	-1.73291	-11.40145	0.74919	-13.77568	0.45531	-1.95725	-2.42934	-1.99991	-2.7909
-4.33855	-2.14229	-6.19341	-2.97597	-4.37942	-0.6569	-6.21101	-1.1653	-1.20926	-3.70849	-1.53477	-4.10158	-1.07754	-1.46383	-1.37251	-1.73781	-11.38627	-1.98446	-13.76928	-1.59555	-1.95595	-2.42736	-1.99991	-2.7909
-4.32496	-2.05933	-6.18997	-2.97215	-4.35226	-0.66811	-6.20466	-1.16876	-1.20602	-3.68024	-1.53429	-4.07992	-1.07589	-1.55626	-1.37213	-1.73408	-11.36028	0.09363	-13.76579	0.00715	-1.95463	-2.42534	-1.99991	-2.7909
-4.29784	-2.05708	-6.18735	-2.97192	-4.33757	-0.67623	-6.20055	-1.16442	-1.20059	-3.58753	-1.53375	-4.05576	-1.07229	-1.31995	-1.372	-1.74256	-11.33309	1.04164	-13.76235	0.29257	-1.95329	-2.42329	-1.9999	-2.7909
-4.28384	-2.09932	-6.18544	-2.96632	-4.3221	-0.63963	-6.19676	-1.1629	-1.19597	-3.72959	-1.53308	-4.06368	-1.06912	-1.24591	-1.3715	-1.72782	-11.27262	-0.45063	-13.76024	0.38155	-1.95193	-2.42121	-1.9999	-2.7909
-4.26621	-1.98842	-6.18449	-2.98251	-4.30662	-0.63981	-6.19531	-1.17268	-1.19241	-3.80767	-1.53251	-4.07906	-1.0681	-1.3352	-1.37117	-1.7493	-11.25561	0.61101	-13.74244	-0.21787	-1.95055	-2.4191	-1.9999	-2.79089
-4.24787	-2.0813	-6.17982	-2.96522	-4.26702	-0.69874	-6.19465	-1.17354	-1.18357	-3.74619	-1.53207	-4.06201	-1.06013	-1.54177	-1.37036	-1.74946	-11.24867	1.08329	-13.73693	-0.95551	-1.94916	-2.41696	-1.99989	-2.79089
-4.21894	-1.94404	-6.17435	-2.97204	-4.2569	-0.60294	-6.18707	-1.16954	-1.1832	-3.6027	-1.53185	-4.07621	-1.05823	-1.45436	-1.36989	-1.73274	-11.23961	0.3052	-13.73353	3.61286	-1.94774	-2.41479	-1.99989	-2.79089
-4.2122	-2.08289	-6.17299	-2.99429	-4.24156	-0.54546	-6.18475	-1.15992	-1.18125	-3.62216	-1.53132	-4.06376	-1.05549	-1.26852	-1.36944	-1.7446	-11.22298	0.25451	-13.72524	-1.83389	-1.9463	-2.4126	-1.99989	-2.79089
-4.18431	-2.05594	-6.17234	-2.9629	-4.20383	-0.62621	-6.18065	-1.15442	-1.17684	-3.62881	-1.53074	-4.086	-1.05421	-1.43333	-1.36893	-1.73015	-11.20477	-1.07362	-13.72457	0.07646	-1.94485	-2.41037	-1.99988	-2.79089
-4.15331	-2.03266	-6.16907	-2.98375	-4.19058	-0.60734	-6.1782	-1.15642	-1.171	-3.5649	-1.53061	-4.08968	-1.04898	-1.45153	-1.36868	-1.74543	-11.13282	2.03652	-13.71844	-1.04984	-1.94338	-2.40812	-1.99988	-2.79089
-4.14157	-1.96876	-6.16658	-2.98031	-4.17944	-0.54116	-6.17497	-1.16631	-1.16734	-3.55639	-1.52964	-4.05104	-1.04561	-1.26272	-1.36827	-1.73766	-11.11507	-0.67495	-13.71732	-1.05054	-1.94188	-2.40584	-1.99988	-2.79088
-4.12459	-2.00285	-6.16154	-2.9807	-4.16014	-0.49236	-6.17011	-1.1613	-1.16485	-3.66218	-1.52956	-4.07452	-1.04292	-1.49126	-1.36808	-1.75408	-11.10993	0.00476	-13.71249	-1.73342	-1.94037	-2.40353	-1.99988	-2.79088
-4.09693	-1.88607	-6.15983	-2.96057	-4.15728	-0.65525	-6.1679	-1.173	-1.16071	-3.68946	-1.52918	-4.08501	-1.0377	-1.50832	-1.36755	-1.72147	-11.0632	-0.90542	-13.71171	-0.53096	-1.93884	-2.40121	-1.99987	-2.79088
-4.0762	-1.85695	-6.1579	-2.96682	-4.12985	-0.57378	-6.16335	-1.16803	-1.15878	-3.68698	-1.52862	-4.04351	-1.03343	-1.39254	-1.36745	-1.73163	-11.04037	0.35249	-13.70687	-1.75313	-1.93729	-2.39887	-1.99987	-2.79088
-4.06741	-1.90148	-6.15249	-2.96927	-4.12297	-0.60106	-6.1608	-1.15571	-1.15643	-3.69408	-1.52823	-4.04792	-1.03	-1.36592	-1.3669	-1.76411	-11.02549	0.59946	-13.70521	2.08492	-1.93572	-2.39655	-1.99987	-2.79088
-4.04292	-1.92471	-6.15024	-2.94515	-4.11495	-0.50938	-6.15927	-1.15532	-1.15352	-3.56218	-1.52771	-4.08908	-1.02465	-1.34305	-1.36666	-1.7604	-11.01796	0.98253	-13.70122	-1.14361	-1.93413	-2.39432	-1.99986	-2.79088
-4.01349	-1.81293	-6.14594	-2.96317	-4.05582	-0.47377	-6.15827	-1.15667	-1.15121	-3.57313	-1.5268	-4.07407	-1.02119	-1.34536	-1.36639	-1.73944	-10.99499	-0.62059	-13.69571	1.40561	-1.93253	-2.39248	-1.99986	-2.79087
