# Heisenberg model
# L=16, J=1, W=1.0
# CDF of level statistics r_S
# r_S CDF
5.134664671235039668e-01 1.449451887941534678e-01
5.134787668027318563e-01 1.461632155907429953e-01
5.135078784143251029e-01 1.473812423873325228e-01
5.136336546234692157e-01 1.485992691839220503e-01
5.137866504277274204e-01 1.498172959805115778e-01
5.139907955630619307e-01 1.510353227771010776e-01
5.140617549719500579e-01 1.522533495736906051e-01
5.140696123069200540e-01 1.534713763702801326e-01
5.140764851912347222e-01 1.546894031668696601e-01
5.142387705903610495e-01 1.559074299634591876e-01
5.142518755023366417e-01 1.571254567600487151e-01
5.143104807117839794e-01 1.583434835566382426e-01
5.146367687265945845e-01 1.595615103532277701e-01
5.147622387317727366e-01 1.607795371498172976e-01
5.147873526828062873e-01 1.619975639464068251e-01
5.148192336540976521e-01 1.632155907429963526e-01
5.148953159158650150e-01 1.644336175395858524e-01
5.149389402129744830e-01 1.656516443361753799e-01
5.149911797104084199e-01 1.668696711327649074e-01
5.151418805640554099e-01 1.680876979293544349e-01
5.151888074149163499e-01 1.693057247259439624e-01
5.152052513402055611e-01 1.705237515225334899e-01
5.152193066865112803e-01 1.717417783191230174e-01
5.152356343462798360e-01 1.729598051157125449e-01
5.153057275297149298e-01 1.741778319123020724e-01
5.153214697184882453e-01 1.753958587088915999e-01
5.154071205762437158e-01 1.766138855054810997e-01
5.154169262320236200e-01 1.778319123020706272e-01
5.154582924878965411e-01 1.790499390986601547e-01
5.154953978690891558e-01 1.802679658952496822e-01
5.155626525744783084e-01 1.814859926918392097e-01
5.155631996397768146e-01 1.827040194884287372e-01
5.155911809164113180e-01 1.839220462850182647e-01
5.156716499619813376e-01 1.851400730816077922e-01
5.158333505972745314e-01 1.863580998781973197e-01
5.159185804551296162e-01 1.875761266747868472e-01
5.159389256864332918e-01 1.887941534713763747e-01
5.159997620534316765e-01 1.900121802679658745e-01
5.160218091487919212e-01 1.912302070645554020e-01
5.161829368381397609e-01 1.924482338611449295e-01
5.162559197738649797e-01 1.936662606577344570e-01
5.162634477649107323e-01 1.948842874543239845e-01
5.163196912287233431e-01 1.961023142509135120e-01
5.163388046573682555e-01 1.973203410475030395e-01
5.164048381483403727e-01 1.985383678440925670e-01
5.164427340500998831e-01 1.997563946406820945e-01
5.164664183151115306e-01 2.009744214372716220e-01
5.165564779570854803e-01 2.021924482338611495e-01
5.166818390817168316e-01 2.034104750304506493e-01
5.167608007693157424e-01 2.046285018270401768e-01
5.168419935178061309e-01 2.058465286236297043e-01
5.168612469227532591e-01 2.070645554202192318e-01
5.169751342768688085e-01 2.082825822168087593e-01
5.171222116294101889e-01 2.095006090133982868e-01
5.171495502123357735e-01 2.107186358099878143e-01
5.171889893274290717e-01 2.119366626065773418e-01
5.172271190593871193e-01 2.131546894031668693e-01
5.173306468509849543e-01 2.143727161997563968e-01
5.173434219202537321e-01 2.155907429963459243e-01
5.173507962156763673e-01 2.168087697929354241e-01
5.174374036547032540e-01 2.180267965895249516e-01
5.175130604775924903e-01 2.192448233861144791e-01
5.175497531981969601e-01 2.204628501827040066e-01
5.175896789152525379e-01 2.216808769792935341e-01
5.176679554476609768e-01 2.228989037758830616e-01
5.177981580351816993e-01 2.241169305724725891e-01
5.178016807687498835e-01 2.253349573690621166e-01
