# Fitting to data1.dat with error function
# r_S CDF(fit)
5.183126459092389782e-01 2.261562727092515934e-01
5.183148094966409936e-01 2.261966813287016875e-01
5.184325327272931716e-01 2.284015007658637963e-01
5.184567568529032666e-01 2.288566840232040822e-01
5.185085974902954309e-01 2.298325037537850002e-01
5.185274419749863473e-01 2.301877984768754826e-01
5.185281129866364802e-01 2.302004554215403842e-01
5.185895908026615375e-01 2.313617299309578268e-01
5.187275198494589734e-01 2.339789659898989793e-01
5.187542639738039751e-01 2.344883337292975045e-01
5.187797358646623058e-01 2.349740403935077770e-01
5.187804991278608391e-01 2.349886031283984766e-01
5.188197375901846264e-01 2.357379275772618077e-01
5.189037828162988975e-01 2.373473370224841172e-01
5.190025976593866108e-01 2.392472664749105138e-01
5.193043654679802001e-01 2.451005028690351750e-01
5.194719613285105897e-01 2.483842392622556683e-01
5.195073993944268054e-01 2.490815750336426992e-01
5.195289966300732365e-01 2.495070668340856890e-01
5.195321801112577909e-01 2.495698179281169438e-01
5.195581257954082766e-01 2.500815579799664512e-01
5.197133500913643234e-01 2.531547174863141292e-01
5.197262175926328220e-01 2.534103592161938145e-01
5.198145492617963770e-01 2.551689215917597453e-01
5.198791681285075406e-01 2.564594249539479676e-01
5.198931016500065727e-01 2.567381363042112175e-01
5.199545422565577946e-01 2.579690069545030884e-01
5.202913866043796798e-01 2.647711715073484684e-01
5.203630442646509646e-01 2.662298862040730629e-01
5.204932417856472648e-01 2.688906505611189379e-01
5.206381053144467641e-01 2.718667459210885040e-01
5.207467018177461826e-01 2.741084633386848823e-01
5.207703213293988220e-01 2.745972385148579553e-01
5.208370545759740677e-01 2.759805155067821536e-01
5.208410359446167259e-01 2.760631511743101285e-01
5.208673578651586977e-01 2.766097837086468614e-01
5.209967425062757007e-01 2.793044273000773181e-01
5.210598001596312701e-01 2.806223116277507534e-01
5.210946461334033941e-01 2.813518694446655033e-01
5.211879075369254544e-01 2.833089419595264946e-01
5.212623717163159531e-01 2.848762308435925927e-01
5.213053903525934896e-01 2.857835489863449485e-01
5.213067590693413189e-01 2.858124395216751212e-01
5.214870145724789241e-01 2.896293095095556769e-01
5.216188673899501138e-01 2.924363285647105792e-01
5.216585426713915563e-01 2.932834455811138552e-01
5.216689288838133320e-01 2.935053919412068391e-01
5.216954496484932369e-01 2.940724754277064257e-01
5.216956434378805518e-01 2.940766210161004923e-01
5.217752771523759270e-01 2.957824455261502949e-01
5.218164368891252680e-01 2.966659017561092404e-01
5.218422422682972295e-01 2.972204062965554394e-01
5.218492374594561056e-01 2.973708001416951463e-01
5.219423047931270876e-01 2.993750100814096538e-01
5.220009074946880823e-01 3.006401570225091247e-01
5.220086230482011702e-01 3.008069042205009369e-01
5.220488585415129501e-01 3.016771419589733272e-01
5.221874860006490149e-01 3.046840923652868183e-01
5.222128084416989280e-01 3.052347946992022276e-01
5.222383515998896275e-01 3.057907441307105012e-01
5.222478731776065697e-01 3.059980969002477069e-01
5.222871909505263366e-01 3.068549837063953567e-01
5.223327859004130991e-01 3.078499973920382771e-01
5.223567725140275675e-01 3.083740230491001100e-01
5.224038832769539731e-01 3.094043689727378199e-01
5.224728183898981193e-01 3.109147315089741404e-01
5.225157562384553644e-01 3.118571108630834865e-01
5.225362470302363782e-01 3.123072680074814866e-01
5.226001882144742927e-01 3.137137758207121929e-01
5.226638592481267498e-01 3.151170368264347710e-01
5.226877537944818464e-01 3.156443451297447078e-01
5.227127561033831915e-01 3.161965017858341942e-01
5.227689595377473797e-01 3.174392070222780138e-01
5.229744566459493260e-01 3.220003767906305381e-01
5.230754446688681281e-01 3.242518065339125566e-01
5.233068460375569497e-01 3.294348615729313923e-01
5.233166554596805353e-01 3.296553131643706891e-01
5.233563866761978822e-01 3.305488156323063142e-01
5.234029988594858240e-01 3.315982941173366561e-01
5.234651821725335719e-01 3.330004177955376843e-01
5.234708599655293337e-01 3.331285587556973016e-01
5.235478628843648341e-01 3.348683407135373269e-01
5.235624336006458046e-01 3.351979478860642736e-01
5.236474327956254227e-01 3.371232551893235119e-01
5.236874102784890850e-01 3.380302618012744897e-01
5.237096321624610251e-01 3.385348378008496972e-01
5.238618778431743950e-01 3.419995269969052787e-01
5.239322385123216241e-01 3.436052687982367182e-01
5.239466390377462979e-01 3.439342609254714134e-01
5.240254889520867820e-01 3.457377432491413050e-01
5.240392736793301198e-01 3.460533934814001844e-01
5.240514294127506245e-01 3.463318309097843106e-01
5.240573565208905826e-01 3.464676265073357575e-01
5.240739340800621981e-01 3.468475386516867154e-01
5.240774811831681035e-01 3.469288485348188678e-01
5.240822064939958391e-01 3.470371773032858154e-01
5.241462704472067413e-01 3.485070877130964639e-01
5.241599552525564309e-01 3.488213736534399034e-01
5.242765542531325762e-01 3.515033811842528388e-01
5.243899168528403099e-01 3.541180535194151657e-01
5.244177713541265939e-01 3.547615684598912633e-01
5.244420057758637510e-01 3.553217871114938697e-01
5.244539322903802869e-01 3.555976031013046157e-01
5.245195641851405632e-01 3.571167748986600055e-01
5.245262140270384732e-01 3.572708247469961185e-01
5.245682925152422849e-01 3.582461510139793859e-01
5.245890873948245714e-01 3.587284922674301435e-01
5.246521742478860162e-01 3.601931803590679992e-01
5.247667738749125510e-01 3.628590845503196771e-01
