# XXZ spin chain 
# DTP for L=24, Delta->0.0, omega_p=0.032985
# Integrated and normalized regular part of the optical conductivity I_reg(omega/omega_p) 
# omega/omega_p I_reg(omega/omega_p))

0.572078 0.0635728
0.572988 0.0642085
0.573897 0.0642085
0.574807 0.0648442
0.575716 0.06548
0.576626 0.0667514
0.577535 0.0667514
0.578445 0.0673872
0.579354 0.0673872
0.580264 0.0680229
0.581173 0.0680229
0.582083 0.0686586
0.582992 0.0686586
0.583902 0.0692943
0.584811 0.0692943
0.585721 0.0699301
0.58663 0.0712015
0.58754 0.0718373
0.588449 0.0718373
0.589359 0.072473
0.590268 0.072473
0.591178 0.0731087
0.592087 0.0737444
0.592997 0.0737444
0.593906 0.0737444
0.594816 0.0743802
0.595725 0.0750159
0.596635 0.0750159
0.597544 0.0756516
0.598454 0.0762873
0.599363 0.0762873
0.600273 0.0769231
0.601182 0.0769231
0.602092 0.0775588
0.603001 0.0781945
0.603911 0.0788303
0.60482 0.079466
0.60573 0.079466
0.606639 0.0801017
0.607549 0.0801017
0.608458 0.0807374
0.609368 0.0807374
0.610277 0.0813732
0.611187 0.0820089
0.612096 0.0820089
0.613006 0.0826446
0.613915 0.0826446
0.614825 0.0832804
0.615734 0.0839161
0.616644 0.0839161
0.617553 0.0845518
0.618463 0.0851875
0.619372 0.0858233
0.620282 0.0858233
0.621191 0.086459
0.622101 0.086459
0.62301 0.0870947
0.62392 0.0870947
0.624829 0.0877305
0.625739 0.0877305
0.626648 0.0883662
0.627558 0.0890019
0.628467 0.0890019
0.629377 0.0896376
0.630286 0.0896376
0.631196 0.0902734
0.632106 0.0902734
0.633015 0.0902734
0.633925 0.0915448
0.634834 0.0915448
0.635744 0.0921805
0.636653 0.0921805
0.637563 0.0921805
0.638472 0.0928163
0.639382 0.0928163
0.640291 0.093452
0.641201 0.093452
0.64211 0.0940877
0.64302 0.0940877
0.643929 0.0947235
0.644839 0.0953592
0.645748 0.0953592
0.646658 0.0953592
0.647567 0.0959949
0.648477 0.0959949
0.649386 0.0966306
0.650296 0.0966306
0.651205 0.0966306
0.652115 0.0972664
0.653024 0.0985378
0.653934 0.0985378
0.654843 0.0985378
0.655753 0.0991736
0.656662 0.0998093
0.657572 0.0998093
0.658481 0.100445
0.659391 0.100445
0.6603 0.101081
0.66121 0.101716
0.662119 0.101716
0.663029 0.102352
0.663938 0.102988
0.664848 0.102988
0.665757 0.103624
0.666667 0.103624
0.667576 0.104259
0.668486 0.106167
0.669395 0.106167
0.670305 0.106802
0.671214 0.106802
0.672124 0.108074
0.673033 0.108709
0.673943 0.108709
0.674852 0.109345
0.675762 0.109981
0.676671 0.110617
0.677581 0.110617
0.67849 0.111252
0.6794 0.111888
0.680309 0.111888
0.681219 0.112524
0.682128 0.11316
0.683038 0.113795
0.683947 0.114431
0.684857 0.114431
0.685766 0.115067
0.686676 0.115702
0.687585 0.115702
0.688495 0.116338
0.689404 0.116974
0.690314 0.116974
0.691223 0.11761
0.692133 0.118245
0.693042 0.118881
0.693952 0.119517
0.694861 0.120153
0.695771 0.120788
0.69668 0.12206
0.69759 0.12206
0.698499 0.122695
0.699409 0.123331
0.700318 0.123967
0.701228 0.123967
0.702137 0.124603
0.703047 0.125238
0.703956 0.125874
0.704866 0.12651
0.705775 0.12651
0.706685 0.127146
0.707594 0.127146
0.708504 0.127781
0.709413 0.128417
0.710323 0.129053
0.711232 0.129688
0.712142 0.129688
0.713051 0.130324
0.713961 0.13096
0.71487 0.131596
0.71578 0.131596
0.716689 0.132867
0.717599 0.132867
0.718508 0.133503
0.719418 0.134139
0.720327 0.134139
0.721237 0.134139
0.722146 0.13541
0.723056 0.13541
0.723965 0.136046
0.724875 0.136046
0.725784 0.136682
0.726694 0.137953
0.727603 0.137953
0.728513 0.138589
0.729422 0.139224
0.730332 0.139224
0.731241 0.13986
0.732151 0.141132
0.73306 0.141767
0.73397 0.141767
0.734879 0.142403
0.735789 0.142403
0.736698 0.143039
0.737608 0.143039
0.738518 0.143675
0.739427 0.14431
0.740337 0.14431
0.741246 0.144946
0.742156 0.145582
0.743065 0.145582
0.743975 0.146217
0.744884 0.146853
0.745794 0.146853
0.746703 0.147489
0.747613 0.148125
0.748522 0.14876
0.749432 0.150032
0.750341 0.150668
0.751251 0.151303
0.75216 0.151939
0.75307 0.152575
0.753979 0.152575
0.754889 0.15321
0.755798 0.153846
0.756708 0.153846
0.757617 0.155118
0.758527 0.157025
0.759436 0.157661
0.760346 0.158296
0.761255 0.158296
0.762165 0.159568
0.763074 0.160203
0.763984 0.160839
0.764893 0.161475
0.765803 0.162111
0.766712 0.162746
0.767622 0.162746
0.768531 0.163382
0.769441 0.163382
0.77035 0.164654
0.77126 0.164654
0.772169 0.165289
0.773079 0.165925
0.773988 0.166561
0.774898 0.167196
0.775807 0.167832
0.776717 0.167832
0.777626 0.168468
0.778536 0.169104
0.779445 0.170375
0.780355 0.171011
0.781264 0.172282
0.782174 0.172918
0.783083 0.173554
0.783993 0.174189
0.784902 0.174189
0.785812 0.174825
0.786721 0.175461
0.787631 0.176097
0.78854 0.176732
0.78945 0.178004
0.790359 0.178004
0.791269 0.17864
0.792178 0.179275
0.793088 0.179275
0.793997 0.179911
0.794907 0.179911
0.795816 0.180547
0.796726 0.181182
0.797635 0.181182
0.798545 0.181818
0.799454 0.18309
0.800364 0.184361
0.801273 0.184997
0.802183 0.185633
0.803092 0.186268
0.804002 0.186268
0.804911 0.186904
0.805821 0.18754
0.80673 0.188175
0.80764 0.188811
0.808549 0.189447
0.809459 0.189447
0.810368 0.190083
0.811278 0.190718
0.812187 0.190718
0.813097 0.191354
0.814006 0.19199
0.814916 0.193261
0.815825 0.193897
0.816735 0.193897
0.817644 0.19644
0.818554 0.197076
0.819463 0.198347
0.820373 0.198347
0.821282 0.198983
0.822192 0.199619
0.823101 0.20089
0.824011 0.201526
0.82492 0.201526
0.82583 0.202161
0.826739 0.202797
0.827649 0.203433
0.828558 0.204069
0.829468 0.204704
0.830377 0.20534
0.831287 0.206612
0.832196 0.207247
0.833106 0.207883
0.834015 0.208519
0.834925 0.20979
0.835834 0.210426
0.836744 0.211062
0.837653 0.211697
0.838563 0.212333
0.839472 0.213605
0.840382 0.21424
0.841291 0.214876
0.842201 0.215512
0.843111 0.216147
0.84402 0.216783
0.84493 0.218055
0.845839 0.219326
0.846749 0.219962
0.847658 0.220598
0.848568 0.221869
0.849477 0.222505
0.850387 0.223776
0.851296 0.224412
0.852206 0.225048
0.853115 0.226319
0.854025 0.226319
0.854934 0.226955
0.855844 0.227591
0.856753 0.228862
0.857663 0.229498
0.858572 0.229498
0.859482 0.230134
0.860391 0.231405
0.861301 0.232041
0.86221 0.232676
0.86312 0.233948
0.864029 0.233948
0.864939 0.235855
0.865848 0.236491
0.866758 0.237762
0.867667 0.238398
0.868577 0.239669
0.869486 0.241577
0.870396 0.241577
0.871305 0.242848
0.872215 0.244755
0.873124 0.245391
0.874034 0.246027
0.874943 0.247298
0.875853 0.24857
0.876762 0.249205
0.877672 0.249841
0.878581 0.250477
0.879491 0.251113
0.8804 0.251113
0.88131 0.252384
0.882219 0.252384
0.883129 0.25302
0.884038 0.253655
0.884948 0.254927
0.885857 0.255563
0.886767 0.256198
0.887676 0.25747
0.888586 0.258741
0.889495 0.260013
0.890405 0.260648
0.891314 0.26192
0.892224 0.262556
0.893133 0.263827
0.894043 0.265099
0.894952 0.265734
0.895862 0.26637
0.896771 0.26637
0.897681 0.267641
0.89859 0.268277
0.8995 0.269549
0.900409 0.270184
0.901319 0.272092
0.902228 0.272727
0.903138 0.274634
0.904047 0.27527
0.904957 0.276542
0.905866 0.277813
0.906776 0.277813
0.907685 0.278449
0.908595 0.27972
0.909504 0.280992
0.910414 0.281627
0.911323 0.28417
0.912233 0.284806
0.913142 0.285442
0.914052 0.286713
0.914961 0.287985
0.915871 0.289256
0.91678 0.289256
0.91769 0.290528
0.918599 0.291799
0.919509 0.292435
0.920418 0.294342
0.921328 0.294978
0.922237 0.295613
0.923147 0.295613
0.924056 0.296885
0.924966 0.298792
0.925875 0.300064
0.926785 0.301971
0.927694 0.303878
0.928604 0.306421
0.929513 0.307057
0.930423 0.308964
0.931332 0.309599
0.932242 0.310871
0.933151 0.311507
0.934061 0.312778
0.93497 0.31405
0.93588 0.314685
0.936789 0.315957
0.937699 0.317228
0.938608 0.3185
0.939518 0.319135
0.940427 0.319771
0.941337 0.321043
0.942246 0.322314
0.943156 0.32295
0.944065 0.326128
0.944975 0.328036
0.945884 0.328671
0.946794 0.329307
0.947704 0.331214
0.948613 0.33185
0.949523 0.333121
0.950432 0.333757
0.951342 0.335029
0.952251 0.335664
0.953161 0.3363
0.95407 0.337572
0.95498 0.338207
0.955889 0.339479
0.956799 0.340114
0.957708 0.34075
0.958618 0.341386
0.959527 0.342657
0.960437 0.343929
0.961346 0.344565
0.962256 0.344565
0.963165 0.3452
0.964075 0.345836
0.964984 0.346472
0.965894 0.347743
0.966803 0.34965
0.967713 0.351558
0.968622 0.352193
0.969532 0.3541
0.970441 0.355372
0.971351 0.356008
0.97226 0.357279
0.97317 0.358551
0.974079 0.359822
0.974989 0.361729
0.975898 0.363001
0.976808 0.364272
0.977717 0.365544
0.978627 0.366815
0.979536 0.367451
0.980446 0.368722
0.981355 0.369994
0.982265 0.371901
0.983174 0.372537
0.984084 0.373172
0.984993 0.374444
0.985903 0.375715
0.986812 0.375715
0.987722 0.376351
0.988631 0.376987
0.989541 0.378894
0.99045 0.380165
0.99136 0.381437
0.992269 0.382072
0.993179 0.38398
0.994088 0.385251
0.994998 0.386523
0.995907 0.387794
0.996817 0.389065
0.997726 0.389701
0.998636 0.391608
0.999545 0.392244
1.00045 0.39288
1.00136 0.394151
1.00227 0.394787
1.00318 0.395423
1.00409 0.396694
1.005 0.39733
1.00591 0.398601
1.00682 0.399873
1.00773 0.401144
1.00864 0.40178
1.00955 0.403051
1.01046 0.404323
1.01137 0.40623
1.01228 0.406866
1.01319 0.407502
1.0141 0.408773
1.01501 0.409409
1.01592 0.41068
1.01683 0.411316
1.01774 0.411952
1.01864 0.412587
1.01955 0.413859
1.02046 0.414495
1.02137 0.41513
1.02228 0.416402
1.02319 0.417038
1.0241 0.418945
1.02501 0.420216
1.02592 0.421488
1.02683 0.423395
1.02774 0.425302
1.02865 0.425302
1.02956 0.426573
1.03047 0.427845
1.03138 0.428481
1.03229 0.430388
1.0332 0.431024
1.03411 0.432295
1.03502 0.432931
1.03593 0.433566
1.03683 0.434838
1.03774 0.435474
1.03865 0.436745
1.03956 0.437381
1.04047 0.437381
1.04138 0.438017
1.04229 0.438652
1.0432 0.440559
1.04411 0.441831
1.04502 0.442467
1.04593 0.443738
1.04684 0.444374
1.04775 0.445645
1.04866 0.446917
1.04957 0.448188
1.05048 0.450095
1.05139 0.450731
1.0523 0.452003
1.05321 0.452638
1.05412 0.45391
1.05503 0.454545
1.05593 0.455817
1.05684 0.456453
1.05775 0.45836
1.05866 0.458996
1.05957 0.460267
1.06048 0.460903
1.06139 0.462174
1.0623 0.463446
1.06321 0.464081
1.06412 0.465353
1.06503 0.465989
1.06594 0.46726
1.06685 0.469803
1.06776 0.471074
1.06867 0.472346
1.06958 0.473617
1.07049 0.474253
1.0714 0.475524
1.07231 0.477432
1.07322 0.478067
1.07412 0.479339
1.07503 0.479975
1.07594 0.48061
1.07685 0.481882
1.07776 0.483789
1.07867 0.484425
1.07958 0.485696
1.08049 0.486332
1.0814 0.487603
1.08231 0.488239
1.08322 0.488875
1.08413 0.48951
1.08504 0.491418
1.08595 0.492053
1.08686 0.493325
1.08777 0.494596
1.08868 0.495232
1.08959 0.495868
1.0905 0.497139
1.09141 0.498411
1.09231 0.499046
1.09322 0.499682
1.09413 0.500954
1.09504 0.501589
1.09595 0.502861
1.09686 0.503497
1.09777 0.504132
1.09868 0.504768
1.09959 0.506039
1.1005 0.507311
1.10141 0.508582
1.10232 0.509854
1.10323 0.511125
1.10414 0.511125
1.10505 0.512397
1.10596 0.513032
1.10687 0.513032
1.10778 0.514304
1.10869 0.51494
1.1096 0.516211
1.1105 0.517483
1.11141 0.518118
1.11232 0.518754
1.11323 0.51939
1.11414 0.520661
1.11505 0.521933
1.11596 0.522568
1.11687 0.52384
1.11778 0.525111
1.11869 0.527018
1.1196 0.527654
1.12051 0.52829
1.12142 0.528926
1.12233 0.530197
1.12324 0.531469
1.12415 0.53274
1.12506 0.533376
1.12597 0.534011
1.12688 0.535919
1.12779 0.53719
1.12869 0.537826
1.1296 0.539097
1.13051 0.539733
1.13142 0.541004
1.13233 0.54164
1.13324 0.542276
1.13415 0.543547
1.13506 0.544183
1.13597 0.54609
1.13688 0.546726
1.13779 0.547997
1.1387 0.549269
1.13961 0.549269
1.14052 0.549905
1.14143 0.55054
1.14234 0.551176
1.14325 0.551812
1.14416 0.552448
1.14507 0.553719
1.14598 0.55499
1.14688 0.555626
1.14779 0.556898
1.1487 0.557533
1.14961 0.558169
1.15052 0.558805
1.15143 0.559441
1.15234 0.560076
1.15325 0.561348
1.15416 0.561983
1.15507 0.563255
1.15598 0.564526
1.15689 0.565798
1.1578 0.565798
1.15871 0.567069
1.15962 0.567705
1.16053 0.568341
1.16144 0.569612
1.16235 0.570248
1.16326 0.570884
1.16417 0.571519
1.16508 0.572791
1.16598 0.574062
1.16689 0.574698
1.1678 0.575334
1.16871 0.575969
1.16962 0.576605
1.17053 0.577877
1.17144 0.579148
1.17235 0.579784
1.17326 0.58042
1.17417 0.581055
1.17508 0.581691
1.17599 0.582327
1.1769 0.583598
1.17781 0.58487
1.17872 0.585505
1.17963 0.586141
1.18054 0.587413
1.18145 0.588048
1.18236 0.588684
1.18327 0.58932
1.18417 0.589955
1.18508 0.591227
1.18599 0.591863
1.1869 0.59377
1.18781 0.594406
1.18872 0.595041
1.18963 0.595677
1.19054 0.596313
1.19145 0.596949
1.19236 0.597584
1.19327 0.59822
1.19418 0.598856
1.19509 0.599491
1.196 0.600127
1.19691 0.600763
1.19782 0.601399
1.19873 0.60267
1.19964 0.603306
1.20055 0.604577
1.20146 0.604577
1.20236 0.605849
1.20327 0.606484
1.20418 0.60712
1.20509 0.609027
1.206 0.609663
1.20691 0.610299
1.20782 0.610935
1.20873 0.612206
1.20964 0.613477
1.21055 0.613477
1.21146 0.614113
1.21237 0.614749
1.21328 0.615385
1.21419 0.616656
1.2151 0.617292
1.21601 0.617928
1.21692 0.619199
1.21783 0.62047
1.21874 0.62047
1.21965 0.621742
1.22055 0.622378
1.22146 0.623013
1.22237 0.623649
1.22328 0.624285
1.22419 0.624921
1.2251 0.625556
1.22601 0.626192
1.22692 0.626828
1.22783 0.628099
1.22874 0.628735
1.22965 0.629371
