# Interacting fermions (rescaled model)
# L=16,  W=20.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-7.921731458977521179e-01 1.117040678000000009e-01
-7.915323166197868465e-01 3.522368280000000018e-01
-7.898169049403641617e-01 5.414417728999999513e-01
-7.806159934986318660e-01 4.452262033000000119e-01
-7.794064631718966574e-01 -9.976547049999999750e-01
-7.782389159608408269e-01 -4.865071960999999834e-01
-7.761553522417249384e-01 3.489624016000000273e-01
-7.758603474758448693e-01 3.092866650000000162e-01
-7.753972993160296312e-01 2.665584608000000078e-01
-7.725840979695950406e-01 2.910955768999999860e-01
-7.705364102170310092e-01 6.115067968999999826e-01
-7.697183577396875531e-01 -5.539632259000000225e-01
-7.677010434884404821e-01 -2.240218831000000133e-02
-7.661722744727262890e-01 -4.666208206999999941e-01
-7.656814733391579253e-01 -5.038466002000000499e-01
-7.628243757584489693e-01 -9.334470956000000541e-01
-7.608892269353517701e-01 -9.273146270000000024e-01
-7.593839932331245546e-01 2.743422365000000029e-01
-7.590354671207494297e-01 -7.752718754999999851e-01
-7.580334841589896344e-01 9.478602177999999323e-02
-7.559976333210280952e-01 2.171623627000000001e-01
-7.553238752678393952e-01 1.151061231999999934e-01
-7.544481097863285912e-01 1.287718481000000026e-01
-7.536397975049291542e-01 2.518690623000000017e-01
-7.534020500551750210e-01 3.667609021000000080e-01
-7.529862419841047982e-01 3.422050292000000105e-01
-7.521592822836425940e-01 1.735748149000000129e-01
-7.508783118571913384e-01 2.659769412999999916e-01
-7.492063606955754462e-01 2.810529299000000258e-01
-7.491214282157396820e-01 -3.835286030000000235e-01
-7.487001982578147530e-01 2.863410102999999762e-01
-7.482955905815790176e-01 5.963283432999999523e-01
-7.470421565065117342e-01 -9.640029891000000406e-01
-7.463834731357682495e-01 3.981545142999999842e-01
-7.450532188957926794e-01 -9.994046921000000472e-01
-7.436313114447348216e-01 -4.361427567999999755e-01
-7.435200765008570523e-01 -1.526090505000000097e-01
-7.432857826503611598e-01 -7.194545761999999733e-01
-7.430897175562468648e-01 -5.558673228999999605e-01
-7.402866399192979951e-01 2.882650185000000254e-01
-7.388310747305668613e-01 -1.169651436000000017e-01
-7.374804993152133115e-01 -4.346399700999999949e-01
-7.369315830765303943e-01 9.984265560000000345e-03
-7.364540625453025458e-01 1.120321987000000019e-01
-7.344106770850208354e-01 1.357666741999999926e-01
-7.338220591369418733e-01 -1.825898601000000010e-01
-7.325647992201611558e-01 -5.461868074000000295e-01
