# Long-range Heisenberg model
# L = 20, J = 1.0, Delta = 1.4
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 7.60000000000000042E-004 0.00146673
1 7.69999999999999960E-004 0.00148746
1 7.79999999999999986E-004 0.00150437
1 7.90000000000000012E-004 0.0015221
1 8.00000000000000038E-004 0.00154194
1 8.09999999999999956E-004 0.00155934
1 8.19999999999999982E-004 0.00157882
1 8.30000000000000009E-004 0.00163167
1 8.40000000000000035E-004 0.00165167
1 8.49999999999999953E-004 0.00167079
1 8.59999999999999979E-004 0.00168724
1 8.70000000000000005E-004 0.00170348
1 8.80000000000000031E-004 0.00171978
1 8.89999999999999949E-004 0.00173734
1 8.99999999999999975E-004 0.001754
1 9.10000000000000002E-004 0.00176969
1 9.20000000000000028E-004 0.00178998
1 9.30000000000000054E-004 0.00181055
1 9.39999999999999972E-004 0.00183815
1 9.49999999999999998E-004 0.00185622
1 9.60000000000000024E-004 0.00187437
1 9.70000000000000051E-004 0.00189346
1 9.79999999999999968E-004 0.00191238
1 9.89999999999999995E-004 0.00193072
1 1.00000000000000002E-003 0.00194591
1 1.10000000000000007E-003 0.00215073
1 1.19999999999999989E-003 0.00231911
1 1.29999999999999994E-003 0.00251254
1 1.39999999999999999E-003 0.00268889
1 1.50000000000000003E-003 0.00286872
1 1.60000000000000008E-003 0.00303404
1 1.69999999999999991E-003 0.0032231
1 1.79999999999999995E-003 0.0034011
1 1.90000000000000000E-003 0.00361298
1 2.00000000000000004E-003 0.00379203
1 2.09999999999999987E-003 0.00395652
1 2.20000000000000013E-003 0.00413685
1 2.29999999999999996E-003 0.00432251
1 2.39999999999999979E-003 0.00451327
1 2.50000000000000005E-003 0.00468733
1 2.59999999999999988E-003 0.00489055
1 2.70000000000000014E-003 0.00506007
1 2.79999999999999997E-003 0.00529116
1 2.89999999999999980E-003 0.00545833
1 3.00000000000000006E-003 0.00561917
1 3.09999999999999989E-003 0.00580914
1 3.20000000000000015E-003 0.00599412
1 3.29999999999999998E-003 0.00617873
1 3.39999999999999981E-003 0.00639842
1 3.50000000000000007E-003 0.00657101
1 3.59999999999999990E-003 0.00676951
1 3.70000000000000016E-003 0.00695954
1 3.79999999999999999E-003 0.0071438
1 3.89999999999999982E-003 0.00732448
1 4.00000000000000008E-003 0.00750904
1 4.10000000000000035E-003 0.00768645
1 4.19999999999999974E-003 0.00785636
1 4.30000000000000000E-003 0.00804625
1 4.40000000000000027E-003 0.00822863
1 4.49999999999999966E-003 0.00841673
1 4.59999999999999992E-003 0.0086319
1 4.70000000000000018E-003 0.00880189
1 4.79999999999999958E-003 0.00903689
1 4.89999999999999984E-003 0.00922358
1 5.00000000000000010E-003 0.00942345
1 5.10000000000000037E-003 0.00957548
1 5.19999999999999976E-003 0.00976851
1 5.30000000000000002E-003 0.00993845
1 5.40000000000000029E-003 0.0101121
1 5.49999999999999968E-003 0.0102848
1 5.59999999999999994E-003 0.0104719
1 5.70000000000000021E-003 0.0106316
1 5.79999999999999960E-003 0.0107981
1 5.89999999999999986E-003 0.0109778
1 6.00000000000000012E-003 0.0111587
1 6.10000000000000039E-003 0.0113282
1 6.19999999999999978E-003 0.0115214
1 6.30000000000000004E-003 0.0116959
1 6.40000000000000031E-003 0.0118755
1 6.49999999999999970E-003 0.0120556
1 6.59999999999999996E-003 0.0122379
1 6.70000000000000023E-003 0.0124279
1 6.79999999999999962E-003 0.0125952
1 6.89999999999999988E-003 0.012759
1 7.00000000000000015E-003 0.0129453
1 7.10000000000000041E-003 0.0131192
1 7.19999999999999980E-003 0.0133196
1 7.30000000000000007E-003 0.0135116
1 7.40000000000000033E-003 0.0136871
1 7.49999999999999972E-003 0.0138978
1 7.59999999999999998E-003 0.0141202
1 7.70000000000000025E-003 0.0142929
1 7.79999999999999964E-003 0.0144619
1 7.90000000000000077E-003 0.0146362
1 8.00000000000000017E-003 0.0148677
1 8.09999999999999956E-003 0.0150424
1 8.20000000000000069E-003 0.0152268
1 8.30000000000000009E-003 0.0154142
1 8.39999999999999948E-003 0.015597
1 8.50000000000000061E-003 0.0157908
1 8.60000000000000001E-003 0.0159687
1 8.69999999999999940E-003 0.0161622
1 8.80000000000000053E-003 0.0163462
1 8.89999999999999993E-003 0.0165365
1 8.99999999999999932E-003 0.0167129
1 9.10000000000000045E-003 0.0168853
1 9.19999999999999984E-003 0.017069
1 9.29999999999999924E-003 0.0172533
1 9.40000000000000037E-003 0.017439
1 9.49999999999999976E-003 0.0176199
1 9.59999999999999916E-003 0.0178318
1 9.70000000000000029E-003 0.018009
1 9.79999999999999968E-003 0.0182222
1 9.90000000000000081E-003 0.0184133
1 1.00000000000000002E-002 0.0186104
1 1.09999999999999994E-002 0.0203611
1 1.20000000000000002E-002 0.0222199
1 1.29999999999999994E-002 0.0240804
1 1.40000000000000003E-002 0.0258878
1 1.49999999999999994E-002 0.0277485
1 1.60000000000000003E-002 0.0296252
1 1.70000000000000012E-002 0.0314613
1 1.79999999999999986E-002 0.0333885
1 1.89999999999999995E-002 0.0351627
1 2.00000000000000004E-002 0.0369849
1 2.10000000000000013E-002 0.0387992
1 2.19999999999999987E-002 0.0406354
1 2.29999999999999996E-002 0.0424626
1 2.40000000000000005E-002 0.0442621
1 2.50000000000000014E-002 0.0460517
1 2.59999999999999988E-002 0.0480868
1 2.69999999999999997E-002 0.0498794
1 2.80000000000000006E-002 0.051722
1 2.90000000000000015E-002 0.0535049
1 2.99999999999999989E-002 0.0553487
1 3.09999999999999998E-002 0.0571926
1 3.20000000000000007E-002 0.0590116
1 3.30000000000000016E-002 0.0608613
1 3.40000000000000024E-002 0.0626919
1 3.50000000000000033E-002 0.0644843
1 3.59999999999999973E-002 0.0664018
1 3.69999999999999982E-002 0.0681925
1 3.79999999999999991E-002 0.0700011
1 3.89999999999999999E-002 0.0717641
1 4.00000000000000008E-002 0.0737275
1 4.10000000000000017E-002 0.075545
1 4.20000000000000026E-002 0.0773303
1 4.29999999999999966E-002 0.0793722
1 4.39999999999999974E-002 0.081297
1 4.49999999999999983E-002 0.0832046
1 4.59999999999999992E-002 0.0849779
1 4.70000000000000001E-002 0.0867556
1 4.80000000000000010E-002 0.0884939
1 4.90000000000000019E-002 0.0903133
1 5.00000000000000028E-002 0.0920869
1 5.09999999999999967E-002 0.0939124
1 5.19999999999999976E-002 0.0956338
1 5.29999999999999985E-002 0.0975742
1 5.39999999999999994E-002 0.0993991
1 5.50000000000000003E-002 0.101181
1 5.60000000000000012E-002 0.102984
1 5.70000000000000021E-002 0.104692
1 5.80000000000000029E-002 0.106429
1 5.89999999999999969E-002 0.108241
1 5.99999999999999978E-002 0.109981
1 6.09999999999999987E-002 0.111812
1 6.19999999999999996E-002 0.113519
1 6.30000000000000004E-002 0.115545
1 6.40000000000000013E-002 0.117299
1 6.50000000000000022E-002 0.119092
1 6.60000000000000031E-002 0.120825
1 6.70000000000000040E-002 0.122621
1 6.80000000000000049E-002 0.124351
1 6.90000000000000058E-002 0.126097
1 7.00000000000000067E-002 0.12783
1 7.09999999999999937E-002 0.129573
1 7.19999999999999946E-002 0.131337
1 7.29999999999999954E-002 0.133273
1 7.39999999999999963E-002 0.135036
1 7.49999999999999972E-002 0.136814
1 7.59999999999999981E-002 0.138674
