# Generalized Haldane-Shastry model
# L = 20, J = 1.0, Delta = 0.8
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 7.20000000000000018E-005 4.37917e-05
1 7.29999999999999990E-005 4.47737e-05
1 7.39999999999999962E-005 4.5328e-05
1 7.49999999999999934E-005 4.59849e-05
1 7.60000000000000042E-005 4.64072e-05
1 7.70000000000000014E-005 4.69735e-05
1 7.79999999999999986E-005 4.76035e-05
1 7.89999999999999958E-005 4.79614e-05
1 8.00000000000000065E-005 4.84163e-05
1 8.10000000000000037E-005 4.91175e-05
1 8.20000000000000009E-005 4.95409e-05
1 8.29999999999999981E-005 5.01547e-05
1 8.39999999999999954E-005 5.11731e-05
1 8.50000000000000061E-005 5.15419e-05
1 8.60000000000000033E-005 5.19474e-05
1 8.70000000000000005E-005 5.27014e-05
1 8.79999999999999977E-005 5.34627e-05
1 8.89999999999999949E-005 5.40947e-05
1 9.00000000000000057E-005 5.46041e-05
1 9.10000000000000029E-005 5.49848e-05
1 9.20000000000000001E-005 5.55614e-05
1 9.29999999999999973E-005 5.60044e-05
1 9.39999999999999945E-005 5.63245e-05
1 9.50000000000000052E-005 5.67362e-05
1 9.60000000000000024E-005 5.74113e-05
1 9.69999999999999996E-005 5.79255e-05
1 9.79999999999999968E-005 5.86565e-05
1 9.89999999999999940E-005 5.91889e-05
1 1.00000000000000005E-004 5.97726e-05
1 1.10000000000000004E-004 6.58105e-05
1 1.20000000000000003E-004 7.16308e-05
1 1.29999999999999989E-004 7.74653e-05
1 1.39999999999999988E-004 8.37841e-05
1 1.49999999999999987E-004 8.94735e-05
1 1.60000000000000013E-004 9.47077e-05
1 1.70000000000000012E-004 0.000100355
1 1.80000000000000011E-004 0.000105919
1 1.90000000000000010E-004 0.000111058
1 2.00000000000000010E-004 0.000116636
1 2.10000000000000009E-004 0.000121864
1 2.20000000000000008E-004 0.000125992
1 2.30000000000000007E-004 0.000131606
1 2.40000000000000006E-004 0.000137089
1 2.50000000000000005E-004 0.00014342
1 2.59999999999999977E-004 0.00014976
1 2.70000000000000003E-004 0.000155841
1 2.79999999999999975E-004 0.000161347
1 2.90000000000000002E-004 0.000167563
1 2.99999999999999974E-004 0.000173317
1 3.10000000000000000E-004 0.000178928
1 3.20000000000000026E-004 0.000185554
1 3.29999999999999998E-004 0.00019034
1 3.40000000000000024E-004 0.000195651
1 3.49999999999999996E-004 0.000201937
1 3.60000000000000023E-004 0.000207609
1 3.69999999999999995E-004 0.000213438
1 3.80000000000000021E-004 0.00021915
1 3.89999999999999993E-004 0.000224474
1 4.00000000000000019E-004 0.000230723
1 4.09999999999999991E-004 0.000237206
1 4.20000000000000017E-004 0.00024181
1 4.29999999999999989E-004 0.000246949
1 4.40000000000000016E-004 0.000251685
1 4.49999999999999988E-004 0.000257423
1 4.60000000000000014E-004 0.000263337
1 4.69999999999999986E-004 0.00027123
1 4.80000000000000012E-004 0.000277251
1 4.89999999999999984E-004 0.000282867
1 5.00000000000000010E-004 0.000287869
1 5.10000000000000037E-004 0.000293842
1 5.19999999999999954E-004 0.000299619
1 5.29999999999999981E-004 0.000306269
1 5.40000000000000007E-004 0.000312295
1 5.50000000000000033E-004 0.00031764
1 5.59999999999999951E-004 0.000322542
1 5.69999999999999977E-004 0.000328242
1 5.80000000000000003E-004 0.000333899
1 5.90000000000000030E-004 0.000340471
1 5.99999999999999947E-004 0.000346548
1 6.09999999999999974E-004 0.000351878
1 6.20000000000000000E-004 0.000357092
1 6.30000000000000026E-004 0.000362322
1 6.40000000000000052E-004 0.000368171
1 6.49999999999999970E-004 0.000373323
1 6.59999999999999996E-004 0.000378921
1 6.70000000000000023E-004 0.000383961
1 6.80000000000000049E-004 0.000389477
1 6.89999999999999967E-004 0.000394578
1 6.99999999999999993E-004 0.000401206
1 7.10000000000000019E-004 0.000406721
1 7.20000000000000045E-004 0.000411784
1 7.29999999999999963E-004 0.000416645
1 7.39999999999999989E-004 0.000422605
1 7.50000000000000016E-004 0.000428608
1 7.60000000000000042E-004 0.000434093
1 7.69999999999999960E-004 0.000439757
1 7.79999999999999986E-004 0.000445348
1 7.90000000000000012E-004 0.000451495
1 8.00000000000000038E-004 0.000457466
1 8.09999999999999956E-004 0.000462596
1 8.19999999999999982E-004 0.000467955
1 8.30000000000000009E-004 0.000472746
1 8.40000000000000035E-004 0.000478009
1 8.49999999999999953E-004 0.00048388
1 8.59999999999999979E-004 0.000489121
1 8.70000000000000005E-004 0.000494223
1 8.80000000000000031E-004 0.000500772
1 8.89999999999999949E-004 0.000506857
1 8.99999999999999975E-004 0.000513022
1 9.10000000000000002E-004 0.000519208
1 9.20000000000000028E-004 0.000524746
1 9.30000000000000054E-004 0.000530094
1 9.39999999999999972E-004 0.000534985
1 9.49999999999999998E-004 0.000539873
1 9.60000000000000024E-004 0.000544975
1 9.70000000000000051E-004 0.000550649
1 9.79999999999999968E-004 0.000556059
1 9.89999999999999995E-004 0.000562345
1 1.00000000000000002E-003 0.000568356
1 1.10000000000000007E-003 0.000625776
1 1.19999999999999989E-003 0.000682425
1 1.29999999999999994E-003 0.000738691
1 1.39999999999999999E-003 0.000795837
1 1.50000000000000003E-003 0.000851732
1 1.60000000000000008E-003 0.000906965
1 1.69999999999999991E-003 0.000969255
