# Random field Heisenberg chain
# L=14, J=1, Delta=1, W=2.0, h_i in [-W,W]
# Cumulative distribution function (CDF) of the fitting parameter tau_max; for 10^3 realizations of the disorder
# tau_max CDF

317.25411415520074 0.426029
317.5810643904584 0.427141
318.00932576402045 0.428254
318.2237636675671 0.429366
318.50147304013973 0.430478
319.0652725465223 0.431591
319.49363059229483 0.432703
319.94094393606946 0.433815
320.4842001813506 0.434928
321.1494958376464 0.43604
322.06180519503687 0.437152
322.8869257127527 0.438265
322.935362078489 0.439377
323.5829647523598 0.440489
323.83882878999543 0.441602
324.1038876061012 0.442714
325.0403185024949 0.443826
325.3080397189683 0.444939
325.4455989177407 0.446051
326.69996010174884 0.447164
327.25476461344346 0.448276
327.7987569172939 0.449388
328.4898278868204 0.450501
331.9788163144759 0.451613
333.14398047787716 0.452725
333.229103772263 0.453838
333.8224004854336 0.45495
335.0486596820758 0.456062
336.45036443523287 0.457175
336.45513433953823 0.458287
337.7280297794602 0.459399
339.1103354482647 0.460512
339.3899717792905 0.461624
339.39291699619974 0.462736
339.96266802038605 0.463849
340.37366706331755 0.464961
340.59876300371957 0.466073
342.2025351861788 0.467186
342.6992843477446 0.468298
343.24868598831046 0.46941
343.53740008800185 0.470523
345.7133450271353 0.471635
348.87940938627355 0.472747
351.7829933972813 0.47386
352.2281430440837 0.474972
353.37864745862197 0.476085
354.4689217836967 0.477197
354.93301208740195 0.478309
358.1610057369237 0.479422
358.3350431301065 0.480534
358.5893039622863 0.481646
359.31303260058706 0.482759
359.5522597414101 0.483871
359.86865808856663 0.484983
360.5275737228453 0.486096
360.86918232389087 0.487208
363.4151060199844 0.48832
364.4356756022849 0.489433
365.35369282258085 0.490545
365.43238381099087 0.491657
365.8521620833168 0.49277
366.18845643007523 0.493882
366.2401773806451 0.494994
366.68416506830164 0.496107
368.2376937084727 0.497219
371.97375437687066 0.498331
374.92868806141655 0.499444
377.13326659787367 0.500556
379.77119830019404 0.501669
379.94853271675544 0.502781
380.2029791819317 0.503893
380.667214767486 0.505006
381.26446833150123 0.506118
381.9156541165134 0.50723
383.9561491891621 0.508343
384.3516159455425 0.509455
384.80731691432425 0.510567
384.84382822503653 0.51168
391.9039100769495 0.512792
393.295792584466 0.513904
396.5867584214073 0.515017
398.0617691949792 0.516129
398.1010407502125 0.517241
398.5948237785989 0.518354
399.7441472056296 0.519466
402.0453834646023 0.520578
402.25918215942374 0.521691
403.1355200817312 0.522803
404.0557768757094 0.523915
405.8636618700099 0.525028
407.20572324331107 0.52614
408.18986288901993 0.527253
408.8556103067208 0.528365
408.998920984119 0.529477
411.08935433209115 0.53059
411.94662868943516 0.531702
412.5339906596304 0.532814
412.5579640163456 0.533927
413.5820418839141 0.535039
413.89534762953883 0.536151
414.0829200088066 0.537264
414.6857112995463 0.538376
414.9880801507895 0.539488
415.24981840305935 0.540601
416.64317464765674 0.541713
417.25227400607014 0.542825
417.40780975849304 0.543938
419.2478945367933 0.54505
419.98063370677625 0.546162
422.37077967770836 0.547275
422.9026281229553 0.548387
427.26848543367134 0.549499
430.7279658111567 0.550612
430.94580498909335 0.551724
430.9921740898754 0.552836
431.13118583188145 0.553949
431.3432885824431 0.555061
433.0185033630378 0.556174
433.41395217247424 0.557286
433.85016788731684 0.558398
434.579532240839 0.559511
434.9339303219366 0.560623
435.2623410240125 0.561735
436.26784449683515 0.562848
437.393316767592 0.56396
437.7654801921497 0.565072
438.08797701720914 0.566185
438.72119445581563 0.567297
439.3422381280489 0.568409
439.5556355611294 0.569522
440.5004812082126 0.570634
441.3201003202539 0.571746
441.57033376650094 0.572859
441.69981319395225 0.573971
441.9473869758685 0.575083
442.96320139200407 0.576196
443.25336721377846 0.577308
443.9927208179029 0.57842
444.0940548256425 0.579533
445.14885944092777 0.580645
445.28877314167534 0.581758
446.97966534310814 0.58287
447.89738056734654 0.583982
449.7675676206942 0.585095
451.2767834747316 0.586207
452.44286869680326 0.587319
456.7725860353443 0.588432
458.2178761054291 0.589544
458.57892760273074 0.590656
458.7114701783289 0.591769
459.7245893618104 0.592881
461.32648584680544 0.593993
462.3466864772183 0.595106
462.7489419989496 0.596218
463.36312038836473 0.59733
463.81338367751977 0.598443
464.51732779734 0.599555
468.84276965893594 0.600667
469.8327418472988 0.60178
470.00148666327493 0.602892
470.1462011210564 0.604004
472.0791937784044 0.605117
474.4366455673584 0.606229
474.8061358509137 0.607341
476.93577199768004 0.608454
477.48199105312085 0.609566
478.5102400594602 0.610679
478.82961983789517 0.611791
479.1107959767683 0.612903
479.1729804040108 0.614016
479.9493294207698 0.615128
482.0999875443845 0.61624
483.0433166060328 0.617353
483.1323025019451 0.618465
483.85609935027395 0.619577
484.3002014929887 0.62069
484.740935930075 0.621802
484.8006358883608 0.622914
485.98370975613574 0.624027
486.67968764564523 0.625139
487.20624957400474 0.626251
487.6275875827327 0.627364
488.0011111834426 0.628476
491.7236865745595 0.629588
493.7359702909083 0.630701
494.6621795714783 0.631813
495.1153551876227 0.632925
497.28979885115194 0.634038
497.40394875967695 0.63515
498.8037631144495 0.636263
499.141616584244 0.637375
499.53681403292404 0.638487
499.7633579869837 0.6396
502.9762906766373 0.640712
502.9811550039627 0.641824
503.0876024343675 0.642937
505.02084097070235 0.644049
505.75796096915906 0.645161
506.77654879973437 0.646274
506.7841744671746 0.647386
507.83537944034714 0.648498
512.4754419767011 0.649611
513.1340790987088 0.650723
513.7537690367786 0.651835
513.9981421521726 0.652948
514.0545071842697 0.65406
514.4268060045141 0.655172
515.1516321120976 0.656285
515.5744917730777 0.657397
515.6014051240068 0.658509
515.9555149253139 0.659622
517.1745238701135 0.660734
517.6829975166221 0.661846
519.5507814403021 0.662959
519.7228743561694 0.664071
519.9874970780135 0.665184
520.311517579474 0.666296
520.5990245245591 0.667408
521.4025367899787 0.668521
522.0437600843838 0.669633
523.2941218772503 0.670745
525.700856982445 0.671858
526.631506078868 0.67297
528.2430222369832 0.674082
528.9942991169453 0.675195
529.1609579276096 0.676307
