# J1-J2 AHM model
# L = 18, J = 1.0, Delta = 1.2
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 3.5000000000000003E-002 0.0597329
1 3.5999999999999997E-002 0.061546
1 3.6999999999999998E-002 0.0632498
1 3.7999999999999999E-002 0.0649132
1 3.9000000000000000E-002 0.0667051
1 4.0000000000000001E-002 0.0684047
1 4.1000000000000002E-002 0.0701172
1 4.2000000000000003E-002 0.0717984
1 4.2999999999999997E-002 0.0735645
1 4.3999999999999997E-002 0.0752146
1 4.4999999999999998E-002 0.0769212
1 4.5999999999999999E-002 0.0786172
1 4.7000000000000000E-002 0.0803095
1 4.8000000000000001E-002 0.0820977
1 4.9000000000000002E-002 0.083835
1 5.0000000000000003E-002 0.0855038
1 5.0999999999999997E-002 0.0873052
1 5.1999999999999998E-002 0.0890595
1 5.2999999999999999E-002 0.0906943
1 5.3999999999999999E-002 0.0924514
1 5.5000000000000000E-002 0.0941033
1 5.6000000000000001E-002 0.0956905
1 5.7000000000000002E-002 0.0973328
1 5.8000000000000003E-002 0.0991697
1 5.8999999999999997E-002 0.100976
1 5.9999999999999998E-002 0.102644
1 6.0999999999999999E-002 0.104364
1 6.2000000000000000E-002 0.106154
1 6.3000000000000000E-002 0.107897
1 6.4000000000000001E-002 0.109643
1 6.5000000000000002E-002 0.111351
1 6.6000000000000003E-002 0.113119
1 6.7000000000000004E-002 0.114847
1 6.8000000000000005E-002 0.116572
1 6.9000000000000006E-002 0.118301
1 7.0000000000000007E-002 0.11999
1 7.0999999999999994E-002 0.121769
1 7.1999999999999995E-002 0.123472
1 7.2999999999999995E-002 0.125195
1 7.3999999999999996E-002 0.127021
1 7.4999999999999997E-002 0.128768
1 7.5999999999999998E-002 0.130518
1 7.6999999999999999E-002 0.132282
1 7.8000000000000000E-002 0.133951
1 7.9000000000000001E-002 0.135695
1 8.0000000000000002E-002 0.13744
1 8.1000000000000003E-002 0.139218
1 8.2000000000000003E-002 0.140954
1 8.3000000000000004E-002 0.142817
1 8.4000000000000005E-002 0.144575
1 8.5000000000000006E-002 0.146372
1 8.5999999999999993E-002 0.148072
1 8.6999999999999994E-002 0.149769
1 8.7999999999999995E-002 0.151531
1 8.8999999999999996E-002 0.153272
1 8.9999999999999997E-002 0.154987
1 9.0999999999999998E-002 0.156736
1 9.1999999999999998E-002 0.158455
1 9.2999999999999999E-002 0.160156
1 9.4000000000000000E-002 0.161976
1 9.5000000000000001E-002 0.163771
1 9.6000000000000002E-002 0.165563
1 9.7000000000000003E-002 0.167272
1 9.8000000000000004E-002 0.169061
1 9.9000000000000005E-002 0.170723
1 0.10000000000000001 0.172485
1 0.11000000000000000 0.190257
1 0.12000000000000000 0.207932
1 0.13000000000000000 0.225757
1 0.14000000000000001 0.243332
1 0.14999999999999999 0.261305
1 0.16000000000000000 0.279107
1 0.17000000000000001 0.297205
1 0.17999999999999999 0.31484
1 0.19000000000000000 0.332471
1 0.20000000000000001 0.349638
1 0.20999999999999999 0.366358
1 0.22000000000000000 0.382832
1 0.23000000000000001 0.398645
1 0.23999999999999999 0.414565
1 0.25000000000000000 0.429583
1 0.26000000000000001 0.443826
1 0.27000000000000002 0.457578
1 0.28000000000000003 0.470512
1 0.28999999999999998 0.483179
1 0.29999999999999999 0.49497
1 0.31000000000000000 0.505896
1 0.32000000000000001 0.516668
1 0.33000000000000002 0.526863
1 0.34000000000000002 0.536628
1 0.34999999999999998 0.545769
1 0.35999999999999999 0.554662
1 0.37000000000000000 0.56333
1 0.38000000000000000 0.571632
1 0.39000000000000001 0.579556
1 0.40000000000000002 0.587076
1 0.40999999999999998 0.594317
1 0.41999999999999998 0.601581
1 0.42999999999999999 0.608321
1 0.44000000000000000 0.615043
1 0.45000000000000001 0.621413
1 0.46000000000000002 0.627552
1 0.46999999999999997 0.633391
1 0.47999999999999998 0.639298
1 0.48999999999999999 0.644821
1 0.50000000000000000 0.65015
1 0.51000000000000001 0.655445
1 0.52000000000000002 0.660549
1 0.53000000000000003 0.665637
1 0.54000000000000004 0.670624
1 0.55000000000000004 0.675428
1 0.56000000000000005 0.680062
1 0.56999999999999995 0.684556
1 0.57999999999999996 0.688887
1 0.58999999999999997 0.6932
1 0.59999999999999998 0.697426
1 0.60999999999999999 0.701529
1 0.62000000000000000 0.705463
1 0.63000000000000000 0.709332
1 0.64000000000000001 0.713022
1 0.65000000000000002 0.716689
1 0.66000000000000003 0.720338
1 0.67000000000000004 0.723873
1 0.68000000000000005 0.727271
1 0.68999999999999995 0.73063
1 0.69999999999999996 0.733931
1 0.70999999999999996 0.737149
1 0.71999999999999997 0.740302
1 0.72999999999999998 0.74335
1 0.73999999999999999 0.746334
1 0.75000000000000000 0.749249
