# Heisenberg model
# L=16, J=1, W=4.0
# CDF of level statistics r_S
# r_S CDF
3.838905838039999852e-01 3.622159090899999823e-02
3.839390385370000103e-01 3.693181818199999661e-02
3.839546710919999883e-01 3.764204545500000193e-02
3.839973435599999818e-01 3.835227272700000162e-02
3.841192955630000072e-01 3.906250000000000000e-02
3.841245265509999895e-01 3.977272727299999838e-02
3.841322040369999913e-01 4.048295454499999807e-02
3.841996365450000006e-01 4.119318181800000339e-02
3.843963285900000026e-01 4.190340909100000177e-02
3.843979517180000083e-01 4.261363636400000016e-02
3.844552759770000216e-01 4.332386363599999984e-02
3.844686340580000250e-01 4.403409090899999823e-02
3.845483818620000216e-01 4.474431818199999661e-02
3.845601108889999953e-01 4.545454545500000193e-02
3.846057343270000151e-01 4.616477272700000162e-02
3.846285379989999864e-01 4.687500000000000000e-02
3.846494034610000168e-01 4.758522727299999838e-02
3.846641097080000238e-01 4.829545454499999807e-02
3.846775554540000086e-01 4.900568181800000339e-02
3.846994821199999914e-01 4.971590909100000177e-02
3.847349922650000198e-01 5.042613636400000016e-02
3.847682766270000276e-01 5.113636363599999984e-02
3.847989984590000079e-01 5.184659090899999823e-02
3.848095636809999998e-01 5.255681818199999661e-02
3.848231222849999855e-01 5.326704545500000193e-02
3.848355254260000247e-01 5.397727272700000162e-02
3.850832874189999977e-01 5.468750000000000000e-02
3.850931208889999957e-01 5.539772727299999838e-02
3.851025768229999757e-01 5.610795454499999807e-02
3.851061216939999921e-01 5.681818181800000339e-02
3.851364394490000009e-01 5.752840909100000177e-02
3.851552503339999989e-01 5.823863636400000016e-02
3.851574990980000113e-01 5.894886363599999984e-02
3.851722808310000246e-01 5.965909090899999823e-02
3.851972698059999978e-01 6.036931818199999661e-02
3.851987884629999859e-01 6.107954545500000193e-02
3.852058792740000182e-01 6.178977272700000162e-02
3.852248171750000116e-01 6.250000000000000000e-02
3.852368553900000214e-01 6.321022727300000532e-02
3.852803948940000112e-01 6.392045454500000501e-02
3.852851373560000070e-01 6.463068181799999645e-02
3.854429067630000261e-01 6.534090909100000177e-02
3.854976276159999826e-01 6.605113636399999322e-02
3.855492631160000183e-01 6.676136363600000678e-02
3.855707145660000057e-01 6.747159090899999823e-02
3.855818014940000094e-01 6.818181818200000355e-02
3.855844249309999805e-01 6.889204545499999499e-02
3.856252697190000189e-01 6.960227272699999468e-02
3.856722713140000036e-01 7.031250000000000000e-02
3.858263189869999832e-01 7.102272727300000532e-02
3.858270006639999972e-01 7.173295454500000501e-02
