# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=12 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=6 (disorder strength), N=200 (disorder realizations), T=500 (number of trajectories)
# Spectral function S(omega) as a function of omega (for fTWA method)
# omega/J, S(omega)

6.031857894892350691e-01 3.379166741203095681e-01
6.094689747964145976e-01 3.742869390896508275e-01
6.157521601035941261e-01 3.894960942854008845e-01
6.220353454107736546e-01 3.685102248317774221e-01
6.283185307179531831e-01 3.716441019950169067e-01
6.346017160251327116e-01 3.696586695204774897e-01
6.408849013323122401e-01 4.118804629757215063e-01
6.471680866394917686e-01 3.989207049188129850e-01
6.534512719466712971e-01 3.778565046942254368e-01
6.597344572538508256e-01 4.111889320613238419e-01
6.660176425610303541e-01 4.253467995557919656e-01
6.723008278682098826e-01 3.988466688191595333e-01
6.785840131753894111e-01 4.380267666110513880e-01
6.848671984825689396e-01 4.386209007473164667e-01
6.911503837897484681e-01 4.081154724413113555e-01
6.974335690969281076e-01 4.082977976654120211e-01
7.037167544041075251e-01 4.527078492841499213e-01
7.099999397112870536e-01 3.978740122489032305e-01
7.162831250184666931e-01 4.765541543550013692e-01
7.225663103256462216e-01 4.284672156925312669e-01
7.288494956328256391e-01 4.256463750096526333e-01
7.351326809400052786e-01 4.725010438565675486e-01
7.414158662471848071e-01 4.851022360051949756e-01
7.476990515543642246e-01 4.742492339384276612e-01
7.539822368615438641e-01 4.681957012649629601e-01
7.602654221687233926e-01 4.768414372680214730e-01
7.665486074759029211e-01 4.360152873782996430e-01
7.728317927830823386e-01 4.631233990365865583e-01
7.791149780902619781e-01 4.936173675349116441e-01
7.853981633974415066e-01 5.162167482604098634e-01
7.916813487046210351e-01 5.241855962946264658e-01
7.979645340118004526e-01 5.343337494211226613e-01
8.042477193189800921e-01 5.328649759620182058e-01
8.105309046261596206e-01 5.818199125534869731e-01
8.168140899333390381e-01 5.955152330606414690e-01
8.230972752405186776e-01 6.901035036559746150e-01
8.293804605476983172e-01 6.082042223283314897e-01
8.356636458548777346e-01 6.134185609488916890e-01
8.419468311620572631e-01 6.513487365802630435e-01
8.482300164692369027e-01 7.672754027968078372e-01
8.545132017764163201e-01 8.326086418453017002e-01
8.607963870835958486e-01 8.131773090976519569e-01
8.670795723907754882e-01 7.705108586699562778e-01
8.733627576979549056e-01 9.725198551626734744e-01
8.796459430051344341e-01 9.164027517529441669e-01
8.859291283123140737e-01 1.033212865494602672e+00
8.922123136194934911e-01 1.034723301836661058e+00
8.984954989266731307e-01 1.049468425669987992e+00
9.047786842338525481e-01 1.126028097696085917e+00
9.110618695410320766e-01 1.094305518799952637e+00
9.173450548482117162e-01 1.328360712255870713e+00
9.236282401553911336e-01 1.308292341348169741e+00
9.299114254625706621e-01 1.378761120041562149e+00
9.361946107697503017e-01 1.476823769812039222e+00
9.424777960769297191e-01 1.610573999919536314e+00
9.487609813841092476e-01 1.592488383820809261e+00
9.550441666912888872e-01 1.796713158401409549e+00
9.613273519984683047e-01 1.947698220637180233e+00
9.676105373056479442e-01 2.202063599323626164e+00
9.738937226128274727e-01 2.167993141424629844e+00
9.801769079200068902e-01 2.360894394204116509e+00
9.864600932271865297e-01 2.343868581344729751e+00
9.927432785343660582e-01 2.570879654212456789e+00
9.990264638415454757e-01 2.679406512020707787e+00
1.005309649148725004e+00 2.501403576599674050e+00
1.011592834455904644e+00 2.548052191074793971e+00
1.017876019763084061e+00 2.415326194389599834e+00
1.024159205070263701e+00 2.304147168809866031e+00
1.030442390377443340e+00 2.279831709523134187e+00
1.036725575684622758e+00 2.135036338087694663e+00
1.043008760991802397e+00 2.083901840854022414e+00
1.049291946298981815e+00 2.070513422658285752e+00
1.055575131606161232e+00 1.951810243044474369e+00
1.061858316913340872e+00 1.937577948233087044e+00
1.068141502220520511e+00 1.872162552003415970e+00
1.074424687527699929e+00 1.747420513597228053e+00
1.080707872834879568e+00 1.828954641768080869e+00
1.086991058142058986e+00 1.631549962572768964e+00
1.093274243449238403e+00 1.633006997692195705e+00
1.099557428756418043e+00 1.720165064372568109e+00
1.105840614063597682e+00 1.607966403041120040e+00
1.112123799370777100e+00 1.640473516222351824e+00
1.118406984677956739e+00 1.478823785625455356e+00
1.124690169985136157e+00 1.535854094205598042e+00
1.130973355292315796e+00 1.557501782227017628e+00
1.137256540599495214e+00 1.442330147293912512e+00
1.143539725906674631e+00 1.495589956178154489e+00
1.149822911213854271e+00 1.397393828913479963e+00
1.156106096521033910e+00 1.355411160296336348e+00
1.162389281828213328e+00 1.348090456058104403e+00
1.168672467135392967e+00 1.361481313202586030e+00
1.174955652442572607e+00 1.252455084400917684e+00
1.181238837749752024e+00 1.405304867057189044e+00
1.187522023056931442e+00 1.257828945784584151e+00
1.193805208364111081e+00 1.300995981663306988e+00
1.200088393671290499e+00 1.241108699495467649e+00
1.206371578978470138e+00 1.235696345293489040e+00
1.212654764285649778e+00 1.241247617155374794e+00
1.218937949592829195e+00 1.164440094614474841e+00
1.225221134900008613e+00 1.136109383850641308e+00
1.231504320207188252e+00 1.108892171654530578e+00
1.237787505514367670e+00 1.162888791293082313e+00
1.244070690821547309e+00 1.092332035730973816e+00
1.250353876128726949e+00 1.057655682898288152e+00
1.256637061435906366e+00 1.056041731997832134e+00
