# Interacting fermions (rescaled model)
# L=16,  W=100.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-7.850380072022353772e-01 -9.873924344000000186e-01
-7.809282595827233830e-01 7.196721448999999771e-01
-7.807377437398411724e-01 -5.807522064000000261e-01
-7.788148118701353484e-01 3.095407595999999928e-01
-7.759558550122068743e-01 6.258298866000000515e-01
-7.752941373928524671e-01 2.965587144999999869e-01
-7.729916657816386927e-01 -4.873011950000000203e-01
-7.718510976065654505e-01 -2.275529571999999889e-01
-7.711938450622033425e-01 -9.079197763000000643e-02
-7.680232260494971319e-01 -2.772358877999999902e-02
-7.669584525871646630e-01 -3.752196567000000149e-01
-7.646330519701843853e-01 -2.679644850999999828e-01
-7.642028982837435480e-01 -1.505101282000000096e-01
-7.640121543361512169e-01 -3.471812395999999967e-02
-7.630329954445224105e-01 -6.854302074000000466e-01
-7.628878222359809502e-01 5.079309148999999746e-01
-7.617520749394042223e-01 -8.546490590999999970e-01
-7.601108171250017254e-01 6.345803478999999525e-01
-7.592575417521679748e-01 9.213524816000000228e-02
-7.580034399859721939e-01 5.497037167999999641e-01
-7.566876336047013707e-01 4.405367233999999965e-01
-7.548572036734160218e-01 3.309443515000000113e-01
-7.534088274166833576e-01 -4.514594082999999758e-01
-7.531070562407257141e-01 3.649014328999999890e-01
-7.525368502466793785e-01 -8.751222962000000383e-01
-7.519653943583528566e-01 8.599601983000000616e-02
-7.513137310766501153e-01 -5.106918567999999548e-01
-7.506760610726227467e-01 1.289338636000000038e-01
-7.493218406628718853e-01 -3.862512107000000139e-01
-7.489074080725781624e-01 -9.985836193999999555e-01
-7.487097161949706203e-01 -4.732438412999999920e-03
-7.475532211314659392e-01 2.212363456000000089e-02
-7.461822387110614851e-01 9.013944713999999525e-02
-7.456251829037446877e-01 5.955885321999999753e-03
-7.445337630261353867e-01 -8.272453409000000146e-01
