# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=64x1 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=6 (disorder strength), N=200 (disorder realizations), T=500 (number of trajectories)
# Spectral function S(omega) as a function of omega (for fTWA_{NONLOC} method)
# omega/J, S(omega)

4.021238596594900461e-01 3.540107224052588819e-01
4.084070449666695191e-01 3.437894491538933117e-01
4.146902302738491586e-01 3.579939892505771826e-01
4.209734155810286316e-01 3.608879024383930822e-01
4.272566008882081601e-01 3.682935869930751283e-01
4.335397861953877441e-01 3.598860630246626391e-01
4.398229715025672171e-01 3.469891596573448367e-01
4.461061568097467456e-01 3.425610638406295649e-01
4.523893421169262741e-01 3.535695017870743029e-01
4.586725274241058581e-01 3.436367772174828694e-01
4.649557127312853311e-01 3.882103627086503916e-01
4.712388980384648596e-01 3.517775410202484965e-01
4.775220833456444436e-01 3.618760578045421283e-01
4.838052686528239721e-01 3.623936238978861524e-01
4.900884539600034451e-01 3.585049168361258420e-01
4.963716392671830291e-01 3.785084768863414273e-01
5.026548245743625021e-01 3.721290842542310240e-01
5.089380098815420306e-01 3.619617907972841331e-01
5.152211951887216701e-01 3.782482904572681548e-01
5.215043804959011986e-01 3.498857509139081667e-01
5.277875658030806161e-01 3.879770993860892636e-01
5.340707511102602556e-01 4.080048614011516084e-01
5.403539364174397841e-01 3.629652267712859537e-01
5.466371217246192016e-01 3.897403000719628086e-01
5.529203070317988411e-01 3.591790198487616048e-01
5.592034923389783696e-01 4.036508557006980302e-01
5.654866776461578981e-01 3.907715868171651730e-01
5.717698629533373156e-01 4.508784409675674065e-01
5.780530482605169551e-01 3.618082760498848582e-01
5.843362335676964836e-01 4.262904030899336560e-01
5.906194188748760121e-01 4.332527733970348849e-01
5.969026041820555406e-01 4.285399367260963599e-01
6.031857894892350691e-01 4.511162479486455212e-01
6.094689747964145976e-01 4.556330811853249729e-01
6.157521601035941261e-01 4.437655778450982913e-01
6.220353454107736546e-01 4.508134427801623323e-01
6.283185307179531831e-01 4.536818774220864325e-01
6.346017160251327116e-01 4.049310807026188508e-01
6.408849013323122401e-01 4.518829553030123680e-01
6.471680866394917686e-01 4.518611984608635890e-01
6.534512719466712971e-01 4.745537731455907737e-01
6.597344572538508256e-01 4.647969594397723947e-01
6.660176425610303541e-01 4.887397396905189817e-01
6.723008278682098826e-01 4.831730185379253251e-01
6.785840131753894111e-01 5.156513570646921174e-01
6.848671984825689396e-01 5.239673995331740608e-01
6.911503837897484681e-01 4.971043555305558748e-01
6.974335690969281076e-01 5.170189726747538295e-01
7.037167544041075251e-01 5.812047323858950953e-01
7.099999397112870536e-01 5.639024392813526410e-01
7.162831250184666931e-01 5.871790457759880066e-01
7.225663103256462216e-01 6.161193217332600058e-01
7.288494956328256391e-01 5.846365542192494269e-01
7.351326809400052786e-01 6.386525957813004029e-01
7.414158662471848071e-01 6.755855506157668611e-01
7.476990515543642246e-01 6.424371489624758347e-01
7.539822368615438641e-01 6.412951415781340536e-01
7.602654221687233926e-01 6.972020000106520232e-01
7.665486074759029211e-01 6.955330303838351824e-01
7.728317927830823386e-01 7.563584114754973164e-01
7.791149780902619781e-01 6.344358419238229629e-01
7.853981633974415066e-01 7.279156692583979016e-01
7.916813487046210351e-01 7.470256215233836983e-01
7.979645340118004526e-01 7.950365315574915437e-01
8.042477193189800921e-01 8.191323655825496486e-01
8.105309046261596206e-01 8.346989497923543722e-01
8.168140899333390381e-01 8.453302252421659446e-01
8.230972752405186776e-01 9.175114134994003523e-01
8.293804605476983172e-01 9.659557041961788215e-01
8.356636458548777346e-01 9.560057050248809141e-01
8.419468311620572631e-01 1.022098038592352154e+00
8.482300164692369027e-01 9.500210498449226382e-01
8.545132017764163201e-01 1.028542820968184834e+00
8.607963870835958486e-01 1.025315234786815299e+00
8.670795723907754882e-01 1.053665205998912446e+00
8.733627576979549056e-01 1.091604749139261088e+00
8.796459430051344341e-01 1.138567263724674650e+00
8.859291283123140737e-01 1.148329992021249968e+00
8.922123136194934911e-01 1.115744201766209365e+00
8.984954989266731307e-01 1.227216291740598431e+00
9.047786842338525481e-01 1.255023918072175837e+00
9.110618695410320766e-01 1.265613728407802174e+00
9.173450548482117162e-01 1.264370164114696937e+00
9.236282401553911336e-01 1.325689830655714108e+00
9.299114254625706621e-01 1.307559157726033039e+00
9.361946107697503017e-01 1.256826008361491054e+00
9.424777960769297191e-01 1.364901414878947117e+00
9.487609813841092476e-01 1.378795210357988577e+00
9.550441666912888872e-01 1.399490888847943593e+00
9.613273519984683047e-01 1.452556193657782657e+00
9.676105373056479442e-01 1.495427353412300375e+00
9.738937226128274727e-01 1.537761433792191879e+00
9.801769079200068902e-01 1.511991416038105607e+00
9.864600932271865297e-01 1.576928554947468530e+00
9.927432785343660582e-01 1.550499080664893503e+00
9.990264638415454757e-01 1.540970561534690475e+00
1.005309649148725004e+00 1.572981906482556758e+00
1.011592834455904644e+00 1.604079443492056889e+00
1.017876019763084061e+00 1.577715841503056771e+00
1.024159205070263701e+00 1.556355228497328991e+00
1.030442390377443340e+00 1.529032098964037134e+00
1.036725575684622758e+00 1.518445929291475149e+00
1.043008760991802397e+00 1.554348385701201485e+00
1.049291946298981815e+00 1.566358136972121340e+00
1.055575131606161232e+00 1.630021973856665030e+00
1.061858316913340872e+00 1.591548818552692035e+00
1.068141502220520511e+00 1.593344282551812929e+00
1.074424687527699929e+00 1.630170285248422335e+00
1.080707872834879568e+00 1.675084409283832620e+00
1.086991058142058986e+00 1.652007550450356854e+00
1.093274243449238403e+00 1.705000727063769261e+00
1.099557428756418043e+00 1.690630397112032002e+00
1.105840614063597682e+00 1.642078784938421299e+00
1.112123799370777100e+00 1.554062688787409163e+00
1.118406984677956739e+00 1.581952494201907644e+00
1.124690169985136157e+00 1.626567526526953689e+00
1.130973355292315796e+00 1.631497412140685999e+00
1.137256540599495214e+00 1.597389421157038969e+00
1.143539725906674631e+00 1.562607496699292220e+00
1.149822911213854271e+00 1.568726740304921430e+00
1.156106096521033910e+00 1.460961278173586342e+00
1.162389281828213328e+00 1.409155218394404496e+00
1.168672467135392967e+00 1.647183864564257583e+00
1.174955652442572607e+00 1.476393992915375319e+00
1.181238837749752024e+00 1.498855858809283736e+00
1.187522023056931442e+00 1.424608732793764876e+00
1.193805208364111081e+00 1.365986043407953821e+00
1.200088393671290499e+00 1.319924899386336614e+00
1.206371578978470138e+00 1.367722067157656651e+00
1.212654764285649778e+00 1.392783011541666616e+00
1.218937949592829195e+00 1.386166187466232325e+00
1.225221134900008613e+00 1.348267244926983244e+00
1.231504320207188252e+00 1.299708806063771149e+00
1.237787505514367670e+00 1.293684961571124337e+00
1.244070690821547309e+00 1.255651913759095795e+00
1.250353876128726949e+00 1.269568337842391648e+00
1.256637061435906366e+00 1.189800676490946341e+00
1.262920246743086006e+00 1.211900194183781698e+00
1.269203432050265423e+00 1.207445109973455555e+00
1.275486617357444841e+00 1.156610938046886305e+00
1.281769802664624480e+00 1.122221813274484559e+00
1.288052987971804120e+00 1.155766914048649507e+00
1.294336173278983537e+00 1.067182349512972861e+00
1.300619358586163177e+00 1.086075848106655473e+00
1.306902543893342594e+00 1.097983107846029371e+00
1.313185729200522234e+00 1.036619267073729755e+00
1.319468914507701651e+00 9.955214784628053648e-01
1.325752099814881069e+00 1.008053131911497369e+00
1.332035285122060708e+00 1.064327844726797201e+00
1.338318470429240348e+00 9.687190630254167711e-01
1.344601655736419765e+00 9.392324888071880151e-01
1.350884841043599405e+00 9.801894501429513351e-01
1.357168026350778822e+00 9.545597508959728916e-01
1.363451211657958240e+00 9.417346544040844369e-01
1.369734396965137879e+00 9.126568876986409506e-01
1.376017582272317519e+00 9.854343329576271682e-01
1.382300767579496936e+00 9.446402003293637994e-01
1.388583952886676576e+00 8.898101614788694880e-01
1.394867138193856215e+00 9.224523513751324844e-01
1.401150323501035633e+00 9.050585449765387036e-01
1.407433508808215050e+00 8.209545403571149036e-01
1.413716694115394690e+00 8.689644189823733100e-01
1.419999879422574107e+00 8.895697251702617825e-01
1.426283064729753747e+00 8.645780952317652090e-01
1.432566250036933386e+00 9.182341252800566567e-01
1.438849435344112804e+00 8.270753995043437223e-01
1.445132620651292443e+00 8.967650950716401503e-01
1.451415805958471861e+00 8.430058102964353983e-01
1.457698991265651278e+00 8.867760463055744946e-01
1.463982176572830918e+00 8.735843669806622191e-01
1.470265361880010557e+00 8.422465104673834135e-01
1.476548547187189975e+00 8.403375620681333702e-01
1.482831732494369614e+00 8.524092334671110605e-01
1.489114917801549032e+00 7.691477573514772237e-01
1.495398103108728449e+00 8.427549546876587083e-01
1.501681288415908089e+00 8.558107034184024853e-01
1.507964473723087728e+00 8.324144105797197657e-01
1.514247659030267146e+00 7.866511611220909916e-01
1.520530844337446785e+00 8.042349200328349212e-01
1.526814029644626203e+00 8.038869967217588952e-01
1.533097214951805842e+00 8.040478577998591003e-01
1.539380400258985260e+00 8.013580699616891234e-01
1.545663585566164677e+00 8.387470428158898539e-01
1.551946770873344317e+00 8.043798217451089139e-01
1.558229956180523956e+00 8.241016336865415459e-01
1.564513141487703374e+00 8.336320673286489180e-01
1.570796326794883013e+00 8.725869284025944417e-01
1.577079512102062653e+00 8.101126381851765368e-01
1.583362697409242070e+00 7.813655589826511427e-01
1.589645882716421710e+00 7.843793026845332639e-01
1.595929068023600905e+00 8.078428331447715660e-01
1.602212253330780545e+00 8.138025300082211144e-01
1.608495438637960184e+00 7.914702785388182393e-01
1.614778623945139824e+00 8.274173969503191284e-01
1.621061809252319241e+00 7.501910077413661559e-01
1.627344994559498659e+00 8.240528090864044364e-01
1.633628179866678076e+00 7.931823256893233420e-01
1.639911365173857716e+00 8.193053563779029158e-01
1.646194550481037355e+00 7.710217354139156098e-01
1.652477735788216995e+00 8.090002070070522189e-01
1.658760921095396634e+00 7.485308011546226714e-01
1.665044106402575830e+00 8.119392365802643452e-01
1.671327291709755469e+00 7.825176056952183323e-01
1.677610477016934887e+00 7.995701890388576816e-01
1.683893662324114526e+00 7.939278047275153405e-01
1.690176847631294166e+00 7.459977969599813630e-01
1.696460032938473805e+00 7.557624790544960058e-01
1.702743218245653001e+00 7.564715336966228998e-01
1.709026403552832640e+00 7.761208547803808422e-01
1.715309588860012280e+00 7.803062629380600468e-01
1.721592774167191697e+00 7.760264522136968157e-01
1.727875959474371337e+00 7.507547538483602123e-01
1.734159144781550976e+00 7.416073397109239629e-01
1.740442330088730172e+00 7.390228559462967972e-01
1.746725515395909811e+00 7.515918389984133086e-01
1.753008700703089451e+00 7.565862682788030424e-01
1.759291886010268868e+00 7.089311117374657023e-01
1.765575071317448508e+00 7.101062781147845504e-01
1.771858256624628147e+00 7.129408065914027981e-01
1.778141441931807343e+00 7.128863706084342944e-01
1.784424627238986982e+00 6.870512644061848029e-01
1.790707812546166622e+00 6.707565475698669122e-01
1.796990997853346261e+00 7.019913002467248475e-01
1.803274183160525679e+00 6.654154996156977919e-01
1.809557368467705096e+00 6.640506277204423213e-01
1.815840553774884514e+00 6.702788927290384002e-01
1.822123739082064153e+00 6.724014039763915873e-01
1.828406924389243793e+00 6.740485423107543950e-01
1.834690109696423432e+00 6.958786134839131110e-01
1.840973295003603072e+00 6.727370826530939540e-01
1.847256480310782267e+00 7.030794803646608360e-01
1.853539665617961907e+00 7.060033642080931759e-01
1.859822850925141324e+00 6.238176960423723605e-01
1.866106036232320964e+00 7.127936233367641039e-01
1.872389221539500603e+00 6.595063963608026603e-01
1.878672406846680243e+00 6.628841128410899453e-01
1.884955592153859438e+00 6.803676430277982856e-01
1.891238777461039078e+00 6.301962592479936065e-01
1.897521962768218495e+00 5.650008467458128569e-01
1.903805148075398135e+00 6.651268339254182704e-01
1.910088333382577774e+00 6.082906637379075221e-01
1.916371518689757414e+00 6.200455388154773040e-01
1.922654703996936609e+00 6.267734291154194448e-01
1.928937889304116249e+00 6.662920820714421932e-01
1.935221074611295888e+00 6.609616287533348622e-01
1.941504259918475306e+00 6.040639255677759945e-01
1.947787445225654945e+00 5.783251075958313336e-01
1.954070630532834585e+00 5.930317970205861711e-01
1.960353815840013780e+00 5.445944051636557592e-01
1.966637001147193420e+00 5.611383079032608023e-01
1.972920186454373059e+00 5.662187856114352380e-01
1.979203371761552477e+00 5.614252595610955687e-01
1.985486557068732116e+00 5.751360820918649530e-01
1.991769742375911756e+00 5.416310780587211271e-01
1.998052927683090951e+00 5.695538494545766550e-01
2.004336112990270813e+00 5.761299579768379697e-01
2.010619298297450008e+00 5.226311300984912700e-01
2.016902483604629648e+00 5.282144438271715314e-01
2.023185668911809287e+00 5.513536176536135702e-01
2.029468854218988483e+00 5.518331435738135227e-01
2.035752039526168122e+00 5.428608542394229852e-01
2.042035224833347762e+00 5.079988456972998057e-01
2.048318410140527401e+00 5.600087821100392382e-01
2.054601595447707041e+00 5.330972317929230098e-01
2.060884780754886680e+00 4.869883209431032367e-01
2.067167966062065876e+00 4.774961214440325286e-01
2.073451151369245515e+00 4.547930934041081730e-01
2.079734336676425155e+00 5.049391146042364609e-01
2.086017521983604794e+00 4.990088435154327873e-01
2.092300707290783990e+00 5.081121465109647017e-01
2.098583892597963629e+00 5.069466922914225293e-01
2.104867077905142825e+00 5.326121225365599843e-01
2.111150263212322464e+00 5.156859085917789853e-01
2.117433448519502104e+00 5.093629214425974272e-01
2.123716633826681743e+00 5.056058205513335180e-01
2.129999819133861383e+00 4.740773005515211413e-01
2.136283004441041022e+00 4.658046114415823058e-01
2.142566189748220218e+00 5.009333819558063894e-01
2.148849375055399857e+00 4.787799085267317456e-01
2.155132560362579497e+00 4.894290650511386453e-01
2.161415745669759136e+00 4.300289570558850083e-01
2.167698930976938776e+00 4.510159092505138245e-01
2.173982116284117971e+00 4.817485074004981271e-01
2.180265301591297611e+00 4.214701409207032290e-01
2.186548486898476806e+00 5.005977319324985686e-01
2.192831672205656446e+00 4.527654178229750803e-01
2.199114857512836085e+00 4.601770248689393550e-01
2.205398042820015725e+00 4.354285563794235148e-01
2.211681228127195364e+00 4.448002619864594998e-01
2.217964413434374560e+00 4.445260153345879095e-01
2.224247598741554199e+00 4.452619081233885612e-01
2.230530784048733839e+00 4.470795266669670420e-01
2.236813969355913478e+00 4.267964637991216725e-01
2.243097154663093118e+00 4.493579792686522856e-01
2.249380339970272313e+00 4.339518847823347625e-01
