# Long-range Heisenberg model
# L = 20, J = 1.0, Delta = 0.4
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 6.30000000000000004E-003 0.00277359
1 6.40000000000000031E-003 0.00281651
1 6.49999999999999970E-003 0.0028579
1 6.59999999999999996E-003 0.00289988
1 6.70000000000000023E-003 0.00294236
1 6.79999999999999962E-003 0.00298605
1 6.89999999999999988E-003 0.00303116
1 7.00000000000000015E-003 0.00307556
1 7.10000000000000041E-003 0.00311966
1 7.19999999999999980E-003 0.00316172
1 7.30000000000000007E-003 0.00320482
1 7.40000000000000033E-003 0.0032495
1 7.49999999999999972E-003 0.00329312
1 7.59999999999999998E-003 0.00333641
1 7.70000000000000025E-003 0.00338008
1 7.79999999999999964E-003 0.00342206
1 7.90000000000000077E-003 0.00346416
1 8.00000000000000017E-003 0.00350586
1 8.09999999999999956E-003 0.0035507
1 8.20000000000000069E-003 0.00359391
1 8.30000000000000009E-003 0.00363808
1 8.39999999999999948E-003 0.0036813
1 8.50000000000000061E-003 0.00372556
1 8.60000000000000001E-003 0.00376872
1 8.69999999999999940E-003 0.00381246
1 8.80000000000000053E-003 0.00385793
1 8.89999999999999993E-003 0.00390398
1 8.99999999999999932E-003 0.00394929
1 9.10000000000000045E-003 0.00399497
1 9.19999999999999984E-003 0.00403844
1 9.29999999999999924E-003 0.00408255
1 9.40000000000000037E-003 0.00412853
1 9.49999999999999976E-003 0.00417322
1 9.59999999999999916E-003 0.00421546
1 9.70000000000000029E-003 0.0042592
1 9.79999999999999968E-003 0.0043019
1 9.90000000000000081E-003 0.00434741
1 1.00000000000000002E-002 0.00439113
1 1.09999999999999994E-002 0.00482261
1 1.20000000000000002E-002 0.00526296
1 1.29999999999999994E-002 0.00569817
1 1.40000000000000003E-002 0.00613709
1 1.49999999999999994E-002 0.00657557
1 1.60000000000000003E-002 0.00701161
1 1.70000000000000012E-002 0.00744712
1 1.79999999999999986E-002 0.00788553
1 1.89999999999999995E-002 0.00832481
1 2.00000000000000004E-002 0.00878356
1 2.10000000000000013E-002 0.00922208
1 2.19999999999999987E-002 0.00966187
1 2.29999999999999996E-002 0.0101028
1 2.40000000000000005E-002 0.0105443
1 2.50000000000000014E-002 0.0109878
1 2.59999999999999988E-002 0.011428
1 2.69999999999999997E-002 0.0118708
1 2.80000000000000006E-002 0.0123168
1 2.90000000000000015E-002 0.0127543
1 2.99999999999999989E-002 0.0131979
1 3.09999999999999998E-002 0.0136385
1 3.20000000000000007E-002 0.0140787
1 3.30000000000000016E-002 0.0145349
1 3.40000000000000024E-002 0.0149713
1 3.50000000000000033E-002 0.0154118
1 3.59999999999999973E-002 0.015854
1 3.69999999999999982E-002 0.0162913
1 3.79999999999999991E-002 0.0167323
1 3.89999999999999999E-002 0.0171693
1 4.00000000000000008E-002 0.0176077
1 4.10000000000000017E-002 0.0180511
1 4.20000000000000026E-002 0.0185035
1 4.29999999999999966E-002 0.0189445
1 4.39999999999999974E-002 0.0193875
1 4.49999999999999983E-002 0.0198343
1 4.59999999999999992E-002 0.0202804
1 4.70000000000000001E-002 0.0207166
1 4.80000000000000010E-002 0.0211558
1 4.90000000000000019E-002 0.0216019
1 5.00000000000000028E-002 0.022041
1 5.09999999999999967E-002 0.0224852
1 5.19999999999999976E-002 0.022931
1 5.29999999999999985E-002 0.023373
1 5.39999999999999994E-002 0.023821
1 5.50000000000000003E-002 0.0242613
1 5.60000000000000012E-002 0.0247076
1 5.70000000000000021E-002 0.0251504
1 5.80000000000000029E-002 0.0256037
1 5.89999999999999969E-002 0.0260493
1 5.99999999999999978E-002 0.0264954
1 6.09999999999999987E-002 0.0269405
1 6.19999999999999996E-002 0.0273938
1 6.30000000000000004E-002 0.0278447
