# Generalized Haldane-Shastry model
# L = 20, J = 1.0, Delta = 0.6
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 5.19999999999999954E-004 0.000200349
1 5.29999999999999981E-004 0.000203859
1 5.40000000000000007E-004 0.000207534
1 5.50000000000000033E-004 0.000211725
1 5.59999999999999951E-004 0.000216063
1 5.69999999999999977E-004 0.000220486
1 5.80000000000000003E-004 0.0002242
1 5.90000000000000030E-004 0.000227579
1 5.99999999999999947E-004 0.000231845
1 6.09999999999999974E-004 0.000236123
1 6.20000000000000000E-004 0.000239877
1 6.30000000000000026E-004 0.000243783
1 6.40000000000000052E-004 0.000247797
1 6.49999999999999970E-004 0.000251569
1 6.59999999999999996E-004 0.000254935
1 6.70000000000000023E-004 0.000259281
1 6.80000000000000049E-004 0.000263538
1 6.89999999999999967E-004 0.000267836
1 6.99999999999999993E-004 0.000271822
1 7.10000000000000019E-004 0.000275516
1 7.20000000000000045E-004 0.00027971
1 7.29999999999999963E-004 0.000283687
1 7.39999999999999989E-004 0.000287657
1 7.50000000000000016E-004 0.000291164
1 7.60000000000000042E-004 0.000295387
1 7.69999999999999960E-004 0.000299158
1 7.79999999999999986E-004 0.000303667
1 7.90000000000000012E-004 0.000307743
1 8.00000000000000038E-004 0.000312232
1 8.09999999999999956E-004 0.000316179
1 8.19999999999999982E-004 0.000319881
1 8.30000000000000009E-004 0.000323889
1 8.40000000000000035E-004 0.000327389
1 8.49999999999999953E-004 0.000331404
1 8.59999999999999979E-004 0.000335884
1 8.70000000000000005E-004 0.000339541
1 8.80000000000000031E-004 0.00034358
1 8.89999999999999949E-004 0.000347184
1 8.99999999999999975E-004 0.000350453
1 9.10000000000000002E-004 0.000353955
1 9.20000000000000028E-004 0.000358509
1 9.30000000000000054E-004 0.000362571
1 9.39999999999999972E-004 0.000366508
1 9.49999999999999998E-004 0.000369955
1 9.60000000000000024E-004 0.000373393
1 9.70000000000000051E-004 0.000377161
1 9.79999999999999968E-004 0.000380975
1 9.89999999999999995E-004 0.000384518
1 1.00000000000000002E-003 0.00038821
1 1.10000000000000007E-003 0.000428426
1 1.19999999999999989E-003 0.000468632
1 1.29999999999999994E-003 0.000509443
1 1.39999999999999999E-003 0.000549346
1 1.50000000000000003E-003 0.000586933
1 1.60000000000000008E-003 0.000625763
1 1.69999999999999991E-003 0.000664794
1 1.79999999999999995E-003 0.000705142
1 1.90000000000000000E-003 0.00074471
1 2.00000000000000004E-003 0.000784382
1 2.09999999999999987E-003 0.000823011
1 2.20000000000000013E-003 0.00086338
1 2.29999999999999996E-003 0.000903371
1 2.39999999999999979E-003 0.000943356
1 2.50000000000000005E-003 0.000984623
1 2.59999999999999988E-003 0.00102463
1 2.70000000000000014E-003 0.00106452
1 2.79999999999999997E-003 0.00110452
1 2.89999999999999980E-003 0.00114362
1 3.00000000000000006E-003 0.00118418
1 3.09999999999999989E-003 0.00122393
1 3.20000000000000015E-003 0.00126479
1 3.29999999999999998E-003 0.00130405
1 3.39999999999999981E-003 0.00134346
1 3.50000000000000007E-003 0.00138201
1 3.59999999999999990E-003 0.00142102
1 3.70000000000000016E-003 0.00146123
1 3.79999999999999999E-003 0.00149876
1 3.89999999999999982E-003 0.00153778
1 4.00000000000000008E-003 0.00157648
1 4.10000000000000035E-003 0.00161601
1 4.19999999999999974E-003 0.0016557
1 4.30000000000000000E-003 0.00169354
1 4.40000000000000027E-003 0.00173288
1 4.49999999999999966E-003 0.00177307
1 4.59999999999999992E-003 0.00181204
1 4.70000000000000018E-003 0.00185174
1 4.79999999999999958E-003 0.00188952
1 4.89999999999999984E-003 0.00192973
1 5.00000000000000010E-003 0.00196992
1 5.10000000000000037E-003 0.00200908
1 5.19999999999999976E-003 0.00204811
1 5.30000000000000002E-003 0.00208705
1 5.40000000000000029E-003 0.00212857
1 5.49999999999999968E-003 0.00216898
1 5.59999999999999994E-003 0.00221092
1 5.70000000000000021E-003 0.0022554
1 5.79999999999999960E-003 0.00229436
1 5.89999999999999986E-003 0.00233206
1 6.00000000000000012E-003 0.00237095
1 6.10000000000000039E-003 0.00241099
1 6.19999999999999978E-003 0.00245039
1 6.30000000000000004E-003 0.00248843
1 6.40000000000000031E-003 0.00252748
1 6.49999999999999970E-003 0.00256771
1 6.59999999999999996E-003 0.00260586
1 6.70000000000000023E-003 0.00264515
1 6.79999999999999962E-003 0.0026837
1 6.89999999999999988E-003 0.00272098
1 7.00000000000000015E-003 0.00276317
1 7.10000000000000041E-003 0.00280224
1 7.19999999999999980E-003 0.00284172
1 7.30000000000000007E-003 0.00288046
1 7.40000000000000033E-003 0.00292035
1 7.49999999999999972E-003 0.0029606
1 7.59999999999999998E-003 0.00300065
1 7.70000000000000025E-003 0.00303982
1 7.79999999999999964E-003 0.00307771
1 7.90000000000000077E-003 0.00311628
1 8.00000000000000017E-003 0.00315448
1 8.09999999999999956E-003 0.0031944
1 8.20000000000000069E-003 0.00323278
1 8.30000000000000009E-003 0.0032712
