# Fitting to data1.dat with error function
# r_S CDF(fit)
3.608608710104010964e-01 5.606901001320796496e-02
3.609865550330445538e-01 5.695035101663403765e-02
3.612178752443716556e-01 5.860092807312200502e-02
3.615272756868877502e-01 6.086707931010121309e-02
3.618423333537529873e-01 6.324449847809621161e-02
3.625203750153908056e-01 6.860570298540519252e-02
3.627126402342013556e-01 7.018800229344041020e-02
3.628194738096759964e-01 7.107926905245753879e-02
3.629625830224783023e-01 7.228675489668279219e-02
3.630939284143157586e-01 7.340876036641735825e-02
3.630944163355138143e-01 7.341295307755979493e-02
3.634803993928676924e-01 7.678743154165018625e-02
3.635188062454329794e-01 7.712955387033282317e-02
3.637235586406667442e-01 7.897303130962768369e-02
3.641101520189505281e-01 8.254441166286885512e-02
3.641402264247450837e-01 8.282725743883900815e-02
3.644986864424155648e-01 8.625487178198626426e-02
3.646073444353487014e-01 8.731453589420523631e-02
3.646356701372305831e-01 8.759236673833514786e-02
3.647541738092385799e-01 8.876185765152078133e-02
3.647591908914784575e-01 8.881162564038830309e-02
3.648586303483568050e-01 8.980232749642041989e-02
3.650076222545550197e-01 9.130205423552056887e-02
3.650232432846208241e-01 9.146036197417878322e-02
3.650447704516166514e-01 9.167885734463793179e-02
3.650468361815241147e-01 9.169984430619271265e-02
3.651017198905124883e-01 9.225874439897130408e-02
3.651656061312882340e-01 9.291249132602158456e-02
3.652161199228266542e-01 9.343181790838100964e-02
3.653945550868360481e-01 9.528345369793689290e-02
3.654479020419264534e-01 9.584225103889287833e-02
3.655164343200285604e-01 9.656364372111242433e-02
3.657041785768661568e-01 9.856031757584832187e-02
3.657561520737421801e-01 9.911836416441083264e-02
3.658128579924506685e-01 9.972985559255015398e-02
3.658569268365640670e-01 1.002069742504317906e-01
3.659018723959429065e-01 1.006952988904334934e-01
3.659181651522204204e-01 1.008727444017235020e-01
3.659484707211694277e-01 1.012034106503297282e-01
3.659827706311988282e-01 1.015786115229541098e-01
3.661035720323155274e-01 1.029081024686938073e-01
3.663553873829474838e-01 1.057200294277730879e-01
3.665026435557453555e-01 1.073899053894826761e-01
3.665785946764937298e-01 1.082585811956092159e-01
3.668265384277749064e-01 1.111295639290520998e-01
3.668434501976094442e-01 1.113273558198854540e-01
3.668665798788343646e-01 1.115982772215717844e-01
3.668998755134584844e-01 1.119891017279432410e-01
3.669051985202540500e-01 1.120516738574079407e-01
3.669483932646137592e-01 1.125603540389324420e-01
3.671822119179695143e-01 1.153425404702459467e-01
3.672234710598178964e-01 1.158385092560625940e-01
3.672910517998396740e-01 1.166541536583463601e-01
3.673393652821310695e-01 1.172397488506348728e-01
3.676057999833494128e-01 1.205065419203882326e-01
3.679594166002495559e-01 1.249405284868161381e-01
3.679649076422918386e-01 1.250102675122221618e-01
3.679899362108905447e-01 1.253284874650422709e-01
3.680985750742785112e-01 1.267163037844771245e-01
3.681212923964631845e-01 1.270078558233245780e-01
3.681322946302199584e-01 1.271492251687176278e-01
3.681507486321272671e-01 1.273865891580068244e-01
3.682856932252029369e-01 1.291316765663934052e-01
3.683672774129360117e-01 1.301947169838817975e-01
3.684905319242229860e-01 1.318121787579408788e-01
3.685021049472887444e-01 1.319647597275490081e-01
3.685179607057436080e-01 1.321740028192369132e-01
3.685599781275701869e-01 1.327295983677512781e-01
3.685657757602021634e-01 1.328063864511173087e-01
3.685710609777299585e-01 1.328764143856288604e-01
3.685900546444493275e-01 1.331282860101835608e-01
3.686603822389669660e-01 1.340637473872915431e-01
3.686819218299877687e-01 1.343511571602575838e-01
3.687116452296121394e-01 1.347484604913090078e-01
3.687927636064478598e-01 1.358368437586120470e-01
3.688393634888689210e-01 1.364647999912044218e-01
3.689701561007505681e-01 1.382378899749999723e-01
3.691100549183385371e-01 1.401517417417436073e-01
3.691575966038025403e-01 1.408062027095390856e-01
3.691786895364513321e-01 1.410972319874892467e-01
3.693219538991677764e-01 1.430847095843875150e-01
