# Heisenberg model
# L=16, J=1, W=8.0
# CDF of level statistics r_S
# r_S CDF
3.743219559808114161e-01 2.187147688838782522e-01
3.744502832239779422e-01 2.198421645997745144e-01
3.745200129112375986e-01 2.209695603156708044e-01
3.745238247325721748e-01 2.220969560315670666e-01
3.745542914851157645e-01 2.232243517474633565e-01
3.745902751672964270e-01 2.243517474633596465e-01
3.745927141811616901e-01 2.254791431792559087e-01
3.746380164307024918e-01 2.266065388951521986e-01
3.746736783783666813e-01 2.277339346110484886e-01
3.748720019992164976e-01 2.288613303269447508e-01
3.749139292420208269e-01 2.299887260428410407e-01
3.749158348994064971e-01 2.311161217587373307e-01
3.749933085610067107e-01 2.322435174746335929e-01
3.750179561107863657e-01 2.333709131905298828e-01
3.750520712007180402e-01 2.344983089064261450e-01
3.750566828819652532e-01 2.356257046223224350e-01
3.750733282571944716e-01 2.367531003382187249e-01
3.751745531467431949e-01 2.378804960541149871e-01
3.751778011678208458e-01 2.390078917700112771e-01
3.752336438867562851e-01 2.401352874859075393e-01
3.753452857779517315e-01 2.412626832018038292e-01
3.753848304765126098e-01 2.423900789177001192e-01
3.753999603069109181e-01 2.435174746335963814e-01
3.754168268243035511e-01 2.446448703494926713e-01
3.755719222417260861e-01 2.457722660653889613e-01
3.755946258201784960e-01 2.468996617812852234e-01
3.756123413488519081e-01 2.480270574971815134e-01
3.756492796612472262e-01 2.491544532130778034e-01
3.757591399349056172e-01 2.502818489289740378e-01
3.759089569853998891e-01 2.514092446448703000e-01
3.759461992171961309e-01 2.525366403607666177e-01
3.759840203813036852e-01 2.536640360766628799e-01
3.761065620726070091e-01 2.547914317925591421e-01
3.761096993524518095e-01 2.559188275084554598e-01
3.762093749653063757e-01 2.570462232243517220e-01
3.762356932950198796e-01 2.581736189402479842e-01
3.763290311610180683e-01 2.593010146561443019e-01
3.763932122033268879e-01 2.604284103720405641e-01
3.764653075720223452e-01 2.615558060879368263e-01
3.765433237459594462e-01 2.626832018038330885e-01
3.766260499410307716e-01 2.638105975197294062e-01
3.766279900209857923e-01 2.649379932356256684e-01
3.767009962060152151e-01 2.660653889515219306e-01
3.767153730013789725e-01 2.671927846674182483e-01
3.768619358376750217e-01 2.683201803833145105e-01
3.769031822079862981e-01 2.694475760992107727e-01
3.769457899695201619e-01 2.705749718151070904e-01
3.769458335993026155e-01 2.717023675310033526e-01
3.769856142798705401e-01 2.728297632468996148e-01
3.770049231248673305e-01 2.739571589627959325e-01
3.770165001869633659e-01 2.750845546786921947e-01
3.770593834613763518e-01 2.762119503945884569e-01
3.770966952547482043e-01 2.773393461104847746e-01
3.772162836333448066e-01 2.784667418263810368e-01
3.772459208150722998e-01 2.795941375422772990e-01
3.772836056474921929e-01 2.807215332581736167e-01
3.772998075520543337e-01 2.818489289740698789e-01
3.773236312672720860e-01 2.829763246899661411e-01
3.774564324438205443e-01 2.841037204058624033e-01
3.774574336468923819e-01 2.852311161217587210e-01
3.774618407066695491e-01 2.863585118376549832e-01
3.774678779924920402e-01 2.874859075535512454e-01
3.775513379826433424e-01 2.886133032694475631e-01
3.775655193383080643e-01 2.897406989853438253e-01
3.775787069201865798e-01 2.908680947012400875e-01
3.776072868560633178e-01 2.919954904171364052e-01
3.776468384645048637e-01 2.931228861330326674e-01
3.776920197019310033e-01 2.942502818489289296e-01
3.777115972749995887e-01 2.953776775648252473e-01
3.777167707921169626e-01 2.965050732807215095e-01
3.777182928746486978e-01 2.976324689966177717e-01
3.777604086905228531e-01 2.987598647125140339e-01
3.777774828249487737e-01 2.998872604284103516e-01
3.778515716100385724e-01 3.010146561443066138e-01
3.779050046501228888e-01 3.021420518602028760e-01
3.780609202771769706e-01 3.032694475760991937e-01
3.780732784872995467e-01 3.043968432919954559e-01
3.780842886328923402e-01 3.055242390078917181e-01
3.781282201014286026e-01 3.066516347237880358e-01
3.781464824441354011e-01 3.077790304396842980e-01
3.785010851453373681e-01 3.089064261555805602e-01
3.785344876171325423e-01 3.100338218714768779e-01
3.785345725799426631e-01 3.111612175873731401e-01
3.785699509291122755e-01 3.122886133032694023e-01
3.785851705844948123e-01 3.134160090191657200e-01
3.785857437066789677e-01 3.145434047350619822e-01
3.785894644006242982e-01 3.156708004509582444e-01
3.786124928150618740e-01 3.167981961668545621e-01
3.786374840087504690e-01 3.179255918827508243e-01
3.786484580792675581e-01 3.190529875986470865e-01
3.786507158714303989e-01 3.201803833145433487e-01
3.786741051761392529e-01 3.213077790304396664e-01
3.786799931061021751e-01 3.224351747463359286e-01
3.786836121416422563e-01 3.235625704622321908e-01
3.786937679156256453e-01 3.246899661781285085e-01
3.787074776687500144e-01 3.258173618940247707e-01
3.787920917751186889e-01 3.269447576099210329e-01
3.788694001948258450e-01 3.280721533258173506e-01
3.788759704142308227e-01 3.291995490417136128e-01
3.788862585083997425e-01 3.303269447576098750e-01
3.790969220150051111e-01 3.314543404735061927e-01
3.791700136710957070e-01 3.325817361894024549e-01
3.792309649030382035e-01 3.337091319052987171e-01
3.792478556475575857e-01 3.348365276211949793e-01
3.794731007801546152e-01 3.359639233370912970e-01
3.795430908668855352e-01 3.370913190529875592e-01
3.795497586329705242e-01 3.382187147688838214e-01
3.795788838818135447e-01 3.393461104847801391e-01
3.797423493729056854e-01 3.404735062006764013e-01
3.797753140362452595e-01 3.416009019165726635e-01
