# Fitting to data1.dat with error function
#     r_S CDF(fit)
5.050068009361907695e-01 3.138717735463091296e-01
5.050172475908361047e-01 3.140288517963127912e-01
5.050465636636705113e-01 3.144698347742027611e-01
5.050867930166884623e-01 3.150754102920018118e-01
5.051381003474897380e-01 3.158484650423727391e-01
5.051787545713721794e-01 3.164615806378328067e-01
5.057600083837925364e-01 3.252821203138878681e-01
5.057938803017261176e-01 3.257992211615557965e-01
5.061039680713905753e-01 3.305486120065712630e-01
5.062328073666324535e-01 3.325300596395941444e-01
5.064915698138729994e-01 3.365237447456584929e-01
5.065757179276839661e-01 3.378264802167811887e-01
5.067334417073738884e-01 3.402735045895283195e-01
5.067715315774945495e-01 3.408654689788908065e-01
5.068709018239340169e-01 3.424116498041288592e-01
5.070057860565306829e-01 3.445146495989768742e-01
5.070526033238101915e-01 3.452457135529241605e-01
5.070978128398175855e-01 3.459522205578307030e-01
5.071208521667445179e-01 3.463124718311368921e-01
5.071301412275250886e-01 3.464577583180576403e-01
5.071406864508617440e-01 3.466227193220156044e-01
5.072128941747323649e-01 3.477530590152497769e-01
5.072759525534896730e-01 3.487412834322212163e-01
5.073930935983387291e-01 3.505797908856565503e-01
5.074353967748321814e-01 3.512445954141454885e-01
5.075276507441716101e-01 3.526959658596692804e-01
5.077652762721709401e-01 3.564442126858520243e-01
5.077764320992157465e-01 3.566205265896275622e-01
5.077838173010139622e-01 3.567372639536597334e-01
5.078730718705584124e-01 3.581491628654804305e-01
5.079018379920985371e-01 3.586046227460291669e-01
5.079627472054472070e-01 3.595696740450167184e-01
5.082112940085725672e-01 3.635169052900494857e-01
5.082243830026849096e-01 3.637251812092942016e-01
5.082258812417819183e-01 3.637490241999899454e-01
5.082679836934955730e-01 3.644192584357343612e-01
5.083566683292493060e-01 3.658323951084558323e-01
5.086864101126840065e-01 3.711024809667593516e-01
5.087795109902031321e-01 3.725948985045998141e-01
5.088282936934858114e-01 3.733776567434892169e-01
5.090507548554249473e-01 3.769538108763844098e-01
5.090592417325272567e-01 3.770904523710028045e-01
5.090824775006385083e-01 3.774646345461802333e-01
5.091720196252937924e-01 3.789076684393187788e-01
5.092462003313609209e-01 3.801044230056105921e-01
5.094514335611373124e-01 3.834213972239139956e-01
5.094950714762803701e-01 3.841277842794542097e-01
5.095015987325313134e-01 3.842334771500754975e-01
5.095729383132430179e-01 3.853892059308943185e-01
5.096708166002321683e-01 3.869765276761659711e-01
5.096787123214813198e-01 3.871046578002722560e-01
5.097435086738212329e-01 3.881566230979437426e-01
5.097456197725868110e-01 3.881909105267299376e-01
5.098912986581362050e-01 3.905590465971800485e-01
5.099200443879271516e-01 3.910268162915538359e-01
5.100088735119678862e-01 3.924732968668214750e-01
5.100711840005555109e-01 3.934888403149449654e-01
5.106601331729790916e-01 4.031224983570512732e-01
5.107011335326202550e-01 4.037954244814181415e-01
5.107492659819599101e-01 4.045857707421711691e-01
5.109399557009298709e-01 4.077207394546191188e-01
5.109423244566145828e-01 4.077597197955337149e-01
5.112745569314653959e-01 4.132358255612795794e-01
5.113788126090935693e-01 4.149577853745206601e-01
5.114969788294243536e-01 4.169114769928174424e-01
5.115023969106458068e-01 4.170011060079383824e-01
5.115046367238366143e-01 4.170381595462672175e-01
5.115618119711053957e-01 4.179842661592191866e-01
5.115694101021591722e-01 4.181100319901540630e-01
5.115757602941475302e-01 4.182151481008882787e-01
5.116046943097432020e-01 4.186941730012029295e-01
5.118096948881528663e-01 4.220915291702134198e-01
5.118657475283892033e-01 4.230214786150124362e-01
5.120434692244580921e-01 4.259728091684487072e-01
5.120525016226163961e-01 4.261229176937281204e-01
5.121551624639293365e-01 4.278297750834299529e-01
5.121834300263232720e-01 4.282999952448665049e-01
5.124065676148873427e-01 4.320153257592526108e-01
5.124144855459590309e-01 4.321472750454646850e-01
5.125164851289091272e-01 4.338477306695290858e-01
5.126040223547818631e-01 4.353080595074935166e-01
5.126042102784527099e-01 4.353111954773134507e-01
5.126757505446876140e-01 4.365053150193304310e-01
5.127500110255751586e-01 4.377454514335227254e-01
5.128531127055645511e-01 4.394682423670288052e-01
5.128893586073727251e-01 4.400741721691469044e-01
5.130529006884413379e-01 4.428098623366090170e-01
5.130779911547683758e-01 4.432298139539822546e-01
5.132187455867158743e-01 4.455868600888370223e-01
5.132485631400655057e-01 4.460864288416509504e-01
5.132931981444925906e-01 4.468344116140364752e-01
5.133297535497421960e-01 4.474471394187877760e-01
5.133719069915736455e-01 4.481538550240307672e-01
5.136392919486021391e-01 4.526403883238482861e-01
5.138211509442558445e-01 4.556953497222839822e-01
5.138393234704384804e-01 4.560007682502146276e-01
5.138766778727910101e-01 4.566286505111985528e-01
5.138862307864436874e-01 4.567892408719544939e-01
5.139349109620925393e-01 4.576076936601234380e-01
5.139565160969705726e-01 4.579709955012344347e-01
5.141667468948432074e-01 4.615079258683452701e-01
5.141762124170324855e-01 4.616672479177273414e-01
5.141833161349336212e-01 4.617868205237738999e-01
5.142194305634292251e-01 4.623947661436821899e-01
5.142473226298857059e-01 4.628643577905741657e-01
5.142645559744085659e-01 4.631545247932740139e-01
5.143302902188507941e-01 4.642615059739894079e-01
5.143501579677505209e-01 4.645961387011043886e-01
5.143823363531232484e-01 4.651381726456493837e-01
5.143958616076490520e-01 4.653660203206711476e-01
5.144361374243521245e-01 4.660445773734058772e-01
5.144484371467639150e-01 4.662518198400258940e-01
5.144521006940476759e-01 4.663135500431563885e-01
5.144617892420203509e-01 4.664768044744082021e-01
5.145411069609597821e-01 4.678135373169874933e-01
5.145972503158234845e-01 4.687599354479967673e-01
5.146553799034504495e-01 4.697400011135857145e-01
5.147515082642593054e-01 4.713611261319811674e-01
5.148022299624258613e-01 4.722166984769177733e-01
5.149714948373316226e-01 4.750727598704068133e-01
5.149928974070923093e-01 4.754339867055945024e-01
5.151180638393605404e-01 4.775469069680470247e-01
5.151720782051217862e-01 4.784589157987969577e-01
5.152701260122894977e-01 4.801146948683236992e-01
5.153219861260300849e-01 4.809906213839998390e-01
5.154810066136928937e-01 4.836770597164856134e-01
5.154970324980956420e-01 4.839478387261569869e-01
5.155553401949155568e-01 4.849330877321160194e-01
5.155649179410752847e-01 4.850949357836543130e-01
5.156221156692119001e-01 4.860615328822086578e-01
5.156967542789824277e-01 4.873229896067314271e-01
5.157175558629849554e-01 4.876745774166695302e-01
5.157259923514140310e-01 4.878171734616303934e-01
5.157419953061063156e-01 4.880876644414496868e-01
5.159461631427774142e-01 4.915390626755999914e-01
5.160491690300976764e-01 4.932806040701192551e-01
5.160873365961609061e-01 4.939259451291321268e-01
5.162015961816232013e-01 4.958579460507218095e-01
5.163645907152272230e-01 4.986141570646053789e-01
5.165157229813782669e-01 5.011698410242489965e-01
5.165230243350320549e-01 5.012933083452403293e-01
5.165423794131845936e-01 5.016206058785063204e-01
5.165654844991246497e-01 5.020113152091175701e-01
5.167888951551024013e-01 5.057890565357257007e-01
5.169156938415635505e-01 5.079329377108364740e-01
5.169377182846786045e-01 5.083052999896212620e-01
5.170959944566486666e-01 5.109810068688450668e-01
5.171187217390326163e-01 5.113651807471676358e-01
5.171540178965624568e-01 5.119617933749582850e-01
5.171734665420261168e-01 5.122905234006581709e-01
5.172332259668394050e-01 5.133005517030055920e-01
5.172384206709871313e-01 5.133883464391070239e-01
5.173129425300008188e-01 5.146477531186840482e-01
5.175073812894426251e-01 5.179330153778435308e-01
5.175596589587317942e-01 5.188161072065065049e-01
5.175891932787080041e-01 5.193149702557355862e-01
5.176110034911660662e-01 5.196833463331524960e-01
5.177123561326093526e-01 5.213949742698079648e-01
5.180110191857290047e-01 5.264363374790854699e-01
5.180741901017520412e-01 5.275021329617530785e-01
5.180767292452121975e-01 5.275449683521292732e-01
5.181127186731131484e-01 5.281520760796272196e-01
5.182948604233162948e-01 5.312236034069184321e-01
5.183232681389425833e-01 5.317024909726427717e-01
5.184155846224850483e-01 5.332584104052047191e-01
5.185055325362354361e-01 5.347739210179408564e-01
5.185576037614679779e-01 5.356510274486644407e-01
5.185703648790525033e-01 5.358659540351993211e-01
5.186755982979115442e-01 5.376379222314724426e-01
5.188028028497970734e-01 5.397788503571526730e-01
5.188490288921545623e-01 5.405565797901651370e-01
5.189573710432111575e-01 5.423787676471971686e-01
5.189759258682553611e-01 5.426907497826184423e-01
5.190519176781885902e-01 5.439682048807149561e-01
5.190931947451408179e-01 5.446619005923908352e-01
5.191300126269206006e-01 5.452805411421867143e-01
5.191623866683947597e-01 5.458244224101240771e-01
5.193735403386514626e-01 5.493696337881383007e-01
5.194004390093803769e-01 5.498209782852565564e-01
5.195365053896106033e-01 5.521030960284808442e-01
5.196517732211706209e-01 5.540350332889202312e-01
5.196754317101365261e-01 5.544314024110725825e-01
5.198957200677224444e-01 5.581194017489442549e-01
5.200025414967481829e-01 5.599059809845216007e-01
5.200130449466805471e-01 5.600815850454292644e-01
5.202634556486503969e-01 5.642645509298064299e-01
5.202653158331533856e-01 5.642955979472866757e-01
5.202944026353185647e-01 5.647810134298445472e-01
5.203330976642766004e-01 5.654266245188216411e-01
5.203500127282160159e-01 5.657087909081670585e-01
5.205141162424478107e-01 5.684445030348393990e-01
5.207203092037346881e-01 5.718772096653261805e-01
5.207363229575842078e-01 5.721435831189256582e-01
5.207790152390691096e-01 5.728535673457267885e-01
5.209532618552268346e-01 5.757488656237232938e-01
5.209648102786723634e-01 5.759406127526771613e-01
5.210348174304061386e-01 5.771026075856177107e-01
5.210671665077367676e-01 5.776393191486719481e-01
5.210834150539251919e-01 5.779088484927470404e-01
5.211061057077944758e-01 5.782851778330972969e-01
5.213423960617089570e-01 5.821997934776762529e-01
5.213451749722108897e-01 5.822457839877138719e-01
5.214678164890585998e-01 5.842743518453481499e-01
5.215178091479293343e-01 5.851006212523882644e-01
5.215398999616873699e-01 5.854656144647862881e-01
5.215493946763936073e-01 5.856224672657146524e-01
5.215557202921883295e-01 5.857269589377374075e-01
5.216296303315843819e-01 5.869474136441488188e-01
5.216644371817406034e-01 5.875218787519348451e-01
5.217180314693722343e-01 5.884060517666164225e-01
5.217263209470462959e-01 5.885427676597079216e-01
5.218454626288557829e-01 5.905065405116158850e-01
5.220279789220435562e-01 5.935104808269993093e-01
5.220831193840229645e-01 5.944169361809061858e-01
5.221255120679824113e-01 5.951134866721332628e-01
5.221922826576711474e-01 5.962099767104166448e-01
5.225002972948360469e-01 6.012582062741694822e-01
5.226115369117586562e-01 6.030772684957013130e-01
5.226275866599923159e-01 6.033395403429150372e-01
5.227794525872373477e-01 6.058188795330419207e-01
5.228116993086775466e-01 6.063447866791278340e-01
5.228538151874349005e-01 6.070313563395081102e-01
5.228994877158665844e-01 6.077755300113096837e-01
5.230906102565788807e-01 6.108853166911112353e-01
5.231232870327137130e-01 6.114163017251532661e-01
5.231440945725995828e-01 6.117543078501566089e-01
5.231519785886104001e-01 6.118823569135123375e-01
5.231819898081776499e-01 6.123696758708037091e-01
5.233192544722373718e-01 6.145962981568432459e-01
5.234012141699251330e-01 6.159240039842535097e-01
5.236233896602459081e-01 6.195162577012983673e-01
5.239674506594110825e-01 6.250588387510602750e-01
5.240614734647974782e-01 6.265690518748651128e-01
5.240766216165692049e-01 6.268121834857179886e-01
5.241312954239333299e-01 6.276892911287109689e-01
5.241617021690445632e-01 6.281768069123794263e-01
5.243387791666216380e-01 6.310118032453527759e-01
5.243583278052353913e-01 6.313243430536341627e-01
5.243959784266476465e-01 6.319260489642983813e-01
5.245258982689041671e-01 6.339998445285393025e-01
5.245588900816092748e-01 6.345258437493326298e-01
5.246284835997081508e-01 6.356345654596102790e-01
5.246498862763206983e-01 6.359753123676290532e-01
5.246574078993094803e-01 6.360950368235172014e-01
5.247317150143930853e-01 6.372770950887800545e-01
5.249365590593140229e-01 6.405289030117404803e-01
5.249516280828415704e-01 6.407677190374354570e-01
5.251609907233373287e-01 6.440800012428467003e-01
5.251877433378485671e-01 6.445024723486312279e-01
5.253228915723906489e-01 6.466339795562788817e-01
5.253379355816000240e-01 6.468709652595298065e-01
5.254216734280060530e-01 6.481890302287409700e-01
5.254254063508261297e-01 6.482477465210751966e-01
5.254333376757547303e-01 6.483724890338267155e-01
5.255248498315998607e-01 6.498106179520661829e-01
5.255804882848036375e-01 6.506839382299747232e-01
5.256158304202692699e-01 6.512382668385279239e-01
5.256463871795330478e-01 6.517172785030478366e-01
5.256915094105287789e-01 6.524241778567123617e-01
5.256922723316145296e-01 6.524361254763244578e-01
5.257445955200001908e-01 6.532551636278716156e-01
5.257777001144902096e-01 6.537729951760402614e-01
5.258837233038354819e-01 6.554295023616693028e-01
5.259159678084617262e-01 6.559327020328080682e-01
5.261076025569664250e-01 6.589175850975732551e-01
5.263454541415188981e-01 6.626085319086170156e-01
5.263807923228182029e-01 6.631555828042845491e-01
5.264927729472038687e-01 6.648868098603453181e-01
