time,C4-_Jperp0.2,C4+_Jperp0.2,C4-_Jperp0.6,C4+_Jperp0.6,C4-_Jperp2.0,C4+_Jperp2.0
3.509999999999998010e+01,2.923259554747816846e-01,1.379424365640598560e-01,2.262839531069293572e-03,3.019620342263956529e-03,3.392648502061417458e-04,8.706432225002426473e-03
3.609999999999998010e+01,2.841349017832768831e-01,1.316012805472095148e-01,1.942088166060889449e-03,2.894511628010250793e-03,1.780094541959385867e-04,8.412443640121844771e-03
3.709999999999998010e+01,2.762374637684577583e-01,1.255844038681382946e-01,1.664495051403879194e-03,2.686552312766870166e-03,1.470434014124559225e-04,7.839265387233902704e-03
3.809999999999998010e+01,2.686421264900069605e-01,1.198872084438103308e-01,1.367649861487856607e-03,2.547324029685111690e-03,1.617828172803387188e-04,7.678389772117602367e-03
3.909999999999998010e+01,2.613151532962731949e-01,1.144701307023048009e-01,1.150155338371236556e-03,2.521747032472721958e-03,3.933665585951512823e-04,7.591862678966857132e-03
4.009999999999998010e+01,2.542294283001049759e-01,1.093222361494030348e-01,9.774356192472561430e-04,2.456551585335252016e-03,3.535004562459425834e-04,7.269057383019195129e-03
4.109999999999998010e+01,2.473711053598793841e-01,1.044453150657722595e-01,8.702726039835304581e-04,2.321199740710623832e-03,1.375541549216968272e-04,6.931027007560274650e-03
4.209999999999998010e+01,2.407265513746309760e-01,9.986688029937769440e-02,7.193307694880733162e-04,2.223485693182566340e-03,1.095613064819696927e-05,6.467232607038106255e-03
4.309999999999998010e+01,2.343051571088079765e-01,9.552217064653474587e-02,6.992221845131228741e-04,2.126015275375100523e-03,2.834473467948198425e-04,6.500246281965426157e-03
4.409999999999998010e+01,2.280996720580587001e-01,9.138345814282386459e-02,6.434037751132874305e-04,2.159646008962952217e-03,4.922890403305085614e-05,6.236033837193701718e-03
4.509999999999998010e+01,2.221142129064239967e-01,8.745017884271512332e-02,5.578779658332278738e-04,2.162926366008165527e-03,1.591772555093806592e-05,5.919929931716160811e-03
4.609999999999998010e+01,2.163513782997867341e-01,8.368706417251310647e-02,4.965590216017156831e-04,2.168936926052631060e-03,-8.106583405447333798e-05,5.811558582488509338e-03
4.709999999999998010e+01,2.107502518538281744e-01,8.008443715015274578e-02,4.446619759874687440e-04,2.159343714619452789e-03,1.326653610972617291e-04,5.465908893828774241e-03
4.809999999999998010e+01,2.052972095326462965e-01,7.667509401463876162e-02,4.327366594524845070e-04,2.160474577307529374e-03,1.566092355760932169e-05,5.251189168948271896e-03
4.909999999999998010e+01,2.000216920439456258e-01,7.345511679855959430e-02,4.373833161238282964e-04,2.053993543687333920e-03,-7.420699959784637781e-05,5.331201238159445112e-03
5.009999999999998010e+01,1.949051859549063848e-01,7.040105407994948217e-02,4.471286628192656519e-04,1.950695357281252663e-03,2.507390493420608235e-06,4.849543250119051768e-03
5.109999999999998010e+01,1.899657036424975964e-01,6.749744068267327091e-02,4.242342302703965592e-04,1.971346676786633369e-03,2.775654990753018809e-04,4.880478201671162135e-03
5.209999999999998010e+01,1.851892727235422698e-01,6.468253850729603627e-02,3.980066872570239248e-04,2.008545782391359634e-03,7.269955169391815932e-05,4.826575927858390430e-03
5.309999999999998010e+01,1.805142696773281152e-01,6.196885236120373841e-02,2.973031763414383686e-04,1.906181500443151393e-03,1.463298292943986155e-04,4.627423470830311671e-03
