# Fitting to data3.dat with error function
# r_S CDF(fit)
4.137197738500000277e-01 3.613936967611663942e-02
4.137251561399999944e-01 3.615161912923281484e-02
4.137483286299999952e-01 3.620439579801448815e-02
4.138680817600000061e-01 3.647814662920284556e-02
4.144493127800000232e-01 3.783097607725294242e-02
4.144752627800000200e-01 3.789231759895694829e-02
4.145865594300000012e-01 3.815632567275950571e-02
4.146573287800000007e-01 3.832497733362943970e-02
4.149302328899999726e-01 3.898103915266271091e-02
4.150538091100000049e-01 3.928110985205746086e-02
4.150587758200000033e-01 3.929320931829738406e-02
4.150791888600000035e-01 3.934296963881328546e-02
4.151019167700000234e-01 3.939843316887547964e-02
4.152590689299999749e-01 3.978367863555781758e-02
4.155508855999999751e-01 4.050716370884344109e-02
4.155586506100000244e-01 4.052656000357324206e-02
4.157179499700000003e-01 4.092614205803063454e-02
4.159064447899999961e-01 4.140307895573153152e-02
4.159755167399999953e-01 4.157897121942427665e-02
4.160334266799999847e-01 4.172690544381130184e-02
4.161935871199999859e-01 4.213826521239899536e-02
4.163507868099999842e-01 4.254520590813815062e-02
4.163581914500000258e-01 4.256445229819955101e-02
4.163713644200000008e-01 4.259870932917081410e-02
4.164416297199999839e-01 4.278181487029869556e-02
4.164538290400000009e-01 4.281367000481745011e-02
4.164541453600000276e-01 4.281449624152289246e-02
4.164618668000000246e-01 4.283466885633618881e-02
4.164926445200000105e-01 4.291515340202639583e-02
4.166179057700000188e-01 4.324397645359329134e-02
4.167209417900000212e-01 4.351597867401468811e-02
4.167252521400000020e-01 4.352738748430706739e-02
4.167767999099999954e-01 4.366401338869385640e-02
4.168987932600000113e-01 4.398873208208703423e-02
4.169424312400000221e-01 4.410535832816975255e-02
4.170006095800000145e-01 4.426123253634983712e-02
4.170482353300000167e-01 4.438916398943892894e-02
4.171689133200000010e-01 4.471466144114533137e-02
4.171814302899999882e-01 4.474853244980020461e-02
4.171902231099999803e-01 4.477233823468523832e-02
4.172858054299999897e-01 4.503177743266689737e-02
4.173839627200000013e-01 4.529946378221932912e-02
4.174164926699999723e-01 4.538845861856394270e-02
4.174792614799999746e-01 4.556057779931982354e-02
4.175099724599999895e-01 4.564498177435089010e-02
4.176458453099999857e-01 4.601991493642193509e-02
4.177771321500000079e-01 4.638453962360061800e-02
4.178050529799999802e-01 4.646238279884734590e-02
4.179509501800000026e-01 4.687085075181818272e-02
4.180446411000000029e-01 4.713467215837219282e-02
4.180847710100000225e-01 4.724803629306639774e-02
4.181031036200000273e-01 4.729989727783562303e-02
4.183269736499999891e-01 4.793688858061095903e-02
4.183583971600000062e-01 4.802684687562630561e-02
4.183787033999999960e-01 4.808505080892166994e-02
4.184737250900000261e-01 4.835816269946202617e-02
4.185473269500000204e-01 4.857056116534935741e-02
4.186317418300000148e-01 4.881508117338789754e-02
4.186814244800000084e-01 4.895945347673852366e-02
4.188147402499999838e-01 4.934854069910549201e-02
4.188616963499999790e-01 4.948617033210550575e-02
4.189123299899999986e-01 4.963492206067993129e-02
4.189293666900000268e-01 4.968505269937789626e-02
4.189776854400000250e-01 4.982745083121065122e-02
4.190014922199999936e-01 4.989773039293954326e-02
4.191673824200000120e-01 5.038964917348409678e-02
4.192159755300000068e-01 5.053447313348835568e-02
4.192882439899999758e-01 5.075047073574479040e-02
4.193108577099999845e-01 5.081820994464752994e-02
4.193430116199999835e-01 5.091465064412659114e-02
4.193489942599999964e-01 5.093261071745019963e-02
4.195286180000000198e-01 5.147419951887055589e-02
