# XXZ spin chain 
# DTP for L=20, Delta->0.0, omega_p=0.037425
# Integrated and normalized regular part of the optical conductivity I_reg(omega/omega_p) 
# omega/omega_p I_reg(omega/omega_p))

0.364729 0.0108005
0.365531 0.0108005
0.366333 0.0108005
0.367134 0.0108005
0.367936 0.0108005
0.368737 0.0108005
0.369539 0.0114358
0.370341 0.0114358
0.371142 0.0114358
0.371944 0.0114358
0.372745 0.0120712
0.373547 0.0120712
0.374349 0.0120712
0.37515 0.0120712
0.375952 0.0120712
0.376754 0.0127065
0.377555 0.0127065
0.378357 0.0127065
0.379158 0.0127065
0.37996 0.0133418
0.380762 0.0133418
0.381563 0.0133418
0.382365 0.0133418
0.383166 0.0133418
0.383968 0.0133418
0.38477 0.0133418
0.385571 0.0139771
0.386373 0.0139771
0.387174 0.0139771
0.387976 0.0139771
0.388778 0.0139771
0.389579 0.0146125
0.390381 0.0146125
0.391182 0.0152478
0.391984 0.0152478
0.392786 0.0152478
0.393587 0.0152478
0.394389 0.0152478
0.39519 0.0152478
0.395992 0.0152478
0.396794 0.0152478
0.397595 0.0158831
0.398397 0.0158831
0.399198 0.0158831
0.4 0.0158831
0.400802 0.0158831
0.401603 0.0158831
0.402405 0.0158831
0.403206 0.0158831
0.404008 0.0158831
0.40481 0.0158831
0.405611 0.0158831
0.406413 0.0165184
0.407214 0.0165184
0.408016 0.0165184
0.408818 0.0165184
0.409619 0.0165184
0.410421 0.0171537
0.411222 0.0171537
0.412024 0.0171537
0.412826 0.0171537
0.413627 0.0171537
0.414429 0.0171537
0.41523 0.0171537
0.416032 0.0171537
0.416834 0.0171537
0.417635 0.0171537
0.418437 0.0177891
0.419238 0.0177891
0.42004 0.0177891
0.420842 0.0177891
0.421643 0.0177891
0.422445 0.0184244
0.423246 0.0184244
0.424048 0.0190597
0.42485 0.0190597
0.425651 0.0190597
0.426453 0.0190597
0.427255 0.0190597
0.428056 0.0190597
0.428858 0.0190597
0.429659 0.0190597
0.430461 0.0190597
0.431263 0.019695
0.432064 0.019695
0.432866 0.019695
0.433667 0.019695
0.434469 0.019695
0.435271 0.019695
0.436072 0.019695
0.436874 0.019695
0.437675 0.019695
0.438477 0.019695
0.439279 0.0203304
0.44008 0.0203304
0.440882 0.0203304
0.441683 0.0203304
0.442485 0.0203304
0.443287 0.0203304
0.444088 0.0209657
0.44489 0.0209657
0.445691 0.0209657
0.446493 0.0209657
0.447295 0.021601
0.448096 0.021601
0.448898 0.021601
0.449699 0.021601
0.450501 0.021601
0.451303 0.021601
0.452104 0.021601
0.452906 0.021601
0.453707 0.021601
0.454509 0.021601
0.455311 0.021601
0.456112 0.021601
0.456914 0.021601
0.457715 0.0222363
0.458517 0.0222363
0.459319 0.0222363
0.46012 0.0222363
0.460922 0.0222363
0.461723 0.0222363
0.462525 0.0228717
0.463327 0.0228717
0.464128 0.0228717
0.46493 0.0228717
0.465731 0.0247776
0.466533 0.0247776
0.467335 0.0247776
0.468136 0.0247776
0.468938 0.0247776
0.469739 0.0247776
0.470541 0.0247776
0.471343 0.025413
0.472144 0.025413
0.472946 0.0260483
0.473747 0.0260483
0.474549 0.0266836
0.475351 0.0273189
0.476152 0.0273189
0.476954 0.0279543
0.477756 0.0279543
0.478557 0.0279543
