time,C4-_L14_U0.08,C4+_L12_U0.08,C4+_L13_U0.08,C4+_L14_U0.08,C4-_L14_U0.32,C4+_L12_U0.32,C4+_L13_U0.32,C4+_L14_U0.32,C4-_L14_U1.28,C4+_L12_U1.28,C4+_L13_U1.28,C4+_L14_U1.28
6.200999999999999091e+02,5.669576121490106993e-03,7.838771919300983049e-01,6.797871482417551237e-01,7.079535630211094555e-01,2.029585688389029719e-06,1.169114344898083829e-01,4.583678894203089410e-02,4.449156924234944077e-02,-7.184616077641497417e-06,1.869503654049897018e-02,9.307626423036161056e-03,5.771248355275822306e-03
6.300999999999999091e+02,5.421246190727416724e-03,7.821946293963570884e-01,6.767656275427220702e-01,7.052145632396058517e-01,7.583870070957940467e-05,1.158772183386327786e-01,4.477540587617432483e-02,4.338409945027341119e-02,-2.280650505647133382e-05,1.852229781558113395e-02,8.454778159590810652e-03,5.755898747774879087e-03
6.400999999999999091e+02,5.126988751695739366e-03,7.806890208545779197e-01,6.737621661864735545e-01,7.024443955474189982e-01,1.586109824979128348e-04,1.144439187790248086e-01,4.366753703610713050e-02,4.219496075245234012e-02,2.138891928360578363e-05,1.850857885597896255e-02,9.043312158433597370e-03,5.487069779487169924e-03
6.500999999999999091e+02,4.931140810964989261e-03,7.789344770359706294e-01,6.707672236367708818e-01,6.996820380022797936e-01,7.308086014703852706e-05,1.129926154566304325e-01,4.265930516775023190e-02,4.118600384919886281e-02,-8.111782546551609362e-05,1.764678786082365947e-02,8.818595582634453089e-03,5.616182034710451472e-03
6.600999999999999091e+02,4.688935232258245600e-03,7.773568872093256088e-01,6.678122028041663105e-01,6.969445829341214260e-01,7.251603507549371963e-05,1.122124524025521347e-01,4.198936254011437913e-02,4.007615594061998687e-02,1.354778485510490919e-04,1.831731452867863333e-02,8.353159599207552258e-03,5.362750064563639486e-03
6.700999999999999091e+02,4.488720559413478077e-03,7.757812968628157169e-01,6.649388940109784985e-01,6.942686739863730416e-01,9.708550619650034824e-05,1.111482299800658352e-01,4.124705812022795570e-02,3.904509198343902865e-02,-5.696589882987509285e-05,1.799196489548555988e-02,8.496057154913996129e-03,4.986190344190438890e-03
6.800999999999999091e+02,4.298398320691365973e-03,7.744356467318498360e-01,6.620050075781699350e-01,6.916141186669334529e-01,1.066105040931882909e-04,1.098339552966570154e-01,4.062326240211142081e-02,3.802759145263782253e-02,1.450950232918211957e-04,1.819384389225910115e-02,7.859351042517909863e-03,5.113383421652103848e-03
6.900999999999999091e+02,4.167655848539366520e-03,7.728880491072321890e-01,6.591807408568650661e-01,6.889390915047512998e-01,9.048216042286054796e-05,1.085106787318549648e-01,3.988628060257740776e-02,3.718571413180388197e-02,-9.892062759680518113e-05,1.797914718140470117e-02,8.132446489476719345e-03,5.151163364134795503e-03
7.000999999999999091e+02,3.971506604112387366e-03,7.711365045088277581e-01,6.562594319192915915e-01,6.862811351850992558e-01,-1.404632705382143759e-04,1.080095740009661964e-01,3.924681481589801374e-02,3.624300645968933643e-02,-3.168547227180988803e-05,1.923508288454644360e-02,7.966544681370167635e-03,5.094769375038597260e-03
7.100999999999999091e+02,3.800269453196412472e-03,7.697628616559694104e-01,6.533436976464946921e-01,6.836257491474596604e-01,-2.450655143519089437e-05,1.067583124873098532e-01,3.842665930562715743e-02,3.559868983507659401e-02,7.347903361734730145e-05,1.781752381791636142e-02,8.039071463368461720e-03,4.870348434256659316e-03
7.200999999999999091e+02,3.626025557019463708e-03,7.681832723491892612e-01,6.505336374765957608e-01,6.810021421834435706e-01,-1.266868081231350531e-05,1.059001331278237173e-01,3.793916638639509981e-02,3.485048820442568362e-02,6.966887282830798607e-05,1.801870184595110586e-02,8.042719999761310454e-03,4.790876267470483597e-03
7.300999999999999091e+02,3.438075280563252390e-03,7.665566952592326455e-01,6.477516971932357759e-01,6.784228981540973979e-01,3.387158125522900861e-05,1.048799199032597884e-01,3.714813722011960084e-02,3.405729392618925266e-02,-6.127997788578532108e-05,1.707880290561555880e-02,7.813398241102687339e-03,4.786495994208364926e-03
7.400999999999999091e+02,3.304353414153759355e-03,7.651390638434006908e-01,6.450893674303566083e-01,6.758521391840720538e-01,-4.526976203691205686e-05,1.042667917594777421e-01,3.678570724222491456e-02,3.330065221773541306e-02,9.169767597871645638e-05,1.750338968454404065e-02,7.642077321621913721e-03,4.697600779099277840e-03
7.500999999999999091e+02,3.160377727333429834e-03,7.637574230700018285e-01,6.423326914752008898e-01,6.732797986445274718e-01,5.267674582127735848e-05,1.031445572124574106e-01,3.604963093130283264e-02,3.263578309410469780e-02,2.513310161464207717e-04,1.761584509792533254e-02,7.782816291399236031e-03,4.720387417897135666e-03
7.600999999999999091e+02,2.989091741121535813e-03,7.622598124487633964e-01,6.395991026203715624e-01,6.707460738406056944e-01,-5.541943394298541917e-05,1.027254696231512388e-01,3.533804682216455662e-02,3.193209721474240398e-02,-1.032921468839866492e-04,1.741937357427965349e-02,7.845596871612625645e-03,4.721450665670605742e-03
7.700999999999999091e+02,2.828669916842006631e-03,7.609141623177974045e-01,6.369222263723930411e-01,6.682310782254456960e-01,-1.174230726916210369e-04,1.024264071190878894e-01,3.509517040240210661e-02,3.133344836851999909e-02,5.112511483114032669e-05,1.667935086289251689e-02,7.569869534373104697e-03,4.506090191534250187e-03
7.800999999999999091e+02,2.600761640373424038e-03,7.595675124467639039e-01,6.342475135770790917e-01,6.657230633884676507e-01,-7.400081873299697670e-05,1.009641014972129242e-01,3.454614931623646579e-02,3.059749398878652132e-02,-6.009841895385056767e-05,1.682555291412732301e-02,7.372707124520445215e-03,4.298486776731862656e-03
7.900999999999999091e+02,2.433704338369049001e-03,7.581768740127566852e-01,6.317386795859839532e-01,6.632490653652292067e-01,-5.670041828588092385e-05,1.002769578841977982e-01,3.397181651562817400e-02,2.998742076404222953e-02,6.522272069906469684e-05,1.692699310447037808e-02,7.536458765872842795e-03,4.207454810173820621e-03
8.000999999999999091e+02,2.281865700410180917e-03,7.568112290804391851e-01,6.290515375358156636e-01,6.607521692621108889e-01,7.650896283767221492e-05,9.984936851802027336e-02,3.334552846047798141e-02,2.951269117090920754e-02,5.106209753343420992e-05,1.669377079123348512e-02,7.515636542919292007e-03,4.147643917251192004e-03
