time,C3-_L14_U0.08,C3+_L12_U0.08,C3+_L13_U0.08,C3+_L14_U0.08,C3-_L14_U0.32,C3+_L12_U0.32,C3+_L13_U0.32,C3+_L14_U0.32,C3-_L14_U1.28,C3+_L12_U1.28,C3+_L13_U1.28,C3+_L14_U1.28
6.500999999999999091e+02,3.631027337073437083e-03,9.270408632782648484e-01,8.926104351538857173e-01,9.072005696595725199e-01,1.140632522244430140e-04,3.547451379940667060e-01,2.402026612743977108e-01,2.729602928609469736e-01,8.299448548095387124e-05,3.923435262303082149e-02,2.131394040206544688e-02,1.494363914013732697e-02
6.600999999999999091e+02,3.487755949545297794e-03,9.264006865894987008e-01,8.913198922051847051e-01,9.061554358032671841e-01,1.696269778650433117e-04,3.507037048135606683e-01,2.360134640191703381e-01,2.685640037587734841e-01,5.309010177989628698e-05,3.919544919952955286e-02,2.074793976926585931e-02,1.438488200843868366e-02
6.700999999999999091e+02,3.360000529617162765e-03,9.255444502682741437e-01,8.900751069007671878e-01,9.050697990560678807e-01,1.149950623123513434e-04,3.473714702386303532e-01,2.320726588869046203e-01,2.642681529411722297e-01,-6.819039818220995128e-05,3.816045812031458595e-02,2.031807730006193052e-02,1.398653228308384573e-02
6.800999999999999091e+02,3.223547529693239141e-03,9.250123033957373675e-01,8.888465161434282447e-01,9.040217192646629041e-01,4.181299617891481553e-05,3.437096081427986061e-01,2.282567458719029774e-01,2.599825798380962505e-01,5.893026630927563660e-05,3.713456784197009114e-02,2.016299320243895507e-02,1.341583573807894267e-02
6.900999999999999091e+02,3.112569446474813210e-03,9.242740996515038665e-01,8.876131170680499061e-01,9.029726241262876485e-01,3.037255183713825107e-05,3.398220011387132478e-01,2.244721066937582499e-01,2.557963633579259932e-01,1.301851694548414361e-04,3.708196321276271967e-02,1.953256736591663448e-02,1.282597814480928612e-02
7.000999999999999091e+02,3.052678939364576217e-03,9.235669044656326099e-01,8.863809828388578005e-01,9.019218401246363870e-01,1.033813035629848400e-04,3.363499245852186736e-01,2.208430849038864330e-01,2.517536203178405985e-01,5.307350323421957278e-05,3.631319556120939096e-02,1.890889598675574504e-02,1.270500173634269390e-02
7.100999999999999091e+02,2.976358232647432697e-03,9.228146968563324393e-01,8.851393508396878662e-01,9.008332922650594821e-01,4.388137474213068677e-05,3.330166911390128881e-01,2.173160350884435765e-01,2.477376142619491795e-01,-8.619000264433024339e-05,3.638450183616157713e-02,1.853845753702097407e-02,1.203541747621273209e-02
7.200999999999999091e+02,2.834939830705322534e-03,9.221265069159089167e-01,8.839360346096685195e-01,8.998090082409320178e-01,1.686588628328007829e-05,3.296884520491843995e-01,2.138179191004762336e-01,2.438259112388273253e-01,-4.738525575375283276e-05,3.594736336797638154e-02,1.781932397596329085e-02,1.181816205110567189e-02
7.300999999999999091e+02,2.704222806662233587e-03,9.214033073128183871e-01,8.827652861022431408e-01,8.987686587169829711e-01,1.697793745392168357e-04,3.262663190594627949e-01,2.103435467209548992e-01,2.399084029720282563e-01,5.484616930852838866e-05,3.501888166158621807e-02,1.770064670223313666e-02,1.147783184796641494e-02
7.400999999999999091e+02,2.582522816312875225e-03,9.206390963906038172e-01,8.815313360656593655e-01,8.977653765490106741e-01,2.901540983252620158e-05,3.230179896716709464e-01,2.068604872960154994e-01,2.360987230032192963e-01,-5.568217825694616392e-05,3.497857811487410651e-02,1.722603269496819287e-02,1.109286628081220319e-02
7.500999999999999091e+02,2.434968172806580705e-03,9.200319288123522954e-01,8.803383944280540607e-01,8.967225201909090337e-01,-5.247466506935787511e-05,3.196807607403633344e-01,2.035863793195270000e-01,2.323929723240062417e-01,3.235793100059545005e-04,3.483176519533718457e-02,1.684370689000681820e-02,1.073611121550503700e-02
7.600999999999999091e+02,2.250171775208124718e-03,9.192367093317755922e-01,8.791679121873958724e-01,8.957158505312963204e-01,-8.495678782490011585e-05,3.162885938889055115e-01,2.003828129324285445e-01,2.287295242481935664e-01,-3.255374668082639293e-05,3.344274296138059765e-02,1.669166032308623537e-02,1.036591044598709002e-02
7.700999999999999091e+02,2.099122604890002377e-03,9.185055075200755370e-01,8.778922874355651329e-01,8.946466486616494462e-01,-5.816318547257558994e-05,3.131201742031504143e-01,1.972762557526892002e-01,2.251840156024920714e-01,8.046939163385723919e-05,3.382817687956540115e-02,1.619701095705101263e-02,1.014447342233594507e-02
7.800999999999999091e+02,1.996272290692106561e-03,9.179333496044909113e-01,8.766797815753845091e-01,8.936513410958609738e-01,3.549405365828381257e-05,3.104831540359393460e-01,1.941303337902033077e-01,2.216314659148589661e-01,-1.168413965255576974e-04,3.388468185200297494e-02,1.580781873671717810e-02,9.769880304810478824e-03
7.900999999999999091e+02,1.866255972437027861e-03,9.172341566272291802e-01,8.754704463665217151e-01,8.926386003458355312e-01,-1.161962083598341370e-05,3.072488088460039735e-01,1.911908024099037151e-01,2.181447451406916538e-01,-7.591974728911976111e-05,3.246875725063805285e-02,1.601758906010045461e-02,9.393727479949872533e-03
8.000999999999999091e+02,1.763121706144344476e-03,9.165319628217387660e-01,8.743520590460791553e-01,8.915861102846041053e-01,-3.268152071533708805e-05,3.043800505428865266e-01,1.882263850335409161e-01,2.147651542948084691e-01,3.561642274891597802e-05,3.251566137820128405e-02,1.524398644628985333e-02,9.361268623297676339e-03
8.100999999999999091e+02,1.661730961973164689e-03,9.158687797832202326e-01,8.731408607017961954e-01,8.905954531806012930e-01,-6.707329710747960967e-05,3.013974209143667760e-01,1.854987110494088209e-01,2.115004604103628283e-01,-2.133328923352966470e-05,3.144636728032067230e-02,1.507172090204359459e-02,9.153601878013194193e-03
8.200999999999999091e+02,1.567887352173639656e-03,9.152786168982639525e-01,8.719440150082019558e-01,8.895632723513071660e-01,1.015756632658942904e-04,2.981301129723412102e-01,1.825078384580672564e-01,2.081538601797849886e-01,5.963757174213405642e-05,3.220013361175783073e-02,1.506213844131808199e-02,8.640548422053206251e-03
8.300999999999999091e+02,1.494909981717632962e-03,9.145944280621451927e-01,8.707027440766473836e-01,8.885169622124289290e-01,2.086202156430508521e-04,2.954491424690099954e-01,1.796991167646567189e-01,2.049350841828067038e-01,5.906228564448653690e-05,3.157997903815535495e-02,1.460290928455206839e-02,8.320844517772386581e-03
8.400999999999999091e+02,1.427728104855736794e-03,9.138772301155119182e-01,8.695231262373513959e-01,8.875263606154960572e-01,-1.129531124767113291e-05,2.927481945401695373e-01,1.768752467796175232e-01,2.017241191517142040e-01,1.912587026140323077e-04,3.147666994695533238e-02,1.405563188409497850e-02,8.159289717200061617e-03
8.500999999999999091e+02,1.393689952439083153e-03,9.131460283038118630e-01,8.684065848961726175e-01,8.865102031954096296e-01,-4.317550970259381589e-06,2.901201642144376480e-01,1.742202745839930011e-01,1.987048401274855991e-01,1.767204494623291939e-05,3.054008752770243779e-02,1.409693151969476296e-02,8.039208819222105895e-03
8.600999999999999091e+02,1.372615353602446792e-03,9.125918753575987807e-01,8.671853021637934145e-01,8.854860759594066488e-01,2.614033856919621506e-05,2.874132230579444780e-01,1.717776923488103791e-01,1.957735555308647291e-01,-3.757792025415495262e-05,3.057139028234484579e-02,1.373310964985868105e-02,7.924846186655126398e-03
