# XXZ spin chain 
# ED for L=20, Delta=0.600
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

2.8000000000000001E-002 1.0172277031776117E-002 0.810172
2.8500000000000001E-002 1.0105466519751955E-002 0.810105
2.9000000000000001E-002 1.4505707843228235E-002 0.814506
2.9500000000000002E-002 1.4110609801946906E-002 0.814111
2.9999999999999999E-002 1.9493434393594494E-002 0.819493
3.0499999999999999E-002 1.4568677193168284E-002 0.814569
3.1000000000000000E-002 2.2652722034386015E-002 0.822653
3.1500000000000000E-002 3.5648074948075925E-002 0.835648
3.2000000000000001E-002 3.0736920052646617E-002 0.830737
3.2500000000000001E-002 3.5594810437666616E-002 0.835595
3.3000000000000002E-002 4.3098478932698102E-002 0.843098
3.3500000000000002E-002 4.0726685366173215E-002 0.840727
3.4000000000000002E-002 4.0980855435048445E-002 0.840981
3.4500000000000003E-002 4.2973802876316199E-002 0.842974
3.5000000000000003E-002 4.8252747298464668E-002 0.848253
3.5500000000000004E-002 5.5817225716943926E-002 0.855817
3.6000000000000004E-002 5.3618962267835378E-002 0.853619
3.6499999999999998E-002 4.4893391543673965E-002 0.844893
3.6999999999999998E-002 5.8450544270985873E-002 0.858451
3.7499999999999999E-002 5.6012494069834183E-002 0.856012
3.7999999999999999E-002 7.0703517384830397E-002 0.870704
3.8500000000000000E-002 7.1231926439526125E-002 0.871232
3.9000000000000000E-002 7.5622404207175309E-002 0.875622
3.9500000000000000E-002 6.8762197310939119E-002 0.868762
4.0000000000000001E-002 8.4901224591860142E-002 0.884901
4.0500000000000001E-002 8.5072717310504892E-002 0.885073
4.1000000000000002E-002 0.12001632039314881 0.920016
4.1500000000000002E-002 0.10611646154226330 0.906116
4.2000000000000003E-002 0.13256856624856317 0.932569
4.2500000000000003E-002 0.11480248815448139 0.914802
4.3000000000000003E-002 0.13261061085109296 0.932611
4.3500000000000004E-002 0.14149776402666689 0.941498
4.3999999999999997E-002 0.13495447661112298 0.934954
4.4499999999999998E-002 0.11690011946144729 0.9169
4.4999999999999998E-002 0.11059897131034131 0.910599
4.5499999999999999E-002 0.12197092655458561 0.921971
4.5999999999999999E-002 0.12929957982692891 0.9293
4.6500000000000000E-002 0.12940630006040363 0.929406
4.7000000000000000E-002 0.12065502220112508 0.920655
4.7500000000000001E-002 0.14126507475112210 0.941265
4.8000000000000001E-002 0.11769623012803107 0.917696
4.8500000000000001E-002 0.13586241883228764 0.935862
4.9000000000000002E-002 0.10542629541109429 0.905426
4.9500000000000002E-002 0.14672156724273369 0.946722
5.0000000000000003E-002 0.13118828692472784 0.931188
5.0500000000000003E-002 0.13129691452451209 0.931297
5.1000000000000004E-002 0.12966857547805491 0.929669
5.1500000000000004E-002 0.13238650991701872 0.932387
5.2000000000000005E-002 0.16277452571833942 0.962775
5.2499999999999998E-002 0.14099425171672014 0.940994
5.2999999999999999E-002 0.11733777908497525 0.917338
5.3499999999999999E-002 0.12831794871005095 0.928318
5.3999999999999999E-002 0.15072103484681099 0.950721
5.4500000000000000E-002 0.11079218088806417 0.910792
5.5000000000000000E-002 0.10300119721725412 0.903001
5.5500000000000001E-002 0.11573753205050018 0.915738
5.6000000000000001E-002 0.10305823033617788 0.903058
5.6500000000000002E-002 9.8226704953844945E-002 0.898227
5.7000000000000002E-002 9.5640445380814509E-002 0.89564
5.7500000000000002E-002 0.10145089687954341 0.901451
5.8000000000000003E-002 8.6379613547138495E-002 0.88638
5.8500000000000003E-002 0.10904475834137738 0.909045
5.9000000000000004E-002 8.8360848347075860E-002 0.888361
5.9500000000000004E-002 0.11275409514671721 0.912754
5.9999999999999998E-002 7.2118595714354500E-002 0.872119
6.0499999999999998E-002 9.4088240856781108E-002 0.894088
6.0999999999999999E-002 7.7614826232316261E-002 0.877615
6.1499999999999999E-002 8.6761501841794750E-002 0.886762
6.2000000000000000E-002 7.2264491035633649E-002 0.872264
6.2500000000000000E-002 9.2860263662810597E-002 0.89286
6.3000000000000000E-002 9.8161489905319296E-002 0.898161
6.3500000000000001E-002 8.4325927186911537E-002 0.884326
6.4000000000000001E-002 6.7706404051823418E-002 0.867706
6.4500000000000002E-002 8.0299043056656583E-002 0.880299
6.5000000000000002E-002 7.4265970099056666E-002 0.874266
6.5500000000000003E-002 6.3346324677336585E-002 0.863346
6.6000000000000003E-002 7.2040069331630055E-002 0.87204
6.6500000000000004E-002 7.1711697976931291E-002 0.871712
6.7000000000000004E-002 6.4457101371366676E-002 0.864457
6.7500000000000004E-002 5.2061829667552066E-002 0.852062
6.8000000000000005E-002 7.8065356918748358E-002 0.878065
6.8500000000000005E-002 7.8543789099659492E-002 0.878544
6.9000000000000006E-002 6.5524861032755594E-002 0.865525
6.9500000000000006E-002 7.6514338253010572E-002 0.876514
7.0000000000000007E-002 6.0616228126626530E-002 0.860616
7.0500000000000007E-002 5.8104261579599914E-002 0.858104
7.1000000000000008E-002 5.3578917021621132E-002 0.853579
7.1500000000000008E-002 5.7364158197378605E-002 0.857364
7.2000000000000008E-002 6.3598209284878054E-002 0.863598
7.2499999999999995E-002 5.7124945468986034E-002 0.857125
7.2999999999999995E-002 6.8934784198401960E-002 0.868935
7.3499999999999996E-002 6.2930539568410659E-002 0.862931
7.3999999999999996E-002 5.9525302259312844E-002 0.859525
