# J1-J2 AHM model
# L = 18, J = 1.0, Delta = 1.0
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 9.5000000000000005E-005 0.000203919
1 9.6000000000000002E-005 0.000205313
1 9.7000000000000000E-005 0.000205895
1 9.7999999999999997E-005 0.000207469
1 9.8999999999999994E-005 0.000210781
1 1.0000000000000000E-004 0.000216926
1 1.1000000000000000E-004 0.000244603
1 1.2000000000000000E-004 0.000251244
1 1.2999999999999999E-004 0.000265962
1 1.3999999999999999E-004 0.00029717
1 1.4999999999999999E-004 0.000327902
1 1.6000000000000001E-004 0.000351834
1 1.7000000000000001E-004 0.000364971
1 1.8000000000000001E-004 0.0003852
1 1.9000000000000001E-004 0.000406366
1 2.0000000000000001E-004 0.000426552
1 2.1000000000000001E-004 0.000447121
1 2.2000000000000001E-004 0.000463571
1 2.3000000000000001E-004 0.000487361
1 2.4000000000000001E-004 0.000501231
1 2.5000000000000001E-004 0.00052321
1 2.5999999999999998E-004 0.00055212
1 2.7000000000000000E-004 0.000573274
1 2.7999999999999998E-004 0.00060332
1 2.9000000000000000E-004 0.000637944
1 2.9999999999999997E-004 0.000661074
1 3.1000000000000000E-004 0.000668015
1 3.2000000000000003E-004 0.00070503
1 3.3000000000000000E-004 0.00072345
1 3.4000000000000002E-004 0.000739049
1 3.5000000000000000E-004 0.000767881
1 3.6000000000000002E-004 0.000791976
1 3.6999999999999999E-004 0.000839095
1 3.8000000000000002E-004 0.000861163
1 3.8999999999999999E-004 0.000873691
1 4.0000000000000002E-004 0.000905179
1 4.0999999999999999E-004 0.000924078
1 4.2000000000000002E-004 0.000970714
1 4.2999999999999999E-004 0.000991583
1 4.4000000000000002E-004 0.00100826
1 4.4999999999999999E-004 0.00108007
1 4.6000000000000001E-004 0.00111517
1 4.6999999999999999E-004 0.0011311
1 4.8000000000000001E-004 0.00114493
1 4.8999999999999998E-004 0.00116984
1 5.0000000000000001E-004 0.00118486
1 5.1000000000000004E-004 0.0012044
1 5.1999999999999995E-004 0.00122505
1 5.2999999999999998E-004 0.00124958
1 5.4000000000000001E-004 0.00126679
1 5.5000000000000003E-004 0.0013035
1 5.5999999999999995E-004 0.00131701
1 5.6999999999999998E-004 0.00132911
1 5.8000000000000000E-004 0.00139384
1 5.9000000000000003E-004 0.00141824
1 5.9999999999999995E-004 0.00145619
1 6.0999999999999997E-004 0.00146787
1 6.2000000000000000E-004 0.00148598
1 6.3000000000000003E-004 0.00150969
1 6.4000000000000005E-004 0.00153221
1 6.4999999999999997E-004 0.0015461
1 6.6000000000000000E-004 0.00156226
1 6.7000000000000002E-004 0.00157464
1 6.8000000000000005E-004 0.00160985
1 6.8999999999999997E-004 0.00162377
1 6.9999999999999999E-004 0.00164678
1 7.1000000000000002E-004 0.00167782
1 7.2000000000000005E-004 0.00170855
1 7.2999999999999996E-004 0.00172464
1 7.3999999999999999E-004 0.00174601
1 7.5000000000000002E-004 0.00178125
1 7.6000000000000004E-004 0.0018067
1 7.6999999999999996E-004 0.00183267
1 7.7999999999999999E-004 0.00189548
1 7.9000000000000001E-004 0.00191637
1 8.0000000000000004E-004 0.00193208
1 8.0999999999999996E-004 0.00196618
1 8.1999999999999998E-004 0.00204421
1 8.3000000000000001E-004 0.00207416
1 8.4000000000000003E-004 0.00209695
1 8.4999999999999995E-004 0.00211715
1 8.5999999999999998E-004 0.00214616
1 8.7000000000000001E-004 0.00217414
1 8.8000000000000003E-004 0.00220537
1 8.8999999999999995E-004 0.0022335
1 8.9999999999999998E-004 0.00229222
1 9.1000000000000000E-004 0.00232338
1 9.2000000000000003E-004 0.00233934
1 9.3000000000000005E-004 0.00235864
1 9.3999999999999997E-004 0.00238641
1 9.5000000000000000E-004 0.00240867
1 9.6000000000000002E-004 0.00242846
1 9.7000000000000005E-004 0.00244334
1 9.7999999999999997E-004 0.00245887
1 9.8999999999999999E-004 0.00248196
1 1.0000000000000000E-003 0.0025307
1 1.1000000000000001E-003 0.00275054
1 1.1999999999999999E-003 0.0029639
1 1.2999999999999999E-003 0.00319728
1 1.4000000000000000E-003 0.00349097
1 1.5000000000000000E-003 0.00376844
1 1.6000000000000001E-003 0.00402024
1 1.6999999999999999E-003 0.00427876
