time,alpha=0.0,alpha=0.5,alpha=1.0
3.399999999999999911e+00,9.770100000000000451e-01,9.669370000000000465e-01,9.030620000000000314e-01
3.500000000000000000e+00,9.765089999999999604e-01,9.662450000000000205e-01,9.011489999999999778e-01
3.600000000000000089e+00,9.760189999999999699e-01,9.655780000000000474e-01,8.993240000000000123e-01
3.700000000000000178e+00,9.755380000000000162e-01,9.649349999999999872e-01,8.975809999999999622e-01
3.799999999999999822e+00,9.750670000000000170e-01,9.643140000000000045e-01,8.959169999999999634e-01
3.899999999999999911e+00,9.746029999999999971e-01,9.637139999999999596e-01,8.943280000000000118e-01
4.000000000000000000e+00,9.741480000000000139e-01,9.631340000000000456e-01,8.928089999999999637e-01
4.099999999999999645e+00,9.737000000000000099e-01,9.625740000000000407e-01,8.913600000000000412e-01
4.200000000000000178e+00,9.732579999999999565e-01,9.620319999999999983e-01,8.899759999999999893e-01
4.299999999999999822e+00,9.728229999999999933e-01,9.615089999999999471e-01,8.886560000000000015e-01
4.400000000000000355e+00,9.723939999999999806e-01,9.610030000000000516e-01,8.873969999999999914e-01
4.500000000000000000e+00,9.719710000000000294e-01,9.605139999999999789e-01,8.861999999999999877e-01
4.599999999999999645e+00,9.715529999999999999e-01,9.600410000000000332e-01,8.850620000000000154e-01
4.700000000000000178e+00,9.711400000000000032e-01,9.595850000000000213e-01,8.839829999999999632e-01
4.799999999999999822e+00,9.707329999999999570e-01,9.591450000000000253e-01,8.829630000000000534e-01
4.900000000000000355e+00,9.703310000000000546e-01,9.587200000000000166e-01,8.820010000000000350e-01
5.000000000000000000e+00,9.699330000000000451e-01,9.583099999999999952e-01,8.810980000000000478e-01
5.099999999999999645e+00,9.695399999999999574e-01,9.579159999999999897e-01,8.802529999999999522e-01
5.200000000000000178e+00,9.691520000000000135e-01,9.575369999999999715e-01,8.794680000000000275e-01
5.299999999999999822e+00,9.687689999999999912e-01,9.571739999999999693e-01,8.787420000000000231e-01
5.400000000000000355e+00,9.683910000000000018e-01,9.568259999999999543e-01,8.780769999999999964e-01
5.500000000000000000e+00,9.680180000000000451e-01,9.564930000000000376e-01,8.774710000000000010e-01
5.599999999999999645e+00,9.676500000000000101e-01,9.561760000000000259e-01,8.769270000000000120e-01
5.700000000000000178e+00,9.672880000000000367e-01,9.558740000000000014e-01,8.764420000000000543e-01
5.799999999999999822e+00,9.669309999999999850e-01,9.555890000000000217e-01,8.760179999999999634e-01
5.900000000000000355e+00,9.665799999999999947e-01,9.553190000000000293e-01,8.756540000000000434e-01
6.000000000000000000e+00,9.662349999999999550e-01,9.550659999999999705e-01,8.753480000000000150e-01
6.099999999999999645e+00,9.658970000000000056e-01,9.548280000000000101e-01,8.750989999999999602e-01
6.200000000000000178e+00,9.655660000000000354e-01,9.546059999999999546e-01,8.749059999999999615e-01
6.299999999999999822e+00,9.652420000000000444e-01,9.544000000000000261e-01,8.747669999999999613e-01
6.400000000000000355e+00,9.649250000000000327e-01,9.542079999999999451e-01,8.746779999999999555e-01
6.500000000000000000e+00,9.646160000000000290e-01,9.540309999999999624e-01,8.746369999999999978e-01
6.599999999999999645e+00,9.643129999999999757e-01,9.538670000000000204e-01,8.746390000000000553e-01
6.700000000000000178e+00,9.640170000000000128e-01,9.537160000000000082e-01,8.746819999999999595e-01
6.799999999999999822e+00,9.637270000000000003e-01,9.535749999999999504e-01,8.747599999999999820e-01
6.900000000000000355e+00,9.634430000000000494e-01,9.534449999999999870e-01,8.748700000000000365e-01
