time,alpha=0.0,alpha=0.5,alpha=1.0
2.600000000000000089e+00,9.311970000000000525e-01,9.760259999999999492e-01,9.795260000000000078e-01
2.700000000000000178e+00,9.290110000000000312e-01,9.752089999999999925e-01,9.787280000000000424e-01
2.799999999999999822e+00,9.269140000000000157e-01,9.744190000000000351e-01,9.779569999999999652e-01
2.899999999999999911e+00,9.249030000000000307e-01,9.736529999999999907e-01,9.772129999999999983e-01
3.000000000000000000e+00,9.229709999999999859e-01,9.729109999999999703e-01,9.764950000000000019e-01
3.100000000000000089e+00,9.211129999999999596e-01,9.721899999999999986e-01,9.758010000000000295e-01
3.200000000000000178e+00,9.193240000000000300e-01,9.714899999999999647e-01,9.751300000000000523e-01
3.299999999999999822e+00,9.176010000000000000e-01,9.708109999999999795e-01,9.744810000000000416e-01
3.399999999999999911e+00,9.159410000000000052e-01,9.701499999999999568e-01,9.738529999999999687e-01
3.500000000000000000e+00,9.143379999999999841e-01,9.695080000000000364e-01,9.732439999999999980e-01
3.600000000000000089e+00,9.127920000000000478e-01,9.688849999999999962e-01,9.726529999999999898e-01
3.700000000000000178e+00,9.112989999999999702e-01,9.682790000000000008e-01,9.720790000000000264e-01
3.799999999999999822e+00,9.098559999999999981e-01,9.676909999999999679e-01,9.715209999999999679e-01
3.899999999999999911e+00,9.084609999999999630e-01,9.671189999999999509e-01,9.709769999999999790e-01
4.000000000000000000e+00,9.071129999999999471e-01,9.665639999999999787e-01,9.704469999999999485e-01
4.099999999999999645e+00,9.058089999999999753e-01,9.660250000000000226e-01,9.699299999999999589e-01
4.200000000000000178e+00,9.045469999999999899e-01,9.655010000000000536e-01,9.694249999999999812e-01
4.299999999999999822e+00,9.033269999999999911e-01,9.649919999999999609e-01,9.689309999999999867e-01
4.400000000000000355e+00,9.021460000000000035e-01,9.644970000000000487e-01,9.684490000000000043e-01
4.500000000000000000e+00,9.010029999999999983e-01,9.640149999999999553e-01,9.679769999999999763e-01
