time,alpha=0.0,alpha=0.5,alpha=1.0
3.200000000000000178e+00,9.789080000000000004e-01,9.890839999999999632e-01,9.771220000000000461e-01
3.299999999999999822e+00,9.784469999999999557e-01,9.888029999999999875e-01,9.765530000000000044e-01
3.399999999999999911e+00,9.780020000000000380e-01,9.885300000000000198e-01,9.760079999999999867e-01
3.500000000000000000e+00,9.775709999999999678e-01,9.882659999999999778e-01,9.754840000000000177e-01
3.600000000000000089e+00,9.771549999999999958e-01,9.880100000000000549e-01,9.749809999999999865e-01
3.700000000000000178e+00,9.767519999999999536e-01,9.877620000000000289e-01,9.744979999999999754e-01
3.799999999999999822e+00,9.763629999999999809e-01,9.875220000000000109e-01,9.740330000000000377e-01
3.899999999999999911e+00,9.759860000000000202e-01,9.872889999999999722e-01,9.735859999999999514e-01
4.000000000000000000e+00,9.756209999999999605e-01,9.870630000000000237e-01,9.731549999999999923e-01
4.099999999999999645e+00,9.752680000000000238e-01,9.868440000000000545e-01,9.727400000000000491e-01
4.200000000000000178e+00,9.749269999999999881e-01,9.866319999999999535e-01,9.723389999999999533e-01
4.299999999999999822e+00,9.745960000000000178e-01,9.864260000000000250e-01,9.719539999999999846e-01
4.400000000000000355e+00,9.742750000000000021e-01,9.862269999999999648e-01,9.715829999999999744e-01
4.500000000000000000e+00,9.739640000000000519e-01,9.860339999999999661e-01,9.712250000000000050e-01
4.599999999999999645e+00,9.736609999999999987e-01,9.858470000000000288e-01,9.708809999999999940e-01
4.700000000000000178e+00,9.733680000000000110e-01,9.856650000000000134e-01,9.705500000000000238e-01
4.799999999999999822e+00,9.730820000000000025e-01,9.854899999999999771e-01,9.702330000000000121e-01
4.900000000000000355e+00,9.728029999999999733e-01,9.853199999999999736e-01,9.699290000000000411e-01
5.000000000000000000e+00,9.725310000000000343e-01,9.851550000000000029e-01,9.696390000000000287e-01
5.099999999999999645e+00,9.722650000000000459e-01,9.849959999999999827e-01,9.693629999999999747e-01
5.200000000000000178e+00,9.720050000000000079e-01,9.848430000000000240e-01,9.691020000000000190e-01
5.299999999999999822e+00,9.717510000000000314e-01,9.846949999999999870e-01,9.688539999999999930e-01
5.400000000000000355e+00,9.715030000000000054e-01,9.845519999999999827e-01,9.686230000000000118e-01
5.500000000000000000e+00,9.712600000000000122e-01,9.844150000000000400e-01,9.684059999999999890e-01
5.599999999999999645e+00,9.710220000000000518e-01,9.842840000000000478e-01,9.682060000000000111e-01
5.700000000000000178e+00,9.707909999999999595e-01,9.841569999999999485e-01,9.680229999999999668e-01
5.799999999999999822e+00,9.705660000000000398e-01,9.840370000000000505e-01,9.678560000000000496e-01
5.900000000000000355e+00,9.703469999999999596e-01,9.839210000000000456e-01,9.677069999999999839e-01
6.000000000000000000e+00,9.701340000000000519e-01,9.838109999999999911e-01,9.675740000000000451e-01
6.099999999999999645e+00,9.699290000000000411e-01,9.837069999999999981e-01,9.674589999999999579e-01
6.200000000000000178e+00,9.697310000000000096e-01,9.836080000000000378e-01,9.673610000000000264e-01
6.299999999999999822e+00,9.695399999999999574e-01,9.835150000000000281e-01,9.672789999999999999e-01
6.400000000000000355e+00,9.693580000000000529e-01,9.834270000000000511e-01,9.672129999999999894e-01
6.500000000000000000e+00,9.691830000000000167e-01,9.833450000000000246e-01,9.671619999999999662e-01
6.599999999999999645e+00,9.690170000000000172e-01,9.832689999999999486e-01,9.671260000000000412e-01
6.700000000000000178e+00,9.688590000000000257e-01,9.831980000000000164e-01,9.671030000000000459e-01
6.799999999999999822e+00,9.687090000000000423e-01,9.831320000000000059e-01,9.670919999999999517e-01
6.900000000000000355e+00,9.685669999999999558e-01,9.830710000000000282e-01,9.670919999999999517e-01
7.000000000000000000e+00,9.684319999999999595e-01,9.830160000000000009e-01,9.671009999999999884e-01
7.099999999999999645e+00,9.683049999999999713e-01,9.829649999999999777e-01,9.671180000000000332e-01
7.200000000000000178e+00,9.681840000000000446e-01,9.829189999999999872e-01,9.671419999999999462e-01
7.299999999999999822e+00,9.680689999999999573e-01,9.828759999999999719e-01,9.671699999999999742e-01
7.400000000000000355e+00,9.679600000000000426e-01,9.828379999999999894e-01,9.672009999999999774e-01
7.500000000000000000e+00,9.678560000000000496e-01,9.828019999999999534e-01,9.672349999999999559e-01
7.599999999999999645e+00,9.677559999999999496e-01,9.827690000000000037e-01,9.672690000000000454e-01
7.700000000000000178e+00,9.676590000000000469e-01,9.827380000000000004e-01,9.673019999999999952e-01
7.799999999999999822e+00,9.675650000000000084e-01,9.827080000000000259e-01,9.673340000000000272e-01
