time,alpha=0.0,alpha=0.5,alpha=1.0
3.700000000000000178e+00,9.666590000000000460e-01,9.760879999999999557e-01,9.415400000000000436e-01
3.799999999999999822e+00,9.656620000000000203e-01,9.754380000000000273e-01,9.402199999999999447e-01
3.899999999999999911e+00,9.646780000000000355e-01,9.748010000000000286e-01,9.389440000000000008e-01
4.000000000000000000e+00,9.637090000000000378e-01,9.741769999999999596e-01,9.377130000000000187e-01
4.099999999999999645e+00,9.627559999999999452e-01,9.735669999999999602e-01,9.365289999999999448e-01
4.200000000000000178e+00,9.618170000000000330e-01,9.729710000000000303e-01,9.353920000000000012e-01
4.299999999999999822e+00,9.608940000000000259e-01,9.723899999999999766e-01,9.343029999999999946e-01
4.400000000000000355e+00,9.599849999999999772e-01,9.718240000000000212e-01,9.332620000000000360e-01
4.500000000000000000e+00,9.590910000000000268e-01,9.712730000000000530e-01,9.322709999999999608e-01
4.599999999999999645e+00,9.582089999999999774e-01,9.707369999999999610e-01,9.313280000000000447e-01
4.700000000000000178e+00,9.573399999999999688e-01,9.702159999999999673e-01,9.304339999999999833e-01
4.799999999999999822e+00,9.564820000000000544e-01,9.697099999999999609e-01,9.295889999999999986e-01
4.900000000000000355e+00,9.556360000000000410e-01,9.692180000000000240e-01,9.287919999999999510e-01
5.000000000000000000e+00,9.548029999999999573e-01,9.687409999999999632e-01,9.280410000000000048e-01
5.099999999999999645e+00,9.539809999999999679e-01,9.682779999999999720e-01,9.273350000000000204e-01
5.200000000000000178e+00,9.531730000000000480e-01,9.678280000000000216e-01,9.266699999999999937e-01
5.299999999999999822e+00,9.523779999999999468e-01,9.673910000000000009e-01,9.260450000000000070e-01
5.400000000000000355e+00,9.515980000000000549e-01,9.669659999999999922e-01,9.254539999999999988e-01
5.500000000000000000e+00,9.508330000000000393e-01,9.665529999999999955e-01,9.248939999999999939e-01
5.599999999999999645e+00,9.500819999999999821e-01,9.661490000000000355e-01,9.243599999999999595e-01
5.700000000000000178e+00,9.493460000000000232e-01,9.657540000000000013e-01,9.238459999999999450e-01
5.799999999999999822e+00,9.486229999999999940e-01,9.653650000000000286e-01,9.233470000000000288e-01
5.900000000000000355e+00,9.479109999999999481e-01,9.649809999999999777e-01,9.228560000000000096e-01
6.000000000000000000e+00,9.472080000000000499e-01,9.646000000000000130e-01,9.223689999999999944e-01
6.099999999999999645e+00,9.465109999999999912e-01,9.642190000000000483e-01,9.218800000000000328e-01
6.200000000000000178e+00,9.458170000000000188e-01,9.638379999999999725e-01,9.213839999999999808e-01
6.299999999999999822e+00,9.451230000000000464e-01,9.634519999999999751e-01,9.208760000000000279e-01
6.400000000000000355e+00,9.444259999999999877e-01,9.630619999999999736e-01,9.203529999999999767e-01
6.500000000000000000e+00,9.437250000000000361e-01,9.626660000000000217e-01,9.198129999999999917e-01
6.599999999999999645e+00,9.430190000000000516e-01,9.622619999999999507e-01,9.192540000000000155e-01
