# XXZ spin chain 
# MCLM for L=32, Delta=0.600
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.00872 0.04621 0.84621
0.00874 0.04606 0.84606
0.00876 0.04591 0.84591
0.00878 0.04577 0.84577
0.00880 0.04564 0.84564
0.00882 0.04551 0.84551
0.00884 0.04538 0.84538
0.00886 0.04526 0.84526
0.00888 0.04514 0.84514
0.00890 0.04503 0.84503
0.00892 0.04492 0.84492
0.00894 0.04481 0.84481
0.00896 0.04471 0.84471
0.00898 0.04462 0.84462
0.00900 0.04453 0.84453
0.00902 0.04444 0.84444
0.00904 0.04436 0.84436
0.00906 0.04428 0.84428
0.00908 0.04421 0.84421
0.00910 0.04414 0.84414
0.00912 0.04408 0.84408
0.00914 0.04402 0.84402
0.00916 0.04396 0.84396
0.00918 0.04391 0.84391
0.00920 0.04386 0.84386
0.00922 0.04382 0.84382
0.00924 0.04378 0.84378
0.00926 0.04374 0.84374
0.00928 0.04371 0.84371
0.00930 0.04368 0.84368
0.00932 0.04366 0.84366
0.00934 0.04365 0.84365
0.00936 0.04363 0.84363
0.00938 0.04363 0.84363
0.00940 0.04362 0.84362
0.00942 0.04362 0.84362
0.00944 0.04362 0.84362
0.00946 0.04363 0.84363
0.00948 0.04364 0.84364
0.00950 0.04366 0.84366
0.00952 0.04369 0.84369
0.00954 0.04372 0.84372
0.00956 0.04375 0.84375
0.00958 0.04379 0.84379
0.00960 0.04383 0.84383
0.00962 0.04387 0.84387
0.00964 0.04392 0.84392
0.00966 0.04397 0.84397
0.00968 0.04403 0.84403
0.00970 0.04408 0.84408
0.00972 0.04415 0.84415
0.00974 0.04421 0.84421
0.00976 0.04428 0.84428
0.00978 0.04436 0.84436
0.00980 0.04444 0.84444
0.00982 0.04452 0.84452
0.00984 0.04461 0.84461
0.00986 0.04470 0.8447
0.00988 0.04479 0.84479
0.00990 0.04489 0.84489
0.00992 0.04499 0.84499
0.00994 0.04509 0.84509
0.00996 0.04520 0.8452
0.00998 0.04531 0.84531
0.01000 0.04542 0.84542
0.01002 0.04554 0.84554
0.01004 0.04566 0.84566
0.01006 0.04579 0.84579
0.01008 0.04592 0.84592
0.01010 0.04605 0.84605
0.01012 0.04618 0.84618
0.01014 0.04632 0.84632
0.01016 0.04646 0.84646
0.01018 0.04661 0.84661
0.01020 0.04676 0.84676
0.01022 0.04691 0.84691
0.01024 0.04707 0.84707
0.01026 0.04723 0.84723
0.01028 0.04740 0.8474
0.01030 0.04757 0.84757
0.01032 0.04774 0.84774
0.01034 0.04791 0.84791
0.01036 0.04809 0.84809
0.01038 0.04826 0.84826
0.01040 0.04844 0.84844
0.01042 0.04863 0.84863
0.01044 0.04881 0.84881
0.01046 0.04900 0.849
0.01048 0.04918 0.84918
0.01050 0.04937 0.84937
0.01052 0.04957 0.84957
0.01054 0.04976 0.84976
0.01056 0.04996 0.84996
0.01058 0.05015 0.85015
0.01060 0.05035 0.85035
0.01062 0.05055 0.85055
0.01064 0.05076 0.85076
0.01066 0.05096 0.85096
0.01068 0.05117 0.85117
0.01070 0.05139 0.85139
0.01072 0.05161 0.85161
0.01074 0.05183 0.85183
0.01076 0.05205 0.85205
0.01078 0.05228 0.85228
0.01080 0.05251 0.85251
0.01082 0.05274 0.85274
0.01084 0.05296 0.85296
0.01086 0.05319 0.85319
0.01088 0.05342 0.85342
0.01090 0.05366 0.85366
0.01092 0.05389 0.85389
0.01094 0.05413 0.85413
0.01096 0.05437 0.85437
0.01098 0.05461 0.85461
0.01100 0.05485 0.85485
0.01102 0.05510 0.8551
0.01104 0.05535 0.85535
0.01106 0.05560 0.8556
0.01108 0.05586 0.85586
0.01110 0.05611 0.85611
0.01112 0.05637 0.85637
0.01114 0.05662 0.85662
0.01116 0.05688 0.85688
0.01118 0.05714 0.85714
0.01120 0.05739 0.85739
0.01122 0.05765 0.85765
0.01124 0.05791 0.85791
0.01126 0.05817 0.85817
0.01128 0.05844 0.85844
0.01130 0.05870 0.8587
0.01132 0.05896 0.85896
0.01134 0.05923 0.85923
0.01136 0.05950 0.8595
0.01138 0.05977 0.85977
0.01140 0.06005 0.86005
0.01142 0.06033 0.86033
0.01144 0.06061 0.86061
0.01146 0.06089 0.86089
0.01148 0.06118 0.86118
0.01150 0.06147 0.86147
0.01152 0.06176 0.86176
0.01154 0.06205 0.86205
0.01156 0.06233 0.86233
0.01158 0.06262 0.86262
0.01160 0.06290 0.8629
0.01162 0.06319 0.86319
